Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
over 34,A no further action disposal,Male,2022-09-02T00:24:00+00:00,False,White,Controlled drugs,51.373431,Wandle Park (Tram Stop),-0.113410
10-17,A no further action disposal,,2022-09-02T02:18:00+00:00,False,Black,Anything to threaten or harm anyone,51.519445,Paddington (Station),-0.176490
10-17,A no further action disposal,,2022-09-02T02:18:00+00:00,False,White,Anything to threaten or harm anyone,51.519445,Paddington (Station),-0.176490
,A no further action disposal,Male,2022-09-02T03:05:00+00:00,False,,Anything to threaten or harm anyone,51.519445,Paddington (Station),-0.176490
10-17,A no further action disposal,Male,2022-09-02T14:39:00+00:00,False,Asian,Controlled drugs,51.564736,Finsbury Park (Lu Station),-0.105883
10-17,Summons / charged by post,Male,2022-09-02T14:58:00+00:00,False,White,Controlled drugs,51.564592,Finsbury Park (Station),-0.105883
10-17,A no further action disposal,Male,2022-09-02T15:05:00+00:00,False,White,Controlled drugs,51.564592,Finsbury Park (Station),-0.105883
18-24,A no further action disposal,Male,2022-09-02T15:15:00+00:00,False,Black,Controlled drugs,51.539105,East Ham (Lu Station),0.051885
18-24,A no further action disposal,Male,2022-09-02T17:02:00+00:00,False,White,Controlled drugs,51.475020,Isleworth (Station),-0.336782
over 34,A no further action disposal,Male,2022-09-02T17:00:00+00:00,False,White,Stolen goods,51.515776,Paddington (Lu Station),-0.174871
18-24,A no further action disposal,Male,2022-09-02T17:50:00+00:00,False,Asian,Controlled drugs,51.515372,Aldgate East (Lu Station),-0.071679
18-24,A no further action disposal,Male,2022-09-02T18:10:00+00:00,False,Asian,Controlled drugs,51.475020,Isleworth (Station),-0.336782
,Arrest,Male,2022-09-02T18:12:00+00:00,False,Asian,Anything to threaten or harm anyone,51.374849,East Croydon (Tram Stop),-0.092675
25-34,A no further action disposal,Male,2022-09-02T17:11:00+00:00,False,Black,Anything to threaten or harm anyone,51.539105,East Ham (Lu Station),0.051885
10-17,A no further action disposal,Male,2022-09-02T18:21:00+00:00,False,Black,Stolen goods,51.539105,East Ham (Lu Station),0.051885
18-24,A no further action disposal,,2022-09-02T17:00:00+00:00,False,Asian,Offensive weapons,51.539105,East Ham (Lu Station),0.051885
18-24,Summons / charged by post,Male,2022-09-02T21:35:00+00:00,False,White,Controlled drugs,51.508360,Charing Cross (Lu Station),-0.124803
25-34,Summons / charged by post,Male,2022-09-02T20:15:00+00:00,False,Asian,Controlled drugs,51.559266,Ilford (Station),0.069888
18-24,A no further action disposal,Male,2022-09-03T02:57:00+00:00,False,Black,Controlled drugs,51.514535,Bond Street (Lu Station),-0.149007
18-24,A no further action disposal,Male,2022-09-01T12:40:00+00:00,False,Black,Offensive weapons,51.515701,Oxford Circus (Lu Station),-0.141080
10-17,A no further action disposal,Male,2022-09-01T13:23:00+00:00,False,Black,Psychoactive substances,51.515701,Oxford Circus (Lu Station),-0.141080
