Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
25-34,A no further action disposal,Male,2022-09-30T14:30:00+00:00,,Black,Stolen goods,51.511760,On or near Gerrard Street,-0.131163
10-17,A no further action disposal,Male,2022-09-30T14:54:00+00:00,,Black,Controlled drugs,51.529942,On or near Parry Road,-0.207161
over 34,A no further action disposal,Male,2022-09-30T00:07:00+00:00,,Black,Offensive weapons,51.521155,On or near Alfred Road,-0.194173
10-17,Community resolution,Male,2022-09-30T13:50:00+00:00,,Black,Stolen goods,51.516751,On or near Eastcastle Street,-0.137401
10-17,A no further action disposal,Male,2022-09-30T14:55:00+00:00,,Black,Controlled drugs,51.529942,On or near Parry Road,-0.207161
18-24,Community resolution,Male,2022-09-30T14:55:00+00:00,,Other,Controlled drugs,51.530750,On or near Dart Street,-0.205875
25-34,A no further action disposal,Male,2022-09-30T14:45:00+00:00,,Black,Controlled drugs,51.522770,On or near Church Street,-0.171276
25-34,Community resolution,Male,2022-09-30T18:30:00+00:00,,White,Controlled drugs,51.510729,On or near Denman Street,-0.135283
25-34,A no further action disposal,Male,2022-09-30T16:20:00+00:00,,White,Controlled drugs,51.516295,On or near ,-0.129487
18-24,Arrest,Male,2022-09-30T15:30:00+00:00,,Black,Controlled drugs,51.507798,On or near A4202,-0.154093
,A no further action disposal,Female,2022-09-29T14:00:00+00:00,,White,Stolen goods,51.514709,On or near Bond Street,-0.148712
over 34,A no further action disposal,Male,2022-09-30T16:30:00+00:00,,White,Controlled drugs,51.516295,On or near ,-0.129487
18-24,A no further action disposal,Female,2022-09-30T15:30:00+00:00,,White,Offensive weapons,51.510623,On or near St Martin'S Lane,-0.126987
18-24,Community resolution,Male,2022-09-30T18:50:00+00:00,,White,Controlled drugs,51.524105,On or near Albany Street,-0.144640
18-24,A no further action disposal,Male,2022-09-29T22:15:00+00:00,,Asian,Controlled drugs,51.514971,On or near Carlisle Street,-0.133438
,A no further action disposal,Male,2022-09-30T14:50:00+00:00,,Other,Controlled drugs,51.523872,On or near Plympton Street,-0.168147
25-34,A no further action disposal,Male,2022-09-30T14:50:00+00:00,,Other,Controlled drugs,51.523872,On or near Plympton Street,-0.168147
18-24,A no further action disposal,Male,2022-09-30T18:25:00+00:00,,Other,Stolen goods,51.512994,On or near North Audley Street,-0.153408
18-24,A no further action disposal,Male,2022-09-27T15:55:00+00:00,,Black,Controlled drugs,51.517287,On or near ,-0.130403
over 34,Summons / charged by post,Male,2022-09-30T14:15:00+00:00,,Asian,Controlled drugs,51.522814,On or near Maida Avenue,-0.179880
over 34,A no further action disposal,Male,2022-09-30T19:20:00+00:00,,Black,Controlled drugs,51.506342,On or near Great Scotland Yard,-0.125794
25-34,A no further action disposal,Male,2022-09-30T19:15:00+00:00,,Black,Controlled drugs,51.506342,On or near Great Scotland Yard,-0.125794
,A no further action disposal,Male,2022-09-30T20:15:00+00:00,,Black,Stolen goods,51.500372,On or near Lowndes Square,-0.158802
18-24,Arrest,Male,2022-09-30T15:40:00+00:00,,Black,Controlled drugs,51.507798,On or near A4202,-0.154093
25-34,A no further action disposal,Male,2022-09-30T19:33:00+00:00,,Other,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
25-34,Community resolution,Male,2022-09-30T19:32:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T19:51:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Female,2022-09-30T20:36:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T21:42:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T21:14:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T19:10:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T21:38:00+00:00,,Other,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T19:19:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T21:50:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
25-34,A no further action disposal,Male,2022-09-29T21:39:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T20:35:00+00:00,,Other,Stolen goods,51.511339,On or near Cranbourn Street,-0.128427
18-24,Community resolution,Male,2022-09-30T21:10:00+00:00,,White,Offensive weapons,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T21:48:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,Community resolution,Male,2022-09-30T19:30:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T20:35:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
25-34,A no further action disposal,Male,2022-09-30T20:55:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T21:40:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
25-34,A no further action disposal,Male,2022-09-30T20:50:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
25-34,Arrest,Male,2022-09-30T20:48:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
10-17,A no further action disposal,Male,2022-09-30T19:20:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T19:28:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,Arrest,Male,2022-09-30T19:43:00+00:00,,White,Stolen goods,51.511339,On or near Cranbourn Street,-0.128427
25-34,A no further action disposal,Male,2022-09-30T20:48:00+00:00,,Asian,Controlled drugs,51.509807,On or near Whitcomb Street,-0.131055
25-34,A no further action disposal,Male,2022-09-30T10:10:00+00:00,,Other,Controlled drugs,51.514677,On or near D'Arblay Street,-0.135857
18-24,A no further action disposal,Male,2022-09-30T21:34:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-29T21:57:00+00:00,,White,Controlled drugs,51.514030,On or near Livonia Street,-0.135941
25-34,Arrest,Male,2022-09-30T00:03:00+00:00,,,Stolen goods,51.513498,On or near Moor Street,-0.130169
10-17,Community resolution,Male,2022-09-30T19:52:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,A no further action disposal,Male,2022-09-30T21:43:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
18-24,Arrest,Male,2022-09-30T19:30:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
25-34,Arrest,Male,2022-09-29T23:45:00+00:00,,Other,Controlled drugs,51.526791,On or near First Avenue,-0.205757
,A no further action disposal,Male,2022-09-30T19:45:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T19:20:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
over 34,Community resolution,Male,2022-09-30T15:12:00+00:00,,White,Controlled drugs,51.492545,On or near ,-0.149087
18-24,Penalty Notice for Disorder,Male,2022-09-30T16:00:00+00:00,,White,Controlled drugs,51.492545,On or near ,-0.149087
18-24,A no further action disposal,Male,2022-09-30T15:25:00+00:00,,White,Controlled drugs,51.492545,On or near ,-0.149087
25-34,A no further action disposal,Male,2022-09-30T19:30:00+00:00,,Black,Controlled drugs,51.509807,On or near Whitcomb Street,-0.131055
,A no further action disposal,Male,2022-09-30T20:20:00+00:00,,Black,Controlled drugs,51.509807,On or near Whitcomb Street,-0.131055
,A no further action disposal,Male,2022-09-30T20:17:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T20:38:00+00:00,,,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T21:48:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-30T22:40:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
over 34,Summons / charged by post,Male,2022-09-28T19:20:00+00:00,,Asian,Stolen goods,51.495501,On or near Phipps Mews,-0.146422
25-34,A no further action disposal,Male,2022-09-29T02:57:00+00:00,,Asian,Offensive weapons,51.509947,On or near ,-0.131367
18-24,A no further action disposal,Male,2022-09-24T22:12:00+00:00,,White,Evidence of offences under the Act,51.523486,On or near Allsop Place,-0.156717
25-34,A no further action disposal,Male,2022-09-30T19:25:00+00:00,,White,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
,A no further action disposal,Male,2022-09-28T02:54:00+00:00,,Asian,Controlled drugs,51.511534,On or near Lisle Street,-0.130495
25-34,A no further action disposal,Male,2022-09-24T13:35:00+00:00,,White,Stolen goods,51.512117,On or near ,-0.123121
over 34,Arrest,Male,2022-09-28T00:35:00+00:00,,Black,Offensive weapons,51.510942,On or near Leicester Street,-0.131196
25-34,Community resolution,Male,2022-09-29T11:50:00+00:00,,White,Controlled drugs,51.512494,On or near Craven Hill Gardens,-0.182453
over 34,A no further action disposal,Male,2022-09-21T08:24:00+00:00,,Black,Controlled drugs,51.511339,On or near Cranbourn Street,-0.128427
over 34,A no further action disposal,Male,2022-09-30T14:15:00+00:00,,White,Articles for use in criminal damage,51.503196,On or near Downing Street,-0.127032
25-34,A no further action disposal,Male,2022-09-01T10:50:00+00:00,,Black,Firearms,51.517274,On or near Newman'S Row,-0.115500
over 34,A no further action disposal,Female,2022-09-01T14:00:00+00:00,,White,Controlled drugs,51.519352,On or near Drake Street,-0.120027
over 34,Arrest,Male,2022-09-01T14:00:00+00:00,,White,Controlled drugs,51.519352,On or near Drake Street,-0.120027
over 34,A no further action disposal,Male,2022-09-01T16:40:00+00:00,,Black,Offensive weapons,51.523026,On or near Russell Square,-0.124316
10-17,Community resolution,Male,2022-09-01T15:50:00+00:00,,Black,Controlled drugs,51.539941,On or near St Pancras Way,-0.135589
10-17,A no further action disposal,Male,2022-09-01T16:30:00+00:00,,Black,Offensive weapons,51.536275,On or near Oxford Road,-0.191470
25-34,A no further action disposal,Male,2022-09-02T19:40:00+00:00,,Black,Evidence of offences under the Act,51.543863,On or near ,-0.135083
25-34,A no further action disposal,Male,2022-09-01T22:44:00+00:00,,White,Stolen goods,51.518165,On or near Catton Street,-0.120018
over 34,Arrest,Male,2022-09-01T22:16:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
over 34,Arrest,Male,2022-09-01T23:05:00+00:00,,White,Controlled drugs,51.514823,On or near Dryden Street,-0.122491
over 34,A no further action disposal,Male,2022-09-02T02:33:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
over 34,A no further action disposal,Male,2022-09-02T02:40:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
over 34,A no further action disposal,Male,2022-09-02T02:35:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
25-34,A no further action disposal,Male,2022-09-02T04:00:00+00:00,,White,Controlled drugs,51.524730,On or near A4200,-0.127951
over 34,Arrest,Female,2022-09-02T03:55:00+00:00,,White,Controlled drugs,51.525261,On or near ,-0.127410
25-34,A no further action disposal,Female,2022-09-02T02:30:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
over 34,A no further action disposal,Female,2022-09-01T22:16:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
25-34,A no further action disposal,Male,2022-09-02T02:33:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
25-34,Arrest,Male,2022-09-01T23:14:00+00:00,,White,Controlled drugs,51.546939,On or near Belsize Park,-0.172831
25-34,A no further action disposal,Male,2022-09-02T12:48:00+00:00,,White,Stolen goods,51.521779,On or near ,-0.113830
over 34,Arrest,Male,2022-09-02T09:50:00+00:00,,White,Stolen goods,51.521779,On or near ,-0.113830
18-24,Arrest,Male,2022-09-02T13:30:00+00:00,,Black,Offensive weapons,51.546745,On or near ,-0.103956
over 34,A no further action disposal,Male,2022-09-02T15:15:00+00:00,,Black,Controlled drugs,51.527861,On or near Grafton Place,-0.131412
25-34,A no further action disposal,Male,2022-09-01T14:30:00+00:00,,White,Controlled drugs,51.522189,On or near Conway Mews,-0.139515
,A no further action disposal,Male,2022-09-02T14:58:00+00:00,,Black,Controlled drugs,51.518744,On or near Dane Street,-0.118596
18-24,Arrest,Male,2022-09-02T15:05:00+00:00,,Black,Controlled drugs,51.532114,On or near Northdown Street,-0.119559
18-24,Community resolution,Male,2022-09-01T10:40:00+00:00,,Black,Controlled drugs,51.517274,On or near Newman'S Row,-0.115500
10-17,A no further action disposal,Male,2022-09-02T16:20:00+00:00,,Asian,Controlled drugs,51.540267,On or near ,-0.195551
18-24,Community resolution,Male,2022-09-02T15:05:00+00:00,,White,Controlled drugs,51.529849,On or near Belgrove Street,-0.123588
over 34,A no further action disposal,Male,2022-09-02T14:00:00+00:00,,Black,Controlled drugs,51.517742,On or near Little Russell Street,-0.125614
25-34,A no further action disposal,Male,2022-09-01T16:45:00+00:00,,White,Controlled drugs,51.542427,On or near Priory Road,-0.189221
18-24,A no further action disposal,Female,2022-09-02T16:25:00+00:00,,White,Controlled drugs,51.517482,On or near Coptic Street,-0.126259
18-24,Community resolution,Male,2022-09-02T16:30:00+00:00,,Black,Controlled drugs,51.543020,On or near Agar Grove,-0.131310
25-34,Arrest,Male,2022-09-02T04:55:00+00:00,,Black,Stolen goods,51.542303,On or near Ainger Road,-0.157557
over 34,A no further action disposal,Male,2022-09-03T22:40:00+00:00,,White,Controlled drugs,51.514582,On or near Shorts Gardens,-0.125441
18-24,A no further action disposal,Male,2022-09-03T01:10:00+00:00,,Asian,Controlled drugs,51.538463,On or near Hermit Place,-0.191700
over 34,A no further action disposal,Male,2022-09-01T23:02:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
18-24,A no further action disposal,Male,2022-09-03T00:48:00+00:00,,Asian,Controlled drugs,51.532843,On or near Cranleigh Street,-0.135389
over 34,A no further action disposal,Male,2022-09-02T23:10:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
,A no further action disposal,Male,2022-09-03T00:45:00+00:00,,,Stolen goods,51.532843,On or near Cranleigh Street,-0.135389
over 34,A no further action disposal,Male,2022-09-02T23:18:00+00:00,,White,Controlled drugs,51.514537,On or near St Giles Passage,-0.128196
25-34,A no further action disposal,Female,2022-09-02T23:25:00+00:00,,White,Controlled drugs,51.514537,On or near St Giles Passage,-0.128196
25-34,A no further action disposal,Male,2022-09-02T23:25:00+00:00,,Asian,Controlled drugs,51.514537,On or near St Giles Passage,-0.128196
10-17,Arrest,Male,2022-09-03T01:20:00+00:00,,White,Stolen goods,51.510900,On or near ,-0.127984
over 34,A no further action disposal,Male,2022-09-03T00:58:00+00:00,,Black,Controlled drugs,51.519883,On or near Riding House Street,-0.138138
over 34,A no further action disposal,Female,2022-09-02T22:42:00+00:00,,White,Controlled drugs,51.514582,On or near Shorts Gardens,-0.125441
over 34,A no further action disposal,Male,2022-09-02T23:02:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
over 34,Arrest,Female,2022-09-02T23:18:00+00:00,,Black,Controlled drugs,51.514537,On or near St Giles Passage,-0.128196
25-34,A no further action disposal,Male,2022-09-02T23:02:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
25-34,A no further action disposal,Male,2022-09-02T23:18:00+00:00,,White,Controlled drugs,51.514519,On or near Stacey Street,-0.128758
over 34,A no further action disposal,Male,2022-09-03T12:00:00+00:00,,White,Controlled drugs,51.516820,On or near Dyott Street,-0.127583
over 34,A no further action disposal,Male,2022-09-03T14:15:00+00:00,,White,Controlled drugs,51.527536,On or near ,-0.138114
over 34,A no further action disposal,Male,2022-09-03T14:15:00+00:00,,White,Controlled drugs,51.527536,On or near ,-0.138114
18-24,Community resolution,Male,2022-09-03T16:35:00+00:00,,White,Controlled drugs,51.548654,On or near Crown Place,-0.141752
25-34,Arrest,Male,2022-09-03T19:52:00+00:00,,White,Evidence of offences under the Act,51.538904,On or near Oval Road,-0.147341
over 34,A no further action disposal,Male,2022-09-03T20:00:00+00:00,,Black,Stolen goods,51.538904,On or near Oval Road,-0.147341
over 34,A no further action disposal,Male,2022-09-04T11:30:00+00:00,,White,Controlled drugs,51.527347,On or near Judd Street,-0.124585
25-34,A no further action disposal,Male,2022-09-04T11:30:00+00:00,,White,Controlled drugs,51.528267,On or near Tonbridge Street,-0.124216
over 34,A no further action disposal,Male,2022-09-04T11:54:00+00:00,,White,Controlled drugs,51.528012,On or near King'S Cross Road,-0.115591
over 34,A no further action disposal,Male,2022-09-04T11:49:00+00:00,,White,Controlled drugs,51.528012,On or near King'S Cross Road,-0.115591
over 34,A no further action disposal,Male,2022-09-04T13:30:00+00:00,,White,Stolen goods,51.523252,On or near ,-0.127189
over 34,Arrest,Female,2022-09-04T11:54:00+00:00,,White,Controlled drugs,51.528012,On or near King'S Cross Road,-0.115591
18-24,Penalty Notice for Disorder,Male,2022-09-04T14:25:00+00:00,,Black,Controlled drugs,51.544881,On or near Camden Square,-0.132373
over 34,A no further action disposal,Male,2022-09-01T19:50:00+00:00,,Black,Evidence of offences under the Act,51.548797,On or near Wolsey Mews,-0.140578
25-34,A no further action disposal,Male,2022-09-04T17:39:00+00:00,,White,Controlled drugs,51.540843,On or near ,-0.146541
18-24,A no further action disposal,Male,2022-09-04T16:10:00+00:00,,Asian,Controlled drugs,51.530183,On or near Crestfield Street,-0.123070
25-34,A no further action disposal,Male,2022-09-04T17:34:00+00:00,,Other,Controlled drugs,51.540843,On or near ,-0.146541
over 34,A no further action disposal,Male,2022-09-05T05:45:00+00:00,,White,Evidence of offences under the Act,51.540903,On or near Meadowbank,-0.160599
25-34,A no further action disposal,Male,2022-09-01T03:00:00+00:00,,Other,Controlled drugs,51.549971,On or near Hampstead Gate,-0.181638
25-34,Community resolution,Male,2022-09-04T19:20:00+00:00,,Asian,Controlled drugs,51.540152,On or near Jamestown Road,-0.146050
18-24,A no further action disposal,Male,2022-09-05T14:12:00+00:00,,,Controlled drugs,51.527270,On or near Duke'S Road,-0.129302
over 34,A no further action disposal,Female,2022-09-05T15:09:00+00:00,,White,Controlled drugs,51.516820,On or near Dyott Street,-0.127583
over 34,A no further action disposal,Male,2022-09-05T11:15:00+00:00,,White,Controlled drugs,51.516900,On or near ,-0.132077
over 34,A no further action disposal,Male,2022-09-05T14:10:00+00:00,,White,Stolen goods,51.516900,On or near ,-0.132077
10-17,A no further action disposal,Male,2022-09-05T15:00:00+00:00,,White,Controlled drugs,51.517742,On or near Little Russell Street,-0.125614
over 34,A no further action disposal,Male,2022-09-05T14:40:00+00:00,,White,Controlled drugs,51.517727,On or near ,-0.128612
25-34,Summons / charged by post,Male,2022-09-05T15:00:00+00:00,,White,Controlled drugs,51.517742,On or near Little Russell Street,-0.125614
25-34,A no further action disposal,Male,2022-09-05T14:37:00+00:00,,White,Controlled drugs,51.517727,On or near ,-0.128612
over 34,Community resolution,Male,2022-09-05T15:20:00+00:00,,Black,Controlled drugs,51.523129,On or near Midford Place,-0.137530
25-34,A no further action disposal,Male,2022-09-05T13:45:00+00:00,,White,Stolen goods,51.536275,On or near Oxford Road,-0.191470
over 34,Community resolution,Male,2022-09-05T14:00:00+00:00,,Black,Controlled drugs,51.517436,On or near Holborn,-0.119976
18-24,Arrest,Male,2022-09-05T12:45:00+00:00,,White,Controlled drugs,51.551223,On or near Leverton Place,-0.140436
over 34,A no further action disposal,Male,2022-09-05T14:08:00+00:00,,Black,Controlled drugs,51.528999,On or near ,-0.132274
over 34,A no further action disposal,Male,2022-09-05T21:14:00+00:00,,White,Offensive weapons,51.517255,On or near ,-0.125562
25-34,A no further action disposal,Male,2022-09-05T20:02:00+00:00,,White,Evidence of offences under the Act,51.555594,On or near Savernake Road,-0.158722
18-24,Community resolution,Male,2022-09-06T13:05:00+00:00,,Black,Controlled drugs,51.540796,On or near Gilbeys Yard,-0.148692
over 34,A no further action disposal,Male,2022-09-06T14:00:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
25-34,A no further action disposal,Male,2022-09-06T14:45:00+00:00,,White,Controlled drugs,51.517727,On or near ,-0.128612
over 34,A no further action disposal,Male,2022-09-06T13:49:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
over 34,A no further action disposal,Male,2022-09-06T13:15:00+00:00,,White,Controlled drugs,51.525158,On or near ,-0.130291
over 34,A no further action disposal,Female,2022-09-06T13:20:00+00:00,,White,Controlled drugs,51.525158,On or near ,-0.130291
over 34,A no further action disposal,Male,2022-09-06T13:30:00+00:00,,Black,Controlled drugs,51.525158,On or near ,-0.130291
over 34,Arrest,Male,2022-09-06T13:30:00+00:00,,Black,Controlled drugs,51.524690,On or near Tavistock Square,-0.129408
over 34,Arrest,Female,2022-09-06T13:30:00+00:00,,Black,Controlled drugs,51.524690,On or near Tavistock Square,-0.129408
over 34,A no further action disposal,Male,2022-09-06T12:50:00+00:00,,Black,Controlled drugs,51.540152,On or near Jamestown Road,-0.146050
over 34,Arrest,Male,2022-09-06T12:47:00+00:00,,Black,Controlled drugs,51.540152,On or near Jamestown Road,-0.146050
18-24,A no further action disposal,Male,2022-09-06T16:41:00+00:00,,Black,Controlled drugs,51.539189,On or near ,-0.141994
10-17,A no further action disposal,Male,2022-09-06T16:40:00+00:00,,Black,Offensive weapons,51.539189,On or near ,-0.141994
,A no further action disposal,Male,2022-09-06T18:30:00+00:00,,Asian,Offensive weapons,51.546174,On or near Eton Road,-0.156709
,A no further action disposal,Male,2022-09-06T02:49:00+00:00,,Asian,Controlled drugs,51.540000,On or near Cedar Way,-0.130814
18-24,Community resolution,Female,2022-09-06T15:48:00+00:00,,White,Controlled drugs,51.550785,On or near Gillies Street,-0.148575
25-34,Penalty Notice for Disorder,Male,2022-09-06T19:50:00+00:00,,Asian,Controlled drugs,51.530183,On or near Crestfield Street,-0.123070
,A no further action disposal,Male,2022-09-07T11:38:00+00:00,,Black,Controlled drugs,51.530372,On or near Ossulston Street,-0.129291
over 34,A no further action disposal,Male,2022-09-07T13:05:00+00:00,,Black,Controlled drugs,51.517727,On or near ,-0.128612
18-24,A no further action disposal,Male,2022-09-07T13:00:00+00:00,,Black,Controlled drugs,51.527536,On or near ,-0.138114
over 34,Arrest,Male,2022-09-07T13:20:00+00:00,,Black,Controlled drugs,51.518313,On or near Bury Place,-0.124236
25-34,A no further action disposal,Male,2022-09-07T13:20:00+00:00,,White,Controlled drugs,51.518313,On or near Bury Place,-0.124236
over 34,A no further action disposal,Female,2022-09-07T11:15:00+00:00,,White,Controlled drugs,51.540152,On or near Jamestown Road,-0.146050
25-34,Arrest,Male,2022-09-07T12:06:00+00:00,,White,Controlled drugs,51.540152,On or near Jamestown Road,-0.146050
over 34,A no further action disposal,Female,2022-09-07T13:10:00+00:00,,White,Controlled drugs,51.530967,On or near Phoenix Road,-0.131645
over 34,A no further action disposal,Male,2022-09-07T11:16:00+00:00,,Black,Controlled drugs,51.540152,On or near Jamestown Road,-0.146050
25-34,A no further action disposal,Male,2022-09-07T16:51:00+00:00,,White,Controlled drugs,51.516900,On or near ,-0.132077
over 34,A no further action disposal,Male,2022-09-07T16:30:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
,A no further action disposal,Male,2022-09-07T16:28:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
18-24,Penalty Notice for Disorder,Male,2022-09-07T13:07:00+00:00,,Black,Controlled drugs,51.552857,On or near Barrington Close,-0.152270
over 34,A no further action disposal,Male,2022-09-07T16:49:00+00:00,,White,Offensive weapons,51.522189,On or near Conway Mews,-0.139515
over 34,A no further action disposal,Female,2022-09-07T11:30:00+00:00,,White,Controlled drugs,51.549974,On or near Dennington Park Road,-0.193494
over 34,Arrest,Male,2022-09-08T11:20:00+00:00,,Black,Controlled drugs,51.528633,On or near Bidborough Street,-0.125729
25-34,A no further action disposal,Male,2022-09-08T12:00:00+00:00,,White,Controlled drugs,51.518456,On or near Percy Street,-0.133209
over 34,A no further action disposal,Male,2022-09-08T14:10:00+00:00,,White,Controlled drugs,51.514823,On or near Dryden Street,-0.122491
over 34,A no further action disposal,Male,2022-09-08T13:15:00+00:00,,Black,Controlled drugs,51.514823,On or near Dryden Street,-0.122491
,A no further action disposal,Male,2022-09-08T14:10:00+00:00,,Black,Evidence of offences under the Act,51.527094,On or near Regent Square,-0.121683
over 34,A no further action disposal,Male,2022-09-07T15:55:00+00:00,,Black,Offensive weapons,51.525558,On or near Henrietta Mews,-0.122366
25-34,A no further action disposal,Male,2022-09-07T23:27:00+00:00,,Black,Controlled drugs,51.542959,On or near Dobson Close,-0.176538
25-34,A no further action disposal,Male,2022-09-06T23:27:00+00:00,,Black,Controlled drugs,51.542959,On or near Dobson Close,-0.176538
25-34,A no further action disposal,Male,2022-09-07T23:27:00+00:00,,Black,Controlled drugs,51.542959,On or near Dobson Close,-0.176538
18-24,A no further action disposal,Male,2022-09-08T23:27:00+00:00,,White,Controlled drugs,51.553982,On or near Mansfield Road,-0.154604
over 34,A no further action disposal,Male,2022-09-08T22:51:00+00:00,,White,Controlled drugs,51.516295,On or near ,-0.129487
,A no further action disposal,Male,2022-09-08T22:52:00+00:00,,White,Controlled drugs,51.516295,On or near ,-0.129487
over 34,A no further action disposal,Male,2022-09-09T11:48:00+00:00,,White,Offensive weapons,51.551223,On or near Leverton Place,-0.140436
25-34,A no further action disposal,Female,2022-09-09T11:00:00+00:00,,Black,Controlled drugs,51.526111,On or near B504,-0.123756
over 34,Arrest,Male,2022-09-09T11:30:00+00:00,,White,Controlled drugs,51.527094,On or near Regent Square,-0.121683
18-24,Arrest,Male,2022-09-09T16:17:00+00:00,,White,Offensive weapons,51.539425,On or near Camden Town,-0.142748
18-24,Penalty Notice for Disorder,Male,2022-09-09T21:30:00+00:00,,Asian,Controlled drugs,51.530394,On or near Redhill Street,-0.143693
18-24,A no further action disposal,Female,2022-09-09T21:30:00+00:00,,White,Controlled drugs,51.530394,On or near Redhill Street,-0.143693
18-24,A no further action disposal,Male,2022-09-09T21:25:00+00:00,,Asian,Controlled drugs,51.531587,On or near A4201,-0.145245
18-24,A no further action disposal,Male,2022-09-09T20:31:00+00:00,,White,Offensive weapons,51.568266,On or near Highgate Hill,-0.140044
,A no further action disposal,Male,2022-09-10T01:54:00+00:00,,Black,Controlled drugs,51.539425,On or near Camden Town,-0.142748
25-34,A no further action disposal,Male,2022-09-10T01:50:00+00:00,,Black,Controlled drugs,51.539425,On or near Camden Town,-0.142748
,A no further action disposal,Male,2022-09-10T01:54:00+00:00,,Black,Controlled drugs,51.539425,On or near Camden Town,-0.142748
over 34,Summons / charged by post,Male,2022-09-09T01:06:00+00:00,,Black,Controlled drugs,51.539425,On or near Camden Town,-0.142748
18-24,A no further action disposal,Male,2022-09-10T02:00:00+00:00,,White,Controlled drugs,51.539425,On or near Camden Town,-0.142748
25-34,Penalty Notice for Disorder,Male,2022-09-07T15:57:00+00:00,,White,Controlled drugs,51.551223,On or near Leverton Place,-0.140436
