ITL,ITL code,Area,Population,Gross Domestic Product (£m),GDP Growth 2010-19 (%),Gross Value Added (£),GDP per capita (£),Employment (%),Unemployment (%),Economic Inactivity (%),Claimant Rate
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"291,011","7,673",12.5%,"6,757","26,367",70.2,6.4,25.0,4.7
ITL3,TLC12,South Teesside,"278,130","5,697",9.8%,"4,831","20,483",65.1,6.4,30.4,4.9
ITL3,TLC13,Darlington,"106,803","2,975",50.9%,"2,641","27,851",74.2,6.3,20.6,4.4
ITL3,TLC14,Durham CC,"530,094","10,675",3.1%,"9,032","20,139",71.2,5.6,24.5,3.8
ITL3,TLC21,Northumberland,"322,434","6,387",7.4%,"5,286","19,809",72.3,5.7,23.0,3.1
ITL3,TLC22,Tyneside,"863,764","23,396",22.4%,"20,428","27,086",71.3,5.1,24.8,4.4
ITL3,TLC23,Sunderland,"277,705","8,293",19.9%,"7,335","29,863",69.3,6.9,25.5,4.7
ITL3,TLD11,West Cumbria,"232,993","5,889",9.4%,"5,152","25,277",73.9,3.6,23.3,2.9
ITL3,TLD12,East Cumbria,"267,019","8,268",8.8%,"7,260","30,963",82.8,1.5,15.9,1.5
ITL3,TLD33,Manchester,"552,858","27,476",37.6%,"25,533","49,697",66.8,6.2,28.7,4.1
ITL3,TLD34,Greater Manchester South West,"496,188","19,337",28.4%,"17,668","38,971",77.6,4.8,18.4,3.1
ITL3,TLD35,Greater Manchester South East,"519,916","12,106",10.7%,"10,567","23,284",76.0,4.3,20.4,3.1
ITL3,TLD36,Greater Manchester North West,"616,212","13,104",15.7%,"11,221","21,265",73.3,4.9,22.8,3.8
ITL3,TLD37,Greater Manchester North East,"650,512","13,527",20.2%,"11,555","20,794",71.4,4.7,25.0,4.1
ITL3,TLD41,Blackburn with Darwen,"149,696","3,624",20.5%,"3,177","24,209",68.0,5.2,28.4,4.6
ITL3,TLD42,Blackpool,"139,446","3,306",19.5%,"2,902","23,711",72.8,5.7,22.7,5.8
ITL3,TLD44,Lancaster and Wyre,"258,129","5,557",22.3%,"4,659","21,528",71.3,3.3,26.1,2.7
