Area Code,Area Name,Population (mid-2018),Households (mid-2018),Total recorded crime,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft total,Residential burglary (household rate),Vehicle theft,Theft from the person,Bicycle theft,Shoplifting,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,"Serious offences involving a knife (per 100,000)"
E23000023,Cambridgeshire,852500,341500, 79.6 , 23.3 , 0.012 , 6.2 , 11.8 , 5.2 , 0.039 , 2.5 , 0.9 , 33.2 , 10.2 , 7.2 , 1.2 , 5.4 , 5.4 , 9.1 , 1.8 , 0.8 , 6.4 , 64.0 
E23000028,Essex,1832800,760200, 92.0 , 35.3 , 0.033 , 8.4 , 14.3 , 12.5 , 0.014 , 2.7 , 0.9 , 28.9 , 10.0 , 8.2 , 0.7 , 1.2 , 6.0 , 9.7 , 3.2 , 0.9 , 8.3 , 54.5 
E23000027,Hertfordshire,1184400,485300, 73.0 , 22.1 , 0.012 , 7.3 , 10.1 , 4.6 , 0.032 , 2.0 , 0.9 , 30.6 , 8.3 , 7.9 , 1.2 , 1.4 , 7.7 , 7.4 , 2.6 , 0.6 , 5.2 , 61.0 
E23000024,Norfolk,903700,391600, 72.7 , 27.3 , 0.008 , 8.0 , 13.3 , 5.9 , 0.009 , 3.1 , 0.5 , 19.8 , 5.4 , 2.9 , 0.8 , 1.6 , 4.8 , 9.0 , 3.0 , 0.7 , 7.0 , 45.6 
E23000025,Suffolk,758600,326800, 74.6 , 28.0 , 0.004 , 7.8 , 13.2 , 7.0 , 0.001 , 3.3 , 0.7 , 23.0 , 6.9 , 4.5 , 0.6 , 1.5 , 5.6 , 8.3 , 2.3 , 0.7 , 6.8 , 43.4 
E23000034,City of London,8700,3500, null , null , null , null , null , null , null , null , null , null , null , null , null , null , null , null , null , null , null , null 
E23000001,Metropolitan Police,8899400,3510100, 102.3 , 24.8 , 0.016 , 8.7 , 10.1 , 6.0 , 0.000 , 2.2 , 4.5 , 51.4 , 16.8 , 14.2 , 6.1 , 2.2 , 5.1 , 6.3 , 5.2 , 0.8 , 5.9 , 173.7 
E23000030,Hampshire,1985800,830300, 81.8 , 30.0 , 0.008 , 10.6 , 12.3 , 7.0 , 0.013 , 3.0 , 0.8 , 26.8 , 9.4 , 6.1 , 0.6 , 1.7 , 6.1 , 8.9 , 2.2 , 0.9 , 7.9 , 38.7 
E23000032,Kent,1846500,765300, 104.4 , 41.5 , 0.006 , 10.7 , 20.2 , 10.6 , 0.024 , 3.5 , 1.1 , 31.6 , 10.3 , 7.5 , 0.7 , 0.8 , 7.6 , 12.2 , 1.9 , 0.9 , 8.6 , 42.9 
E23000031,Surrey,1189900,474700, 64.7 , 20.2 , 0.004 , 6.1 , 9.0 , 5.1 , 0.016 , 1.8 , 0.4 , 23.0 , 10.4 , 5.6 , 0.6 , 1.1 , 3.6 , 8.2 , 2.5 , 0.6 , 6.6 , 39.2 
E23000033,Sussex,1703800,742400, 74.8 , 25.7 , 0.011 , 8.7 , 11.3 , 5.6 , 0.008 , 2.8 , 0.8 , 25.4 , 6.4 , 5.6 , 0.9 , 1.6 , 5.3 , 8.5 , 2.4 , 1.1 , 6.7 , 70.1 
E23000029,Thames Valley,2407600,952600, 70.2 , 21.6 , 0.007 , 6.7 , 9.8 , 5.1 , 0.007 , 2.3 , 0.7 , 29.7 , 8.1 , 7.7 , 1.3 , 2.3 , 5.7 , 7.8 , 2.4 , 0.7 , 3.6 , 65.3 
E23000036,Avon and Somerset,1711500,723200, 81.1 , 25.9 , 0.009 , 7.5 , 11.1 , 7.3 , 0.001 , 2.5 , 1.0 , 28.0 , 8.6 , 6.1 , 0.8 , 1.8 , 6.1 , 9.0 , 1.9 , 0.6 , 11.0 , 53.2 
E23000035,Devon and Cornwall,1762400,758500, 58.3 , 23.5 , 0.007 , 8.9 , 8.8 , 5.8 , 0.020 , 2.5 , 0.4 , 15.3 , 3.2 , 2.8 , 0.4 , 0.5 , 3.7 , 8.2 , 2.5 , 0.6 , 4.1 , 27.5 
E23000039,Dorset,772300,341100, 70.1 , 25.6 , 0.003 , 8.1 , 10.9 , 6.6 , 0.006 , 2.7 , 0.3 , 24.6 , 6.2 , 5.7 , 0.6 , 1.5 , 4.4 , 9.3 , 2.0 , 0.5 , 4.2 , 35.2 
E23000037,Gloucestershire,633600,269300, 60.7 , 19.6 , 0.006 , 8.4 , 5.7 , 5.4 , 0.006 , 1.7 , 0.5 , 23.5 , 9.0 , 5.1 , 0.6 , 1.3 , 4.8 , 7.6 , 2.0 , 0.5 , 4.3 , 49.9 
E23000038,Wiltshire,720100,302100, 61.5 , 21.1 , 0.004 , 8.3 , 8.6 , 4.2 , 0.008 , 2.1 , 0.5 , 22.2 , 6.3 , 3.7 , 0.5 , 1.2 , 6.5 , 7.9 , 2.2 , 0.5 , 4.1 , 34.0 
W15000004,Dyfed-Powys,518100,228000, 61.1 , 25.5 , 0.017 , 6.9 , 11.6 , 7.0 , 0.006 , 2.7 , 0.1 , 14.2 , 4.6 , 1.8 , 0.2 , 0.3 , 3.5 , 8.0 , 4.0 , 0.5 , 4.4 , 39.2 
W15000002,Gwent,591200,253000, 98.1 , 34.6 , 0.008 , 9.8 , 12.4 , 12.5 , 0.010 , 2.7 , 0.5 , 26.6 , 10.1 , 5.8 , 0.5 , 0.6 , 5.8 , 15.2 , 2.6 , 0.4 , 13.2 , 33.0 
W15000001,North Wales,698400,304900, 87.6 , 37.5 , 0.004 , 10.1 , 16.1 , 11.2 , 0.009 , 3.8 , 0.3 , 21.6 , 7.9 , 2.8 , 0.3 , 0.6 , 6.1 , 10.9 , 2.3 , 0.6 , 8.8 , 35.4 
W15000003,South Wales,1331000,572900, 84.6 , 29.5 , 0.016 , 9.2 , 9.1 , 11.2 , 0.017 , 2.7 , 0.4 , 27.6 , 7.0 , 5.9 , 0.8 , 1.4 , 7.6 , 9.5 , 3.3 , 0.5 , 9.4 , 55.9 
