date,meanTakeaway,medianTakeaway,meanFish,medianFish,meanPizza,medianPizza,meanSpag,medianSpag,meanRoast,medianRoast
01/02/2000,2.9168518,2.9749999,2.9168518,2.9749999,5.5904346,5.25,0.92016117,0.868949998,2.802660227,2.861375045
01/03/2000,2.9090741,2.95,2.9090741,2.95,5.5325842,5.25,0.906780838,0.860700011,2.795515239,2.832291588
01/04/2000,2.9339015,3,2.9339015,3,5.4723959,5.25,0.904533281,0.856849993,2.772842228,2.822791591
01/05/2000,2.9475095,3,2.9475095,3,5.517653,5.25,0.904597981,0.852974997,2.759454049,2.807374928
01/06/2000,2.9400375,3,2.9400375,3,5.5833664,5.3499999,0.905056802,0.845574979,2.856882907,2.907374956
01/07/2000,2.9633594,3,2.9633594,3,5.622745,5.3499999,0.903747942,0.83557499,2.841738828,2.909374945
01/08/2000,2.9678926,3,2.9678926,3,5.6378641,5.3499999,0.912143881,0.850775011,2.872403018,2.908624947
01/09/2000,3.006207,3,3.006207,3,5.6982856,5.4000001,0.896695103,0.835949985,2.880722776,2.927166671
01/10/2000,3.0073078,3,3.0073078,3,5.6527882,5.3000002,0.911765037,0.858700018,2.889281023,2.86308337
01/11/2000,3.0113027,3,3.0113027,3,5.678381,5.3499999,0.918277127,0.87233747,2.939247105,2.909250043
01/12/2000,3.0322957,3,3.0322957,3,5.6457405,5.25,0.918399001,0.868524978,2.911046728,2.917375043
01/01/2001,3.0319924,3.05,3.0319924,3.05,5.7106543,5.4000001,0.921832109,0.870574961,3.00349056,2.985375062
01/02/2001,3.0391321,3.0999999,3.0391321,3.0999999,5.4866385,5.25,0.930332355,0.885024978,2.998876788,2.95508337
01/03/2001,3.067116,3.0999999,3.067116,3.0999999,5.4688134,5.1199999,0.982415418,0.929325034,3.093327701,3.003749967
01/04/2001,3.0808582,3.0999999,3.0808582,3.0999999,5.4728813,5.1199999,0.9772231,0.926325034,2.953624591,2.999375045
01/05/2001,3.1042264,3.0999999,3.1042264,3.0999999,5.4892435,4.9899998,0.987972667,0.959075,3.079557426,3.065125033
01/06/2001,3.1162825,3.0999999,3.1162825,3.0999999,5.5003448,4.9899998,0.975633198,0.924450001,3.191624373,3.143375069
01/07/2001,3.1271641,3.1500001,3.1271641,3.1500001,5.4865041,4.9899998,0.966368932,0.924449997,3.016696602,3.045000039
01/08/2001,3.1448495,3.1500001,3.1448495,3.1500001,5.5068851,5.0699997,0.978417156,0.937699992,3.021968827,3.029000051
01/09/2001,3.1510112,3.1500001,3.1510112,3.1500001,5.5213223,4.9899998,0.963865944,0.939449984,2.90944875,2.96062506
01/10/2001,3.1630259,3.2,3.1630259,3.2,5.5452032,5.1500001,0.953101349,0.903974995,2.942712724,2.967458375
01/11/2001,3.1731868,3.2,3.1731868,3.2,5.589756,5.29,0.939045472,0.900075004,2.939109571,2.918958403
