date,metric,value,value2
2019-01-31,Housing transactions,96700,null
2019-02-28,Housing transactions,96070,null
2019-03-31,Housing transactions,97130,null
2019-04-30,Housing transactions,97200,null
2019-05-31,Housing transactions,95900,null
2019-06-30,Housing transactions,100280,null
2019-07-31,Housing transactions,98490,null
2019-08-31,Housing transactions,97850,null
2019-09-30,Housing transactions,99740,null
2019-10-31,Housing transactions,99390,null
2019-11-30,Housing transactions,99030,null
2019-12-31,Housing transactions,99080,null
2020-01-31,Housing transactions,96070,null
2020-02-29,Housing transactions,96030,null
2020-03-31,Housing transactions,90240,null
2020-04-30,Housing transactions,42130,null
2020-05-31,Housing transactions,47950,null
2020-06-01,Housing transactions,63540,null
2020-07-01,Housing transactions,72220,null
2020-08-01,Housing transactions,82110,null
2020-09-01,Housing transactions,96650,null
2020-10-01,Housing transactions,108690,null
2020-11-01,Housing transactions,116080,null
2020-12-01,Housing transactions,127030,null
2021-01-01,Housing transactions,116560,null
2021-02-01,Housing transactions,139570,null
2021-03-01,Housing transactions,174460,null
2021-04-01,Housing transactions,120000,null
2021-05-01,Housing transactions,113840,null
2021-06-01,Housing transactions,205700,null
2021-07-01,Housing transactions,76760,null
2021-08-01,Housing transactions,97590,null
2021-09-01,Housing transactions,163620,null
2021-10-01,Housing transactions,78900,null
2021-11-01,Housing transactions,94030,null
2021-12-01,Housing transactions,99470,null
2022-01-01,Housing transactions,105450,null
2022-02-01,Housing transactions,107740,null
2022-03-01,Housing transactions,110460,null
2022-04-01,Housing transactions,106550,null
2022-05-01,Housing transactions,106430,null
2022-06-01,Housing transactions,101080,220000
2022-07-01,Housing transactions,103880,220000
2022-08-01,Housing transactions,104980,220000
2019-01-31,Mortgage approvals,64341,null
2019-02-28,Mortgage approvals,64496,null
2019-03-31,Mortgage approvals,62325,null
2019-04-30,Mortgage approvals,65747,null
2019-05-31,Mortgage approvals,65544,null
2019-06-30,Mortgage approvals,66945,null
2019-07-31,Mortgage approvals,68762,null
2019-08-31,Mortgage approvals,67470,null
2019-09-30,Mortgage approvals,66626,null
2019-10-31,Mortgage approvals,65262,null
2019-11-30,Mortgage approvals,65132,null
2019-12-31,Mortgage approvals,65747,null
2020-01-31,Mortgage approvals,68439,null
2020-02-29,Mortgage approvals,72200,null
2020-03-31,Mortgage approvals,56371,null
2020-04-30,Mortgage approvals,15857,null
2020-05-31,Mortgage approvals,9346,null
2020-06-01,Mortgage approvals,40706,null
2020-07-01,Mortgage approvals,68669,null
2020-08-01,Mortgage approvals,87494,null
2020-09-01,Mortgage approvals,93358,null
2020-10-01,Mortgage approvals,99306,null
2020-11-01,Mortgage approvals,104996,null
2020-12-01,Mortgage approvals,100146,null
2021-01-01,Mortgage approvals,95341,null
2021-02-01,Mortgage approvals,86046,null
2021-03-01,Mortgage approvals,81528,null
2021-04-01,Mortgage approvals,85715,null
2021-05-01,Mortgage approvals,86484,null
2021-06-01,Mortgage approvals,80464,null
2021-07-01,Mortgage approvals,76197,null
2021-08-01,Mortgage approvals,74338,null
2021-09-01,Mortgage approvals,72403,null
2021-10-01,Mortgage approvals,67701,null
2021-11-01,Mortgage approvals,67593,null
2021-12-01,Mortgage approvals,70204,null
2022-01-01,Mortgage approvals,73220,null
2022-02-01,Mortgage approvals,70240,null
2022-03-01,Mortgage approvals,69531,null
2022-04-01,Mortgage approvals,65974,null
2022-05-01,Mortgage approvals,null,null
2022-06-01,Mortgage approvals,null,null
2022-07-01,Mortgage approvals,null,null
2022-08-01,Mortgage approvals,null,null
