year,region,value
1992,Wales,28.5
1993,Wales,29.2
1994,Wales,28.5
1995,Wales,28.6
1996,Wales,27.9
1997,Wales,28.1
1998,Wales,29.0
1999,Wales,28.1
2000,Wales,28.1
2001,Wales,29.2
2002,Wales,28.4
2003,Wales,26.1
2004,Wales,26.4
2005,Wales,26.8
2006,Wales,26.2
2007,Wales,26.2
2008,Wales,26.1
2009,Wales,26.0
2010,Wales,26.2
2011,Wales,25.0
2012,Wales,24.8
2013,Wales,23.9
2014,Wales,25.5
2015,Wales,24.6
2016,Wales,23.9
2017,Wales,23.5
2018,Wales,21.8
2019,Wales,22.3
2020,Wales,23.9
2021,Wales,23.0
1992,Scotland,23.9
1993,Scotland,25.3
1994,Scotland,24.5
1995,Scotland,24.8
1996,Scotland,25.6
1997,Scotland,25.1
1998,Scotland,25.2
1999,Scotland,25.2
2000,Scotland,24.0
2001,Scotland,23.8
2002,Scotland,23.6
2003,Scotland,23.3
2004,Scotland,22.6
2005,Scotland,22.7
2006,Scotland,22.6
2007,Scotland,21.7
2008,Scotland,22.3
2009,Scotland,22.4
2010,Scotland,23.0
2011,Scotland,22.5
2012,Scotland,22.8
2013,Scotland,21.9
2014,Scotland,21.5
2015,Scotland,20.9
2016,Scotland,22.2
2017,Scotland,22.0
2018,Scotland,21.8
2019,Scotland,22.0
2020,Scotland,22.5
2021,Scotland,22.3
1992,England,22.7
1993,England,22.8
1994,England,23.1
1995,England,23.2
1996,England,23.1
1997,England,23.0
1998,England,23.1
1999,England,22.7
2000,England,22.7
2001,England,22.9
2002,England,22.8
2003,England,23.0
2004,England,23.0
2005,England,23.0
2006,England,22.6
2007,England,23.0
2008,England,22.6
2009,England,22.8
2010,England,23.1
2011,England,23.2
2012,England,22.5
2013,England,22.2
2014,England,21.9
2015,England,21.8
2016,England,21.3
2017,England,21.1
2018,England,20.8
2019,England,20.3
2020,England,20.4
2021,England,20.8
1992,N. Ireland,29.4
1993,N. Ireland,31.2
1994,N. Ireland,32.2
1995,N. Ireland,30.7
1996,N. Ireland,29.8
1997,N. Ireland,28.5
1998,N. Ireland,29.5
1999,N. Ireland,29.7
2000,N. Ireland,30.9
2001,N. Ireland,30
2002,N. Ireland,29.7
2003,N. Ireland,28.9
2004,N. Ireland,30.5
2005,N. Ireland,29.3
2006,N. Ireland,29.1
2007,N. Ireland,28.7
2008,N. Ireland,28.8
2009,N. Ireland,30.8
2010,N. Ireland,28.8
2011,N. Ireland,27.3
2012,N. Ireland,27.3
2013,N. Ireland,27.6
2014,N. Ireland,27.2
2015,N. Ireland,27.2
2016,N. Ireland,26.1
2017,N. Ireland,27.9
2018,N. Ireland,27.5
2019,N. Ireland,25.9
2020,N. Ireland,27.7
2021,N. Ireland,28.7
1992,UK,23.3
1993,UK,23.5
1994,UK,23.8
1995,UK,23.8
1996,UK,23.7
1997,UK,23.6
1998,UK,23.7
1999,UK,23.3
2000,UK,23.3
2001,UK,23.4
2002,UK,23.4
2003,UK,23.3
2004,UK,23.4
2005,UK,23.3
2006,UK,23.0
2007,UK,23.2
2008,UK,23.0
2009,UK,23.1
2010,UK,23.5
2011,UK,23.3
2012,UK,22.8
2013,UK,22.4
2014,UK,22.2
2015,UK,22.0
2016,UK,21.7
2017,UK,21.5
2018,UK,21.1
2019,UK,20.7
2020,UK,20.9
2021,UK,21.3
