GSScode,name,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile,has_co-operative,has_iceland,has_lidl,has_marks and spencer,has_morrisons,has_sainsburys,has_tesco,has_waitrose,Con_win
E14001201,Dorking & Horley,Con,37.1,83.4,83.4,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001363,Dorset Mid & North Poole,Con,39.6,88.4,85.1,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001388,Dorset North,Con,40.1,79.7,77.8,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,True,True,False,True,True,True
E14001485,Dorset South,Con,26.2,75.5,73.1,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,False,True,True,True,True,True,False,True
E14001575,Dorset West,Con,44.7,83.2,83.2,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,False,True,True,True,True,True
E14001202,Dover & Deal,Con,38.1,82.0,80.1,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
E14001203,Droitwich & Evesham,Con,47.0,78.7,78.7,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001204,Dudley,Con,36.2,76.9,75.2,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,False,False,True,True,True,False,True
E14001205,Dulwich & West Norwood,Lab,71.7,81.2,78.3,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,True,False,True,False,True,True,False,False
S14000073,Dumfries & Galloway,Con,53.2,73.6,67.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
