GSScode,name,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile,has_co-operative,has_iceland,has_lidl,has_marks and spencer,has_morrisons,has_sainsburys,has_tesco,has_waitrose,Con_win
E14001272,Hartlepool,Lab,36.6,70.3,67.9,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),False,True,True,True,True,True,True,False,False
E14001273,Harwich & North Essex,Con,38.5,71.5,71.5,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,False,True,False,True,False,True
E14001274,Hastings & Rye,Con,41.3,81.2,78.2,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
E14001275,Havant,Con,32.4,67.5,66.1,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,True,True
E14001276,Hayes & Harlington,Lab,48.8,64.1,59.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,False,True,True,False,False
E14001277,Hazel Grove,Con,51.8,83.0,78.2,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
E14001278,Hemel Hempstead,Con,43.9,79.8,78.1,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Third Quintile (42.3%-48.3%),True,True,False,True,True,True,True,False,True
E14001279,Hendon,Con,38.2,68.5,65.3,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),True,True,False,True,True,True,True,True,True
E14001280,Henley & Thame,Con,59.1,85.7,84.2,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,False,False,True,True,True,True,True,True
E14001281,Hereford & South Herefordshire,Con,41.0,79.6,77.9,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001395,Herefordshire North,Con,46.0,83.5,82.9,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,False,False,False,True,False,True,False,True
E14001282,Herne Bay & Sandwich,Con,37.1,75.5,72.8,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
E14001283,Hertford & Stortford,Con,56.7,82.4,78.0,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,False,False,True,True,True,True,True,True
E14001393,Hertfordshire North East,Con,42.9,87.7,81.1,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,True
E14001496,Hertfordshire South West,Con,77.4,80.4,75.5,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,True,False,True,True,True
E14001284,Hertsmere,Con,45.7,70.2,70.2,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001285,Hexham,Con,50.5,72.6,71.1,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
E14001286,Heywood & Middleton North,Lab,46.0,71.4,69.5,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,False,True,True,False,True,False,False
E14001287,High Peak,Con,57.2,74.8,74.8,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
E14001288,Hinckley & Bosworth,Con,41.4,87.2,84.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,True
E14001289,Hitchin,Con,46.7,84.9,83.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,False,True,True,True,True,True,True
E14001290,Holborn & St Pancras,Lab,67.9,72.9,68.2,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001291,Honiton & Sidmouth,Con,33.9,77.1,73.9,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,True,True
E14001292,Hornchurch & Upminster,Con,51.1,86.1,84.7,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,False,True,True,True,True
E14001293,Hornsey & Friern Barnet,Lab,72.7,83.7,79.4,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,True,True,True,False,True,True,True,False
E14001294,Horsham,Con,52.1,78.8,76.2,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,True,True
E14001295,Houghton & Sunderland South,Lab,24.1,72.4,69.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,False,True,True,True,False,False
E14001296,Hove & Portslade,Lab,56.9,86.1,81.4,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,False
E14001297,Huddersfield,Lab,45.2,81.4,73.0,Fourth Quintile (80.6%-84.2%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001313,Hull East,Lab,27.7,81.3,77.6,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Lowest Quintile (<35.3%),True,True,True,False,True,True,True,False,False
E14001314,Hull North & Cottingham,Lab,48.3,69.0,67.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001315,Hull West & Haltemprice,Con,33.9,79.5,79.5,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,True,True
E14001298,Huntingdon,Con,37.8,89.1,88.8,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001299,Hyndburn,Con,39.8,79.5,79.5,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,False,True,False,True,False,True
E14001300,Ilford North,Lab,63.8,74.9,72.7,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,True,True,False,True,True,False,False
E14001301,Ilford South,Lab,34.4,67.9,65.1,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,False,True,True,False,False
S14000093,Inverclyde & Renfrewshire West,SNP,55.6,74.9,71.2,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
S14000094,"Inverness, Skye & West Ross-shire",SNP,47.0,76.0,74.2,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,False
E14001302,Ipswich,Con,47.1,87.3,84.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001303,Isle of Wight East,Con,37.0,73.4,70.6,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,True
E14001304,Isle of Wight West,Con,37.4,78.2,74.2,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001305,Islington North,Lab,70.8,80.6,77.9,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001306,Islington South & Finsbury,Lab,73.8,86.3,82.2,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,False,True,False,True,True,True,False
E14001307,Jarrow & Gateshead East,Lab,32.2,77.0,71.3,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,False,True,False,True,False,False
E14001308,Keighley & Ilkley,Con,51.5,76.7,76.7,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,False,True,True,True,True,False,True
E14001309,Kenilworth & Southam,Con,55.1,81.8,80.6,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,False,False,False,True,True,True,True
E14001310,Kensington & Bayswater,Lab,70.8,68.5,62.8,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Highest Quintile (57.9%+),True,False,False,True,False,True,True,True,False
E14001311,Kettering,Con,31.3,75.9,75.9,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
S14000110,Kilmarnock & Loudoun,SNP,51.3,71.8,71.2,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),,,,,,,,,False
E14001312,Kingston & Surbiton,LD,70.5,88.6,82.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001316,Kingswinford & South Staffordshire,Con,52.9,85.9,80.3,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,False,True,False,True,True,True,False,True
E14001317,Knowsley,Lab,26.4,75.7,70.6,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,False,True,True,False,True,False,False
N05000009,Lagan Valley,DUP,,,,,,,True,True,True,True,False,True,True,False,False
E14001577,Lancashire West,Lab,46.2,80.1,74.7,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,False
E14001318,Lancaster & Wyre,Con,54.2,73.4,69.0,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
E14001319,Leeds Central & Headingley,Lab,62.3,69.8,67.6,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Highest Quintile (57.9%+),True,True,False,True,True,True,True,False,False
E14001320,Leeds East,Lab,34.7,58.8,52.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,False
E14001321,Leeds North East,Lab,62.9,81.6,81.6,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,False,True,True,True,True,True,True,False
E14001322,Leeds North West,Con,62.3,86.6,86.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,False,False,True,True,True,True,True,True
E14001323,Leeds South,Lab,44.9,77.9,74.2,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001324,Leeds South West & Morley,Con,62.9,91.4,91.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,False,False,True,True,True,True,False,True
E14001325,Leeds West & Pudsey,Lab,44.4,87.3,85.9,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,False,True,True,True,True,True,False,False
E14001326,Leicester East,Lab,25.1,66.1,57.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,False,True,True,True,False,False
E14001327,Leicester South,Lab,43.8,72.6,66.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001328,Leicester West,Lab,36.3,76.2,70.6,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,False,True,False,True,False,False
E14001364,Leicestershire Mid,Con,43.3,85.7,85.7,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,False,False,False,True,False,True,True,True
E14001404,Leicestershire North West,Con,42.8,79.0,77.9,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,True
E14001488,Leicestershire South,Con,39.0,88.0,84.5,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,False,True,True,True,True,True,True
E14001329,Leigh & Atherton,Con,28.1,67.3,65.3,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001330,Lewes,Con,39.4,77.5,75.8,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,False,True,True,True,True,True,True,True
E14001331,Lewisham East,Lab,52.1,79.1,69.7,Third Quintile (77.5%-80.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001332,Lewisham North,Lab,68.6,75.7,70.0,Second Quintile (73.6%-77.5%),Lowest Quintile (<70.0%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
E14001333,Lewisham West & East Dulwich,Lab,79.7,91.8,90.9,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,False,True,True,False,True,True,False,False
E14001334,Leyton & Wanstead,Lab,70.2,73.6,72.0,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,False,True,False,True,True,True,False
E14001335,Lichfield,Con,45.8,92.4,91.3,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,False,True,False,True,True,True
E14001336,Lincoln,Con,51.4,74.3,74.3,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
E14001337,Liverpool Garston,Lab,46.3,71.1,67.3,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001338,Liverpool Riverside,Lab,46.4,78.3,64.7,Third Quintile (77.5%-80.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001339,Liverpool Walton,Lab,35.5,71.9,69.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),False,True,True,True,True,True,True,False,False
E14001340,Liverpool Wavertree,Lab,60.7,73.7,70.8,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,True,False,True,False,True,False,False
E14001341,Liverpool West Derby,Lab,29.1,78.2,69.7,Third Quintile (77.5%-80.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,False
S14000095,Livingston,SNP,40.9,77.6,72.0,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,False
W07000098,Llanelli,Lab,42.4,71.5,67.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,False
N05000006,Londonderry East,DUP,,,,,,,False,True,True,True,False,True,True,False,False
S14000096,Lothian East,SNP,55.5,83.1,78.7,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,False,True,False,True,False,True,False,False
E14001342,Loughborough,Con,43.5,77.6,74.4,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001343,Louth & Horncastle,Con,20.3,79.4,79.4,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Lowest Quintile (<35.3%),True,False,True,False,True,True,True,False,True
E14001344,Lowestoft,Con,25.5,75.4,73.6,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,True,False,True,False,True
E14001345,Luton North,Lab,41.1,78.4,76.3,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,False
E14001346,Luton South & South Bedfordshire,Lab,43.2,71.7,65.9,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,False,True,True,False,False
E14001347,Macclesfield,Con,63.3,90.1,88.2,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,False,True,True,True,True,True,True
E14001348,Maidenhead,Con,61.7,85.7,81.4,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,True
E14001349,Maidstone & Malling,Con,38.3,82.4,79.8,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001350,Makerfield,Lab,39.3,73.3,71.7,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,False
E14001351,Maldon,Con,53.2,84.2,84.2,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
E14001352,Manchester Central,Lab,56.8,76.5,69.8,Second Quintile (73.6%-77.5%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001353,Manchester Rusholme,Lab,49.8,68.3,66.6,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001354,Manchester Withington,Lab,73.7,76.3,75.3,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,False,False,True,True,True,True,False,False
E14001355,Mansfield,Con,42.2,73.3,73.3,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
E14001356,Melksham & Devizes,Con,49.0,82.0,81.3,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
E14001357,Melton & Syston,Con,40.7,82.9,82.9,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
E14001358,Meriden & Solihull East,Con,37.4,78.8,75.8,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,False,True,False,True,True,True,True
W07000099,Merthyr Tydfil & Aberdare,Lab,31.7,75.9,72.5,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,False,False,True,False,False
E14001367,Middlesbrough & Thornaby East,Lab,37.8,73.4,66.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,False
E14001368,Middlesbrough South & East Cleveland,Con,38.7,76.7,72.6,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
S14000045,Midlothian,SNP,59.8,86.6,85.3,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,False,True,True,True,True,True,False,False
E14001369,Milton Keynes Central,Con,55.3,76.7,74.4,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,True,True
E14001370,Milton Keynes North,Con,46.3,77.4,76.5,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Third Quintile (42.3%-48.3%),True,False,True,True,True,True,True,True,True
E14001371,Mitcham & Morden,Lab,59.0,78.2,76.0,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
W07000101,Monmouthshire,Con,58.0,80.2,76.2,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,True,False,True,True,True
W07000102,Montgomeryshire & Glyndwr,Con,39.3,83.7,80.0,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,False,True,False,True,False,True
S14000098,"Moray West, Nairn & Strathspey",SNP,51.2,77.3,74.8,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,False,False
E14001372,Morecambe & Lunesdale,Con,39.0,79.5,79.5,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
S14000099,"Motherwell, Wishaw & Carluke",SNP,41.8,72.8,70.5,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,False,True,False,True,False,False
S14000027,Na h-Eileanan an Iar,SNP,51.0,79.1,77.8,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,False,False,False,False,False,True,False,False
W07000103,Neath & Swansea East,Lab,40.6,78.2,76.9,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,True,True,False,True,False,False
E14001373,New Forest East,Con,41.6,82.7,80.1,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,False,True,False,True,True,True,True,True
E14001374,New Forest West,Con,33.1,89.6,85.1,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,True,True
E14001375,Newark,Con,47.4,78.1,77.0,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001376,Newbury,Con,56.8,83.8,82.3,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,True,True
E14001380,Newcastle-under-Lyme,Con,48.3,90.2,90.2,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001377,Newcastle upon Tyne Central & West,Lab,37.5,73.5,71.4,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,False
E14001378,Newcastle upon Tyne East & Wallsend,Lab,45.8,77.4,72.1,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001379,Newcastle upon Tyne North,Lab,67.8,77.3,75.3,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),False,False,True,True,True,True,True,True,False
W07000104,Newport East,Lab,37.4,74.9,70.4,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,False
W07000105,Newport West & Islwyn,Lab,49.4,80.4,79.1,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,True,False,True,False,True,False,False
N05000011,Newry & Armagh,SF,,,,,,,False,True,True,True,False,True,True,False,False
E14001381,Newton Abbot,Con,41.3,84.8,82.7,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,True
E14001382,Newton Aycliffe & Spennymoor,Con,37.3,77.2,75.7,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,True
E14001365,Norfolk Mid,Con,29.8,70.1,67.9,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001396,Norfolk North,Con,42.4,75.4,72.5,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,False,True,True,True,True,True
E14001405,Norfolk North West,Con,28.5,78.3,74.6,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,False,True,True,True,True,True,False,True
E14001489,Norfolk South,Con,50.5,79.1,75.2,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,True,True
E14001497,Norfolk South West,Con,30.8,92.4,90.7,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,True,True
E14001383,Normanton & Hemsworth,Lab,26.3,71.5,68.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,False,True,True,True,False,False
N05000013,North Down,All,,,,,,,True,False,True,True,False,True,True,False,False
E14001406,Northampton North,Con,34.1,76.0,70.2,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,True,True
E14001407,Northampton South,Con,45.1,83.6,79.6,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,False,True,True,True,True,True,True,True
E14001490,Northamptonshire South,Con,47.1,89.7,86.0,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,False,False,True,False,True,True,True,True
E14001397,Northumberland North,Con,43.9,74.8,72.3,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,True
E14001408,Norwich North,Con,43.5,81.8,79.9,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,False,True,True,True,True,True,False,True
E14001409,Norwich South,Lab,72.9,89.1,83.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,False,True,True,True,True,True,False
E14001410,Nottingham East,Lab,45.8,71.5,67.2,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,False,True,True,False,True,True,True,False
E14001411,Nottingham North & Kimberley,Lab,36.1,72.7,69.6,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,False
E14001412,Nottingham South,Lab,31.5,69.8,65.1,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,False
E14001413,Nuneaton,Con,32.5,82.6,81.7,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Lowest Quintile (<35.3%),True,True,True,False,False,True,True,False,True
