GSScode,constituency_id,name,region,country,result_2019,majority_2019_percent,status,time_reported,time_declared,result_2024,majority_2024_number,majority_2024_percent,turnout_2024_number,turnout_2024_percent
E14001063,E14001063,Aldershot,SE,England,CON,34.7,result,1720148731000,1720148703000,LAB,5683,11.71,48544,61.79
E14001064,E14001064,Aldridge-Brownhills,WM,England,CON,48.09,result,1720147431000,1720147414000,CON,4231,10.33,40975,57.82
E14001065,E14001065,Altrincham & Sale West,NW,England,CON,11.21,result,1720149759000,1720149749000,LAB,4174,8.11,51452,71.72
E14001066,E14001066,Amber Valley,EM,England,CON,37.03,result,1720147191000,1720147167000,LAB,3554,8.36,42531,60.34
E14001067,E14001067,Arundel & South Downs,SE,England,CON,41.49,result,1720155611000,1720155592000,CON,12134,22.17,54740,70.21
E14001068,E14001068,Ashfield,EM,England,CON,12.35,result,1720144474000,1720144464000,REF,5508,13.81,39882,58.57
E14001069,E14001069,Ashford,SE,England,CON,35.43,result,1720152970000,1720152944000,LAB,1779,3.79,46975,61.64
E14001070,E14001070,Ashton-under-Lyne,NW,England,LAB,11.33,result,1720145005000,1720144946000,LAB,6791,19.15,35461,49.94
E14001071,E14001071,Aylesbury,SE,England,CON,28.75,result,1720158000000,1720157983000,LAB,630,1.26,49940,63.08
E14001072,E14001072,Banbury,SE,England,CON,27.16,result,1720156619000,1720156610000,LAB,3256,6.76,48178,65.82
E14001073,E14001073,Barking,GL,England,LAB,34.11,result,1720150487000,1720150469000,LAB,11054,30.3,36477,45.7
E14001074,E14001074,Barnsley North,YH,England,LAB,9,result,1720141605000,1720141597000,LAB,7811,21.17,36894,47.14
E14001075,E14001075,Barnsley South,YH,England,LAB,12.58,result,1720142244000,1720142218000,LAB,4748,13.53,35082,46.25
E14001076,E14001076,Barrow & Furness,NW,England,CON,14.86,result,1720144294000,1720144262000,LAB,5324,12.61,42221,56.31
E14001077,E14001077,Basildon & Billericay,EE,England,CON,44.29,result,1720148688000,1720148631000,CON,20,0.05,42124,55.41
E14001078,E14001078,Basingstoke,SE,England,CON,24.03,result,1720152852000,1720152834000,LAB,6484,13.24,48989,64.47
E14001079,E14001079,Bassetlaw,EM,England,CON,26.4,result,1720147604000,1720147586000,LAB,5768,12.85,44878,57.41
E14001080,E14001080,Bath,SW,England,LD,21.32,result,1720150150000,1720150124000,LD,11218,23.31,48130,69.1
E14001081,E14001081,Battersea,GL,England,LAB,10.97,result,1720142147000,1720142139000,LAB,12039,25.57,47082,64.7
E14001082,E14001082,Beaconsfield,SE,England,CON,26.17,result,1720160664000,1720160644000,CON,5455,11.43,47726,65.6
E14001083,E14001083,Beckenham & Penge,GL,England,LAB,1.05,result,1720148802000,1720148769000,LAB,12905,24.71,52222,69.49
E14001084,E14001084,Bedford,EE,England,LAB,2.39,result,1720152993000,1720152972000,LAB,9430,23.19,40659,56.1
E14001085,E14001085,Bermondsey & Old Southwark,GL,England,LAB,18.56,result,1720145289000,1720145209000,LAB,7787,20.71,37603,54.13
E14001086,E14001086,Bethnal Green & Stepney,GL,England,LAB,63.37,result,1720154614000,1720154565000,LAB,1689,3.62,46647,56.94
E14001087,E14001087,Beverley & Holderness,YH,England,CON,36.33,result,1720157068000,1720157059000,CON,124,0.28,44897,63.63
E14001088,E14001088,Bexhill & Battle,SE,England,CON,40.98,result,1720151063000,1720151046000,CON,2657,5.56,47750,66.13
E14001089,E14001089,Bexleyheath & Crayford,GL,England,CON,31.79,result,1720149940000,1720149918000,LAB,2114,4.86,43461,62.56
E14001090,E14001090,Bicester & Woodstock,SE,England,CON,27.32,result,1720159115000,1720159098000,LD,4958,9.87,50219,67.54
E14001091,E14001091,Birkenhead,NW,England,LAB,44.42,result,1720146831000,1720146810000,LAB,13798,31.99,43134,55.24
E14001092,E14001092,Birmingham Edgbaston,WM,England,LAB,16.87,result,1720152736000,1720152712000,LAB,8368,22.36,37428,52.14
E14001093,E14001093,Birmingham Erdington,WM,England,LAB,7.96,result,1720153095000,1720153061000,LAB,7019,20.77,33798,43.63
E14001094,E14001094,Birmingham Hall Green & Moseley,WM,England,LAB,51.23,result,1720154807000,1720154772000,LAB,5656,13.59,41606,54.08
E14001095,E14001095,Birmingham Hodge Hill & Solihull North,WM,England,LAB,31.36,result,1720151280000,1720151239000,LAB,1566,4.59,34136,43.91
E14001096,E14001096,Birmingham Ladywood,WM,England,LAB,73.16,result,1720158252000,1720158234000,LAB,3421,9.35,36579,43.71
E14001097,E14001097,Birmingham Northfield,WM,England,CON,3.38,result,1720152118000,1720152092000,LAB,5389,14.31,37652,50.85
E14001098,E14001098,Birmingham Perry Barr,WM,England,LAB,47.59,result,1720163503000,1720163494000,IND,507,1.35,37476,49.08
E14001099,E14001099,Birmingham Selly Oak,WM,England,LAB,24.09,result,1720152411000,1720152383000,LAB,11537,30.03,38423,50.77
E14001100,E14001100,Birmingham Yardley,WM,England,LAB,31.36,result,1720155657000,1720155636000,LAB,693,1.92,36144,49.38
E14001101,E14001101,Bishop Auckland,NE,England,CON,16.39,result,1720144419000,1720144399000,LAB,6672,16.5,40427,57.14
E14001102,E14001102,Blackburn,NW,England,LAB,42.65,result,1720151885000,1720151846000,IND,132,0.34,38887,53.08
E14001103,E14001103,Blackley & Middleton South,NW,England,LAB,30.78,result,1720151826000,1720151791000,LAB,10250,32.71,31340,43.47
E14001104,E14001104,Blackpool North & Fleetwood,NW,England,CON,20.22,result,1720150550000,1720150529000,LAB,4647,11.11,41810,57.01
E14001105,E14001105,Blackpool South,NW,England,CON,8.72,result,1720142180000,1720142157000,LAB,6848,19.47,35180,45.41
E14001106,E14001106,Blaydon & Consett,NE,England,LAB,9.12,result,1720145602000,1720145580000,LAB,11153,26.42,42216,59.88
E14001107,E14001107,Blyth & Ashington,NE,England,LAB,14.23,result,1720132426000,1720132416000,LAB,9173,22.7,40401,52.98
E14001108,E14001108,Bognor Regis & Littlehampton,SE,England,CON,43.2,result,1720152133000,1720152113000,CON,1765,3.69,47827,61.62
E14001109,E14001109,Bolsover,EM,England,CON,11.54,result,1720144895000,1720144873000,LAB,6323,14.9,42434,56.46
E14001110,E14001110,Bolton North East,NW,England,CON,2.56,result,1720148033000,1720148006000,LAB,6653,15.34,43359,54.19
E14001111,E14001111,Bolton South & Walkden,NW,England,LAB,24.85,result,1720145974000,1720145925000,LAB,6743,18.26,36930,46.38
E14001112,E14001112,Bolton West,NW,England,CON,21.29,result,1720146659000,1720146638000,LAB,4945,11.09,44598,59.52
E14001113,E14001113,Bootle,NW,England,LAB,70.27,result,1720142705000,1720142673000,LAB,21983,56.54,38880,51.96
E14001114,E14001114,Boston & Skegness,EM,England,CON,60.87,result,1720148694000,1720148676000,REF,2010,4.97,40455,53.36
E14001115,E14001115,Bournemouth East,SW,England,CON,17.87,result,1720151109000,1720151089000,LAB,5479,12.2,44910,62.07
E14001116,E14001116,Bournemouth West,SW,England,CON,21.73,result,1720152041000,1720152012000,LAB,3224,8.18,39418,56.1
E14001117,E14001117,Bracknell,SE,England,CON,30.13,result,1720146067000,1720146052000,LAB,784,1.79,43837,61.18
E14001118,E14001118,Bradford East,YH,England,LAB,41.27,result,1720154906000,1720154874000,LAB,6189,16.63,37216,49.51
E14001119,E14001119,Bradford South,YH,England,LAB,6.67,result,1720151742000,1720151711000,LAB,4392,13.29,33042,46.54
E14001120,E14001120,Bradford West,YH,England,LAB,61.04,result,1720153874000,1720153838000,LAB,707,1.91,37081,47.62
E14001121,E14001121,Braintree,EE,England,CON,49.28,result,1720156956000,1720156928000,CON,3670,7.49,49028,63.03
E14001122,E14001122,Brent East,GL,England,LAB,40.34,result,1720145676000,1720145664000,LAB,13047,34.51,37802,48.93
E14001123,E14001123,Brent West,GL,England,LAB,19.48,result,1720145988000,1720145981000,LAB,3793,9.17,41376,51.76
E14001124,E14001124,Brentford & Isleworth,GL,England,LAB,22.03,result,1720148276000,1720148268000,LAB,9824,21.71,45254,58.11
E14001125,E14001125,Brentwood & Ongar,EE,England,CON,54.86,result,1720146545000,1720146503000,CON,5980,12.37,48332,64.14
E14001126,E14001126,Bridgwater,SW,England,CON,37.16,result,1720147735000,1720147702000,CON,1349,3.36,40129,56.07
E14001127,E14001127,Bridlington & the Wolds,YH,England,CON,46.69,result,1720149631000,1720149610000,CON,3125,7.28,42937,58.87
E14001128,E14001128,Brigg & Immingham,YH,England,CON,51.74,result,1720151279000,1720151257000,CON,3243,7.63,42508,57.21
