Date,Private Enterprise,Housing Associations,Local Authorities,All
01/04/1969,41017,1775,33925,76715
01/07/1969,41017,1775,33925,76715
01/10/1969,41017,1775,33925,76715
01/01/1970,41017,1775,33925,76715
01/04/1970,38360,2045,32545,72947
01/07/1970,38360,2045,32545,72947
01/10/1970,38360,2045,32545,72947
01/01/1971,38360,2045,32545,72947
01/04/1971,42705,2542,28420,73670
01/07/1971,42705,2542,28420,73670
01/10/1971,42705,2542,28420,73670
01/01/1972,42705,2542,28420,73670
01/04/1972,43497,1725,22907,68130
01/07/1972,43497,1725,22907,68130
01/10/1972,43497,1725,22907,68130
01/01/1973,43497,1725,22907,68130
01/04/1973,40865,2085,19480,62427
01/07/1973,40865,2085,19480,62427
01/10/1973,40865,2085,19480,62427
01/01/1974,40865,2085,19480,62427
01/04/1974,30372,2315,24652,57340
01/07/1974,30372,2315,24652,57340
01/10/1974,30372,2315,24652,57340
01/01/1975,30372,2315,24652,57340
01/04/1975,32870,3412,29082,65365
01/07/1975,32870,3412,29082,65365
01/10/1975,32870,3412,29082,65365
01/01/1976,32870,3412,29082,65365
01/04/1976,32725,3610,29522,65857
01/07/1976,32725,3610,29522,65857
01/10/1976,32725,3610,29522,65857
01/01/1977,32725,3610,29522,65857
01/04/1977,30392,6047,28960,65400
01/07/1977,30392,6047,28960,65400
01/10/1977,30392,6047,28960,65400
01/01/1978,"30,230","4,840","22,290","57,360"
01/04/1978,"32,930","4,980","23,540","61,450"
01/07/1978,"30,620","5,260","23,280","59,160"
01/10/1978,"33,660","5,480","24,200","63,340"
01/01/1979,"24,810","4,160","14,410","43,380"
01/04/1979,"27,840","3,450","17,490","48,790"
01/07/1979,"26,130","3,490","17,540","47,160"
01/10/1979,"39,600","5,180","25,350","70,130"
01/01/1980,"27,730","4,550","17,320","49,600"
01/04/1980,"26,250","4,950","18,200","49,400"
01/07/1980,"27,050","4,640","19,560","51,250"
01/10/1980,"27,620","4,650","20,090","52,360"
01/01/1981,"24,900","5,260","15,920","46,070"
01/04/1981,"21,820","4,120","14,430","40,370"
01/07/1981,"24,110","3,740","13,030","40,880"
01/10/1981,"26,070","3,540","11,490","41,100"
01/01/1982,"23,610","3,360","8,710","35,670"
01/04/1982,"23,990","1,790","7,830","33,610"
01/07/1982,"25,900","2,310","7,580","35,790"
01/10/1982,"31,300","2,990","7,310","41,600"
01/01/1983,"26,890","2,640","6,470","35,990"
01/04/1983,"31,050","3,600","7,070","41,710"
01/07/1983,"30,470","3,090","8,060","41,610"
01/10/1983,"36,230","4,040","8,230","48,500"
01/01/1984,"32,940","3,500","6,060","42,500"
01/04/1984,"30,010","3,300","7,570","40,880"
01/07/1984,"33,050","3,280","7,760","44,080"
01/10/1984,"36,720","3,460","7,750","47,930"
01/01/1985,"30,930","2,920","5,530","39,370"
01/04/1985,"31,420","2,730","6,170","40,320"
01/07/1985,"31,190","2,390","5,750","39,340"
01/10/1985,"36,460","2,800","5,820","45,070"
01/01/1986,"30,410","2,350","3,990","36,750"
01/04/1986,"34,050","2,650","5,140","41,840"
01/07/1986,"34,750","2,080","4,600","41,430"
01/10/1986,"41,860","3,020","5,450","50,340"
01/01/1987,"35,580","2,000","3,780","41,360"
01/04/1987,"36,370","2,880","4,080","43,220"
01/07/1987,"37,020","2,550","4,260","43,820"
01/10/1987,"42,890","2,510","4,490","49,890"
01/01/1988,"41,120","2,420","3,280","46,820"
01/04/1988,"40,130","2,480","4,390","47,000"
01/07/1988,"43,160","2,130","4,500","49,790"
01/10/1988,"43,380","2,830","3,990","50,200"
01/01/1989,"39,190","2,400","3,160","44,750"
01/04/1989,"36,680","2,090","3,440","42,210"
01/07/1989,"36,190","2,700","3,960","42,850"
01/10/1989,"38,820","2,410","3,920","45,140"
01/01/1990,"34,840","2,840","3,340","41,020"
01/04/1990,"31,540","3,440","3,640","38,630"
01/07/1990,"33,010","3,360","4,050","40,430"
01/10/1990,"36,660","4,170","2,990","43,830"
01/01/1991,"31,280","3,590","2,280","37,150"
01/04/1991,"32,150","4,260","2,550","38,960"
01/07/1991,"32,890","4,020","1,870","38,780"
01/10/1991,"34,860","3,420","1,430","39,710"
01/01/1992,"32,150","4,270","1,270","37,690"
01/04/1992,"28,550","4,380",920,"33,850"
01/07/1992,"29,850","5,590",800,"36,240"
01/10/1992,"28,980","6,550",530,"36,050"
01/01/1993,"28,530","7,450",340,"36,320"
01/04/1993,"27,890","7,230",500,"35,610"
01/07/1993,"28,550","7,030",330,"35,910"
01/10/1993,"31,670","8,070",260,"40,000"
01/01/1994,"27,950","7,890",360,"36,200"
01/04/1994,"29,220","7,080",260,"36,560"
01/07/1994,"31,810","7,850",350,"40,000"
01/10/1994,"33,730","8,040",120,"41,880"
01/01/1995,"30,990","8,410",120,"39,520"
01/04/1995,"31,880","8,260",120,"40,260"
01/07/1995,"30,690","6,780",220,"37,690"
01/10/1995,"31,910","7,450",320,"39,670"
01/01/1996,"29,140","7,750",90,"36,980"
01/04/1996,"28,570","6,510",130,"35,220"
01/07/1996,"30,300","6,370",110,"36,780"
01/10/1996,"33,550","6,390",180,"40,110"
01/01/1997,"28,750","5,360",30,"34,140"
01/04/1997,"33,090","5,200",120,"38,410"
01/07/1997,"31,660","5,050",100,"36,810"
01/10/1997,"34,730","5,360",40,"40,140"
01/01/1998,"28,350","5,790",70,"34,200"
01/04/1998,"31,320","4,830",100,"36,250"
01/07/1998,"30,580","4,400",60,"35,030"
01/10/1998,"32,260","4,890",20,"37,170"
01/01/1999,"27,040","4,770",-,"31,810"
01/04/1999,"29,980","4,080",20,"34,080"
01/07/1999,"32,450","4,380",10,"36,840"
01/10/1999,"33,720","4,550",20,"38,280"
01/01/2000,"28,320","4,270",10,"32,590"
01/04/2000,"30,440","4,280",60,"34,770"
01/07/2000,"28,490","3,780",10,"32,280"
01/10/2000,"31,090","4,350",20,"35,450"
01/01/2001,"26,630","4,020",100,"30,750"
01/04/2001,"28,020","3,350",30,"31,400"
01/07/2001,"29,210","3,110",10,"32,320"
01/10/2001,"30,980","4,020",30,"35,030"
01/01/2002,"27,490","3,620",-,"31,110"
01/04/2002,"30,820","3,100",150,"34,060"
01/07/2002,"29,640","3,090",20,"32,750"
01/10/2002,"35,370","3,500",-,"38,880"
01/01/2003,"28,630","3,390",20,"32,050"
01/04/2003,"32,370","3,020",60,"35,450"
01/07/2003,"30,920","3,210",40,"34,170"
01/10/2003,"39,130","3,200",60,"42,390"
01/01/2004,"27,670","4,240",40,"31,950"
01/04/2004,"35,730","3,580",50,"39,360"
01/07/2004,"36,120","3,760",20,"39,910"
01/10/2004,"37,810","5,020",30,"42,850"
01/01/2005,"29,470","4,300",10,"33,770"
