LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1993,65.7770214
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1994,65.07798141
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1995,63.16686609
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1996,60.55246977
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1997,60.80033488
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1998,64.40787752
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1999,65.93446622
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2000,67.69885686
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2001,69.65501001
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2002,81.03029711
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2003,91.48249576
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2004,90.90757331
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2005,88.06364661
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2006,89.47021526
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2007,91.22569762
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2008,88.5895376
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2009,87.66145248
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2010,94.08963997
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2011,86.57774532
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2012,85.11174879
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2013,88.1985769
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2014,92.9484796
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2015,100
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2016,104.8779957
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2017,112.1389629
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2018,107.7402038
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2019,100.5609411
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2020,100.127088
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2021,114.5755106
AUS,HOUSECOST,PRICERENT,IDX2015,A,1973,40.92022223
AUS,HOUSECOST,PRICERENT,IDX2015,A,1974,45.06346236
AUS,HOUSECOST,PRICERENT,IDX2015,A,1975,42.91996834
AUS,HOUSECOST,PRICERENT,IDX2015,A,1976,41.70442574
AUS,HOUSECOST,PRICERENT,IDX2015,A,1977,40.6310459
AUS,HOUSECOST,PRICERENT,IDX2015,A,1978,39.46338622
AUS,HOUSECOST,PRICERENT,IDX2015,A,1979,41.16284123
AUS,HOUSECOST,PRICERENT,IDX2015,A,1980,43.57279414
AUS,HOUSECOST,PRICERENT,IDX2015,A,1981,46.40661744
AUS,HOUSECOST,PRICERENT,IDX2015,A,1982,43.04791516
AUS,HOUSECOST,PRICERENT,IDX2015,A,1983,41.75138959
AUS,HOUSECOST,PRICERENT,IDX2015,A,1984,43.37613656
AUS,HOUSECOST,PRICERENT,IDX2015,A,1985,44.06234873
AUS,HOUSECOST,PRICERENT,IDX2015,A,1986,42.73765883
AUS,HOUSECOST,PRICERENT,IDX2015,A,1987,40.97247297
AUS,HOUSECOST,PRICERENT,IDX2015,A,1988,44.96649472
AUS,HOUSECOST,PRICERENT,IDX2015,A,1989,51.34436234
AUS,HOUSECOST,PRICERENT,IDX2015,A,1990,49.19665117
AUS,HOUSECOST,PRICERENT,IDX2015,A,1991,48.86184009
AUS,HOUSECOST,PRICERENT,IDX2015,A,1992,49.14677211
AUS,HOUSECOST,PRICERENT,IDX2015,A,1993,50.19265143
AUS,HOUSECOST,PRICERENT,IDX2015,A,1994,51.62888126
AUS,HOUSECOST,PRICERENT,IDX2015,A,1995,51.3755051
AUS,HOUSECOST,PRICERENT,IDX2015,A,1996,50.2538992
AUS,HOUSECOST,PRICERENT,IDX2015,A,1997,50.78047989
AUS,HOUSECOST,PRICERENT,IDX2015,A,1998,52.90083796
AUS,HOUSECOST,PRICERENT,IDX2015,A,1999,55.25866987
AUS,HOUSECOST,PRICERENT,IDX2015,A,2000,58.06226313
AUS,HOUSECOST,PRICERENT,IDX2015,A,2001,62.61886128
AUS,HOUSECOST,PRICERENT,IDX2015,A,2002,72.55848829
AUS,HOUSECOST,PRICERENT,IDX2015,A,2003,84.07171203
AUS,HOUSECOST,PRICERENT,IDX2015,A,2004,87.15436285
AUS,HOUSECOST,PRICERENT,IDX2015,A,2005,86.82402081
AUS,HOUSECOST,PRICERENT,IDX2015,A,2006,89.89010637
AUS,HOUSECOST,PRICERENT,IDX2015,A,2007,94.17121262
AUS,HOUSECOST,PRICERENT,IDX2015,A,2008,90.91121384
AUS,HOUSECOST,PRICERENT,IDX2015,A,2009,88.55770399
AUS,HOUSECOST,PRICERENT,IDX2015,A,2010,94.8306569
AUS,HOUSECOST,PRICERENT,IDX2015,A,2011,88.73117528
AUS,HOUSECOST,PRICERENT,IDX2015,A,2012,84.90534419
AUS,HOUSECOST,PRICERENT,IDX2015,A,2013,87.63145816
AUS,HOUSECOST,PRICERENT,IDX2015,A,2014,93.2282598
AUS,HOUSECOST,PRICERENT,IDX2015,A,2015,100
AUS,HOUSECOST,PRICERENT,IDX2015,A,2016,104.7144973
AUS,HOUSECOST,PRICERENT,IDX2015,A,2017,112.7468107
AUS,HOUSECOST,PRICERENT,IDX2015,A,2018,110.4090075
AUS,HOUSECOST,PRICERENT,IDX2015,A,2019,105.5410793
AUS,HOUSECOST,PRICERENT,IDX2015,A,2020,112.2901424
AUS,HOUSECOST,PRICERENT,IDX2015,A,2021,132.0763101
AUS,HOUSECOST,REAL,IDX2015,A,1970,26.43926375
AUS,HOUSECOST,REAL,IDX2015,A,1971,27.55869882
AUS,HOUSECOST,REAL,IDX2015,A,1972,28.95243642
AUS,HOUSECOST,REAL,IDX2015,A,1973,32.08572541
AUS,HOUSECOST,REAL,IDX2015,A,1974,34.06427087
AUS,HOUSECOST,REAL,IDX2015,A,1975,32.24210905
AUS,HOUSECOST,REAL,IDX2015,A,1976,31.52019065
AUS,HOUSECOST,REAL,IDX2015,A,1977,30.91637957
AUS,HOUSECOST,REAL,IDX2015,A,1978,29.97872276
AUS,HOUSECOST,REAL,IDX2015,A,1979,30.95059536
AUS,HOUSECOST,REAL,IDX2015,A,1980,31.71056898
AUS,HOUSECOST,REAL,IDX2015,A,1981,33.42189503
