FIPS,State,County,Cheapest Technology,Cost
17055,Franklin,Illinois,Solar PV (Utility),90.9974277753485
17065,Hamilton,Illinois,Solar PV (Utility),90.77985045623497
18051,Gibson,Indiana,Natural Gas Combined Cycle,77.36217234366856
18059,Hancock,Indiana,Wind,93.93949216294381
18069,Huntington,Indiana,Natural Gas Combined Cycle,75.442876486747
18079,Jennings,Indiana,Natural Gas Combined Cycle,77.39220339343527
18085,Kosciusko,Indiana,Natural Gas Combined Cycle,76.00231753495827
18095,Madison,Indiana,Solar PV (Utility),97.2988145658183
18105,Monroe,Indiana,Natural Gas Combined Cycle,77.57406984133544
18115,Ohio,Indiana,Solar PV (Utility),92.83595725590217
18125,Pike,Indiana,Natural Gas Combined Cycle,77.6110786438241
18131,Pulaski,Indiana,Natural Gas Combined Cycle,77.10017858316955
18139,Rush,Indiana,Natural Gas Combined Cycle,76.43599659094662
18153,Sullivan,Indiana,Natural Gas Combined Cycle,78.58073029079105
18173,Warrick,Indiana,Solar PV (Utility),90.67642104064865
18179,Wells,Indiana,Natural Gas Combined Cycle,75.13761238721361
18183,Whitley,Indiana,Natural Gas Combined Cycle,75.54832433589152
19009,Audubon,Iowa,Wind,73.09712636125046
19017,Bremer,Iowa,Wind,83.3845632067734
19021,Buena Vista,Iowa,Wind,66.22270476625326
19031,Cedar,Iowa,Wind,82.45301359299364
19039,Clarke,Iowa,Wind,68.64423376208057
17073,Henry,Illinois,Wind,80.96173421094606
17077,Jackson,Illinois,Solar PV (Utility),90.45724372153512
17079,Jasper,Illinois,Solar PV (Utility),92.38458412973421
17089,Kane,Illinois,Wind,89.73754612744852
17103,Lee,Illinois,Natural Gas Combined Cycle,80.9980922814586
17107,Logan,Illinois,Wind,91.45832652619784
17121,Marion,Illinois,Solar PV (Utility),91.82918158797992
17129,Menard,Illinois,Solar PV (Utility),94.57285732086956
17139,Moultrie,Illinois,Wind,85.4728634510346
17145,Perry,Illinois,Solar PV (Utility),91.02626475123031
17155,Putnam,Illinois,Wind,90.58771355333674
17169,Schuyler,Illinois,Solar PV (Utility),93.98791780323347
17175,Stark,Illinois,Wind,85.7010644677363
17179,Tazewell,Illinois,Wind,93.15476137797425
17189,Washington,Illinois,Solar PV (Utility),91.34887148593015
17203,Woodford,Illinois,Wind,85.43267235708882
18009,Blackford,Indiana,Natural Gas Combined Cycle,75.42450058783578
18011,Boone,Indiana,Wind,88.08170236961789
18021,Clay,Indiana,Natural Gas Combined Cycle,78.12200383978004
18033,DeKalb,Indiana,Natural Gas Combined Cycle,76.51892933589153
13125,Glascock,Georgia,Natural Gas Combined Cycle,60.64537528924846
13129,Gordon,Georgia,Natural Gas Combined Cycle,61.37100179002616
13131,Grady,Georgia,Natural Gas Combined Cycle,63.22786449142603
13139,Hall,Georgia,Natural Gas Combined Cycle,61.101783648503144
13157,Jackson,Georgia,Solar PV (Utility),80.36395006643072
13169,Jones,Georgia,Natural Gas Combined Cycle,61.1283666407261
13175,Laurens,Georgia,Natural Gas Combined Cycle,60.926644740259476
13187,Lumpkin,Georgia,Solar PV (Utility),82.43477535403885
13197,Marion,Georgia,Natural Gas Combined Cycle,62.381113541192725
13201,Miller,Georgia,Natural Gas Combined Cycle,62.57222184134826
13217,Newton,Georgia,Natural Gas Combined Cycle,61.4736085909594
13225,Peach,Georgia,Natural Gas Combined Cycle,62.27959119127049
13233,Polk,Georgia,Natural Gas Combined Cycle,60.609064090181704
13243,Randolph,Georgia,Solar PV (Utility),79.61980718144471
13253,Seminole,Georgia,Natural Gas Combined Cycle,62.4627321912705
13265,Taliaferro,Georgia,Solar PV (Utility),80.26212065084442
13277,Tift,Georgia,Natural Gas Combined Cycle,62.391652191270495
13285,Troup,Georgia,Natural Gas Combined Cycle,60.238863590959404
13293,Upson,Georgia,Natural Gas Combined Cycle,61.56060424103718
13303,Washington,Georgia,Natural Gas Combined Cycle,60.541433090181705
20027,Clay,Kansas,Wind,71.99901237168766
20029,Cloud,Kansas,Wind,64.02907678712764
20039,Decatur,Kansas,Wind,63.593220300697084
20049,Elk,Kansas,Wind,67.58771086646355
20065,Graham,Kansas,Wind,61.152145757896875
20075,Hamilton,Kansas,Wind,64.33945999172089
20085,Jackson,Kansas,Wind,77.4849823195017
20095,Kingman,Kansas,Wind,58.811098949961085
20105,Lincoln,Kansas,Wind,55.27271041759806
20115,Marion,Kansas,Wind,59.08199106060856
20127,Morris,Kansas,Wind,63.01564498545636
20135,Ness,Kansas,Wind,54.83945393116751
20145,Pawnee,Kansas,Wind,52.976154703608024
20155,Reno,Kansas,Wind,57.9213404301271
20163,Rooks,Kansas,Wind,60.05363176833408
20173,Sedgwick,Kansas,Wind,60.42705161384596
20185,Stafford,Kansas,Wind,54.7356261963031
20195,Trego,Kansas,Wind,58.503115745367836
20203,Wichita,Kansas,Wind,55.47836588732689
20205,Wilson,Kansas,Wind,70.56886963055871
21183,Ohio,Kentucky,Natural Gas Combined Cycle,61.00073449142603
21187,Owen,Kentucky,Natural Gas Combined Cycle,62.38537674025948
21189,Owsley,Kentucky,Solar PV (Utility),92.19524378650249
21199,Pulaski,Kentucky,Natural Gas Combined Cycle,61.24036134368138
21209,Scott,Kentucky,Solar PV (Utility),90.40056976977152
21219,Todd,Kentucky,Natural Gas Combined Cycle,59.88446589267036
21229,Washington,Kentucky,Natural Gas Combined Cycle,61.769382391892655
22001,Acadia,Louisiana,Natural Gas Combined Cycle,57.784732625172005
22013,Bienville,Louisiana,Natural Gas Combined Cycle,64.17074838877544
22033,East Baton Rouge,Louisiana,Solar PV (Utility),81.10859295141674
22053,Jefferson Davis,Louisiana,Natural Gas Combined Cycle,57.84060262517201
22073,Ouachita,Louisiana,Natural Gas Combined Cycle,58.711727474316525
22077,Pointe Coupee,Louisiana,Solar PV (Residential),252.3962583670703
22089,St. Charles,Louisiana,Solar PV (Utility),79.79452903673554
22105,Tangipahoa,Louisiana,Natural Gas Combined Cycle,58.722268625172006
22115,Vernon,Louisiana,Natural Gas Combined Cycle,63.49230588955314
21003,Allen,Kentucky,Natural Gas Combined Cycle,61.37526239344806
21009,Barren,Kentucky,Natural Gas Combined Cycle,61.47913079313699
21017,Bourbon,Kentucky,Solar PV (Utility),90.54655464918052
21025,Breathitt,Kentucky,Solar PV (Utility),93.5502631650064
21031,Butler,Kentucky,Natural Gas Combined Cycle,61.17017499220374
21043,Carter,Kentucky,Solar PV (Utility),93.04011608707482
21053,Clinton,Kentucky,Solar PV (Utility),89.0715873671494
21063,Elliott,Kentucky,Solar PV (Utility),92.88051271972489
21077,Gallatin,Kentucky,Solar PV (Utility),92.61727993678866
21087,Green,Kentucky,Natural Gas Combined Cycle,61.52562489267036
21099,Hart,Kentucky,Natural Gas Combined Cycle,61.839996942437054
21103,Henry,Kentucky,Natural Gas Combined Cycle,62.81349174025948
21115,Johnson,Kentucky,Solar PV (Utility),95.47510357320549
21121,Knox,Kentucky,Solar PV (Utility),90.19561093859886
21137,Lincoln,Kentucky,Natural Gas Combined Cycle,60.834575542748134
21143,Lyon,Kentucky,Solar PV (Utility),89.1593982947948
21151,Madison,Kentucky,Natural Gas Combined Cycle,61.147975342125974
21157,Marshall,Kentucky,Natural Gas Combined Cycle,60.61066819127049
21169,Metcalfe,Kentucky,Natural Gas Combined Cycle,61.02656309329253
21175,Morgan,Kentucky,Solar PV (Utility),93.59371862882911
19045,Clinton,Iowa,Solar PV (Utility),98.53858604079498
19047,Crawford,Iowa,Wind,70.09312205018242
19055,Delaware,Iowa,Wind,87.50212705437715
19063,Emmet,Iowa,Wind,61.52346560340877
19067,Floyd,Iowa,Wind,77.73352888317629
19079,Hamilton,Iowa,Wind,71.12859939882657
19087,Henry,Iowa,Wind,85.51475454498036
19095,Iowa,Iowa,Wind,78.02306654079666
19105,Jones,Iowa,Wind,85.80419220260073
19113,Linn,Iowa,Wind,85.26830798130575
19121,Madison,Iowa,Wind,72.55814213995549
19125,Marion,Iowa,Wind,79.01745279549505
19137,Montgomery,Iowa,Wind,78.14673982263395
19141,O'Brien,Iowa,Wind,65.87183046771423
19151,Pocahontas,Iowa,Wind,67.91973961802967
19161,Sac,Iowa,Wind,71.04531721093502
19169,Story,Iowa,Wind,77.40210013161015
19175,Union,Iowa,Wind,68.9988080606196
19181,Warren,Iowa,Wind,78.35299529236279
19195,Worth,Iowa,Wind,69.05744470153824
20005,Atchison,Kansas,Wind,73.3024818309793
20015,Butler,Kansas,Wind,56.55603432991682
27073,Lac qui Parle,Minnesota,Wind,81.35329960343086
27083,Lyon,Minnesota,Wind,65.95411265560577
27085,McLeod,Minnesota,Wind,96.69424991033728
27093,Meeker,Minnesota,Wind,96.28113897087961
27103,Nicollet,Minnesota,Wind,82.63992351574962
27113,Pennington,Minnesota,Wind,73.177308549142
27121,Pope,Minnesota,Wind,78.41673193328145
27127,Redwood,Minnesota,Wind,75.35069098129472
27147,Steele,Minnesota,Wind,75.20527215248455
27153,Todd,Minnesota,Wind,97.48268069530684
27161,Waseca,Minnesota,Wind,74.81440675999977
28003,Alcorn,Mississippi,Natural Gas Combined Cycle,57.0080987449257
28013,Calhoun,Mississippi,Natural Gas Combined Cycle,56.44061114617003
28017,Chickasaw,Mississippi,Natural Gas Combined Cycle,56.77785644632557
28029,Copiah,Mississippi,Natural Gas Combined Cycle,58.818606975094234
28037,Franklin,Mississippi,Natural Gas Combined Cycle,58.734260325016464
28049,Hinds,Mississippi,Natural Gas Combined Cycle,58.842935975094235
28061,Jasper,Mississippi,Natural Gas Combined Cycle,57.95669583979285
28065,Jefferson Davis,Mississippi,Natural Gas Combined Cycle,58.84464027524977
28075,Lauderdale,Mississippi,Natural Gas Combined Cycle,57.94136348987062
22121,West Baton Rouge,Louisiana,Solar PV (Utility),80.8009047046578
22127,Winn,Louisiana,Natural Gas Combined Cycle,63.87258928924205
23009,Hancock,Maine,Natural Gas Combined Cycle,65.70153791910592
23029,Washington,Maine,Natural Gas Combined Cycle,65.71199326902814
24001,Allegany,Maryland,Wind,94.14654763267265
24003,Anne Arundel,Maryland,Solar PV (Utility),95.56381450085092
24009,Calvert,Maryland,Natural Gas Combined Cycle,67.59363109639693
24017,Charles,Maryland,Solar PV (Utility),93.52052618912461
24019,Dorchester,Maryland,Natural Gas Combined Cycle,68.05949154274174
24029,Kent,Maryland,Solar PV (Utility),97.47583642110912
24035,Queen Anne's,Maryland,Natural Gas Combined Cycle,68.02020419126409
24037,St. Mary's,Maryland,Solar PV (Utility),93.20171945442476
24039,Somerset,Maryland,Natural Gas Combined Cycle,68.21932294243064
24041,Talbot,Maryland,Natural Gas Combined Cycle,68.07534194243064
25011,Franklin,Massachusetts,Natural Gas Combined Cycle,67.69594040744035
26009,Antrim,Michigan,Natural Gas Combined Cycle,68.33536559251482
26015,Barry,Michigan,Solar PV (Utility),101.03504747868928
26023,Branch,Michigan,Natural Gas Combined Cycle,62.03282229702551
26035,Clare,Michigan,Natural Gas Combined Cycle,68.58034639344807
26037,Clinton,Michigan,Solar PV (Utility),100.62632981634401
26045,Eaton,Michigan,Solar PV (Utility),100.71364074398943
26057,Gratiot,Michigan,Natural Gas Combined Cycle,67.82254799375914
26061,Houghton,Michigan,Wind,89.19886190615357
26073,Isabella,Michigan,Natural Gas Combined Cycle,68.30445894399246
26077,Kalamazoo,Michigan,Solar PV (Utility),101.90975675514342
26083,Keweenaw,Michigan,Solar PV (Residential),325.6225759066382
26085,Lake,Michigan,Natural Gas Combined Cycle,66.73850934523678
26091,Lenawee,Michigan,Solar PV (Utility),100.62492981634401
26097,Mackinac,Michigan,Solar PV (Residential),314.119064539514
26103,Marquette,Michigan,Wind,83.81931969320394
26107,Mecosta,Michigan,Natural Gas Combined Cycle,67.58871764539234
26111,Midland,Michigan,Natural Gas Combined Cycle,68.52087049298143
26117,Montcalm,Michigan,Natural Gas Combined Cycle,67.1375472457034
26123,Newaygo,Michigan,Natural Gas Combined Cycle,65.89115794554787
