Country,Patents by origin,ISO3,GDP per capita,Population,Application Rate,Continent
Algeria,281,DZA,12128.27499,44177969.0,6.360636452074109,Africa
Argentina,716,ARG,23649.6703,45276780.0,15.8138454192193,America
Australia,12821,AUS,56281.37865,25921089.0,494.61656491361146,Oceania
Austria*,11595,AUT,58430.64025,8922082.0,1299.5845588507257,Europe
Azerbaijan,338,AZE,15854.55084,10312992.0,32.774193948759,Asia
Belarus,1118,BLR,21698.57409,9578167.0,116.72379485552925,Europe
Belgium,13959,BEL,58905.16378,11611419.0,1202.1786484494273,Europe
Benin*,171,BEN,3649.04065,12996895.0,13.156988649981399,Africa
Brazil,6900,BRA,16031.08617,214326223.0,32.19391404102708,America
Bulgaria,466,BGR,27926.10922,6885868.0,67.67483779822675,Europe
Cameroon*,1074,CMR,4065.31161,27198628.0,39.48728590280363,Africa
Canada,26504,CAN,52085.03569,38155012.0,694.6400645870588,America
Chile,930,CHL,28684.78027,19493184.0,47.70898381711269,America
China,1538549,CHN,19338.23408,1425893465.0,1079.0069789680956,Asia
"China, Hong Kong SAR",3261,HKG,65891.69471,7494578.0,435.11455881838845,Asia
Colombia,692,COL,16819.17629,51516562.0,13.432573392611099,America
Costa Rica,129,CRI,23319.50228,5153957.0,25.029312429265513,America
Côte d'Ivoire*,697,CIV,5850.051925,27478249.0,25.365517286054143,Africa
Czech Republic,1920,CZE,45093.65777,10510751.0,182.67010606568456,Europe
Denmark,14083,DNK,64651.21645,5854240.0,2405.6068763836124,Europe
Egypt,997,EGY,12706.40445,109262178.0,9.12484098568857,Africa
Finland,12822,FIN,55013.38586,5535992.0,2316.1160637515372,Europe
France,66087,FRA,50541.25936,64531444.0,1024.1053958129312,Europe
Germany,165656,DEU,57881.08358,83408554.0,1986.0792695195266,Europe
Greece,1387,GRC,31363.80736,10445365.0,132.78616879352708,Europe
Hungary,1463,HUN,36752.4965,9709786.0,150.67273367301812,Europe
India,43133,IND,7241.98423,1407563842.0,30.643725501439814,Asia
Indonesia,1445,IDN,13027.30061,273753191.0,5.278477283576212,Asia
Iran (Islamic Republic of)*,140,IRN,16484.07536,87923432.0,1.5922945319058974,Asia
Israel,17341,ISR,43721.62304,8900059.0,1948.414049839445,Asia
Italy,34166,ITA,45902.23562,59240329.0,576.7354870699654,Europe
Japan,412851,JPN,42940.40525,124612530.0,3313.077745873549,Asia
Kazakhstan*,753,KAZ,28684.89806,19196465.0,39.22597207350416,Asia
Kyrgyzstan,120,KGZ,5289.687125,6527743.0,18.38307666217864,Asia
Malaysia,1862,MYS,28929.4742,33573874.0,55.459789954534294,Asia
Mali*,194,MLI,2329.706181,21904983.0,8.856432346923071,Africa
Mexico,1993,MEX,20277.17677,126705138.0,15.729433166317218,America
Morocco,399,MAR,8852.914063,37076584.0,10.761509204839367,Africa
Netherlands,32770,NLD,63768.20005,17501696.0,1872.3899672351754,Europe
New Zealand,2679,NZL,46419.5087,5129727.0,522.2500144744545,Oceania
Norway,5841,NOR,79201.23025,5403021.0,1081.0618726079354,Europe
Pakistan,490,PAK,5748.005952,231402117.0,2.1175260034462,Asia
Peru,160,PER,13748.53362,33715471.0,4.745595871995975,America
Philippines,695,PHL,8892.789346,113880328.0,6.10289777177319,Asia
Poland,5916,POL,37836.76295,38307726.0,154.43359911261766,Europe
Portugal,1985,PRT,35798.75385,10290103.0,192.90380280935963,Europe
Republic of Korea,267517,KOR,47242.52723,51830139.0,5161.41776119875,Asia
Romania,1114,ROU,35869.63348,19328560.0,57.63491951806032,Europe
Russian Federation,25881,RUS,32862.62109,145102755.0,178.3632571276817,Europe
Saudi Arabia,4865,SAU,48710.94768,35950396.0,135.32535218805378,Asia
Senegal*,606,SEN,3840.032959,16876720.0,35.9074512108988,Africa
Serbia,270,SRB,21503.35809,7296769.0,37.00267885690228,Europe
Singapore,9764,SGP,116486.4732,5941060.0,1643.4777632274374,Asia
Slovakia,410,SVK,33010.29075,5447622.0,75.26219697328486,Europe
South Africa,2751,ZAF,14624.41517,59392255.0,46.31917074036,Africa
Spain,10875,ESP,40698.6887,47486935.0,229.01035832276816,Europe
Sri Lanka,328,LKA,14706.54132,21773441.0,15.064224345614457,Asia
Sweden,27801,SWE,59323.96461,10467097.0,2656.037294772371,Europe
Switzerland,48244,CHE,77273.60724,8691406.0,5550.770496741264,Europe
Thailand,1547,THA,18760.75522,71601103.0,21.605812413252906,Asia
Türkiye,10868,TUR,30737.0175,84775404.0,128.19756069814778,Asia
Ukraine,1703,UKR,14219.79004,43531422.0,39.121166315219384,Europe
United Arab Emirates,655,ARE,76609.198,9365145.0,69.9401877920737,Asia
United Kingdom,53608,GBR,49675.30467,67281039.0,796.7772316952478,Europe
United States of America,509853,USA,69287.53659,336997624.0,1512.9275807594418,America
Uzbekistan,428,UZB,8497.448308,34081449.0,12.558151503476275,Asia
Viet Nam,1205,VNM,11676.10856,97468029.0,12.363028291051211,Asia
