Country,ISO3,Total Change,Position,Year,GDP per capita (constant)
China,CHN,45.96692451296536,Top,1960,238.2166313
South Korea,KOR,30.85562323271839,Top,1960,1027.468538
Singapore,SGP,17.321160796511162,Top,1960,3612.019333
Botswana,BWA,15.061594022948459,Top,1960,396.386075
Thailand,THA,9.238146719493058,Top,1960,598.1499443
Haiti,HTI,-0.2514861320050144,Bottom,1960,1714.133732
Niger,NER,-0.31761660988843643,Bottom,1960,744.0262135
Central African Republic,CAF,-0.3648995017666149,Bottom,1960,583.648966
Madagascar,MDG,-0.45969670890161585,Bottom,1960,818.2841215
DR Congo,COD,-0.6005216049573769,Bottom,1960,1254.733857
China,CHN,45.96692451296536,Top,1961,175.0233723
South Korea,KOR,30.85562323271839,Top,1961,1066.610515
Singapore,SGP,17.321160796511162,Top,1961,3777.463325
Botswana,BWA,15.061594022948459,Top,1961,412.2553975
Thailand,THA,9.238146719493058,Top,1961,611.7451849
Haiti,HTI,-0.2514861320050144,Bottom,1961,1632.98567
Niger,NER,-0.31761660988843643,Bottom,1961,755.1597599
Central African Republic,CAF,-0.3648995017666149,Bottom,1961,601.5881652
Madagascar,MDG,-0.45969670890161585,Bottom,1961,813.731921
DR Congo,COD,-0.6005216049573769,Bottom,1961,1090.264248
China,CHN,45.96692451296536,Top,1962,163.9067543
South Korea,KOR,30.85562323271839,Top,1962,1076.920824
Singapore,SGP,17.321160796511162,Top,1962,3951.832331
Botswana,BWA,15.061594022948459,Top,1962,429.8815514
Thailand,THA,9.238146719493058,Top,1962,638.3369817
Haiti,HTI,-0.2514861320050144,Bottom,1962,1729.346019
Niger,NER,-0.31761660988843643,Bottom,1962,808.4240493
Central African Republic,CAF,-0.3648995017666149,Bottom,1962,568.5629975
Madagascar,MDG,-0.45969670890161585,Bottom,1962,810.8930314
DR Congo,COD,-0.6005216049573769,Bottom,1962,1287.497994
China,CHN,45.96692451296536,Top,1963,176.4001442
South Korea,KOR,30.85562323271839,Top,1963,1141.820659
Singapore,SGP,17.321160796511162,Top,1963,4240.069764
Botswana,BWA,15.061594022948459,Top,1963,444.8747188
Thailand,THA,9.238146719493058,Top,1963,668.755671
Haiti,HTI,-0.2514861320050144,Bottom,1963,1666.668643
Niger,NER,-0.31761660988843643,Bottom,1963,858.8110683
Central African Republic,CAF,-0.3648995017666149,Bottom,1963,553.8283383
Madagascar,MDG,-0.45969670890161585,Bottom,1963,782.6825228
DR Congo,COD,-0.6005216049573769,Bottom,1963,1319.207325
China,CHN,45.96692451296536,Top,1964,203.6874744
South Korea,KOR,30.85562323271839,Top,1964,1217.726265
Singapore,SGP,17.321160796511162,Top,1964,4004.531612
Botswana,BWA,15.061594022948459,Top,1964,464.0845216
Thailand,THA,9.238146719493058,Top,1964,693.0280033
Haiti,HTI,-0.2514861320050144,Bottom,1964,1610.271395
Niger,NER,-0.31761660988843643,Bottom,1964,834.9682044
Central African Republic,CAF,-0.3648995017666149,Bottom,1964,554.2780229
Madagascar,MDG,-0.45969670890161585,Bottom,1964,792.6283205
DR Congo,COD,-0.6005216049573769,Bottom,1964,1253.041428
China,CHN,45.96692451296536,Top,1965,232.606796
South Korea,KOR,30.85562323271839,Top,1965,1274.041507
Singapore,SGP,17.321160796511162,Top,1965,4214.585925
Botswana,BWA,15.061594022948459,Top,1965,483.5829052
Thailand,THA,9.238146719493058,Top,1965,727.2739489
Haiti,HTI,-0.2514861320050144,Bottom,1965,1615.062479
Niger,NER,-0.31761660988843643,Bottom,1965,867.0845923
Central African Republic,CAF,-0.3648995017666149,Bottom,1965,548.1902889
Madagascar,MDG,-0.45969670890161585,Bottom,1965,768.5097629
DR Congo,COD,-0.6005216049573769,Bottom,1965,1231.25542
China,CHN,45.96692451296536,Top,1966,250.3044606
South Korea,KOR,30.85562323271839,Top,1966,1391.420249
Singapore,SGP,17.321160796511162,Top,1966,4529.608397
Botswana,BWA,15.061594022948459,Top,1966,510.7904746
Thailand,THA,9.238146719493058,Top,1966,784.2504141
Haiti,HTI,-0.2514861320050144,Bottom,1966,1576.76797
Niger,NER,-0.31761660988843643,Bottom,1966,839.1380592
Central African Republic,CAF,-0.3648995017666149,Bottom,1966,540.1340082
Madagascar,MDG,-0.45969670890161585,Bottom,1966,763.7629371
DR Congo,COD,-0.6005216049573769,Bottom,1966,1277.786213
China,CHN,45.96692451296536,Top,1967,229.8758681
South Korea,KOR,30.85562323271839,Top,1967,1482.72649
Singapore,SGP,17.321160796511162,Top,1967,4984.874823
Botswana,BWA,15.061594022948459,Top,1967,537.4363396
Thailand,THA,9.238146719493058,Top,1967,827.0342727
Haiti,HTI,-0.2514861320050144,Bottom,1967,1515.603808
Niger,NER,-0.31761660988843643,Bottom,1967,816.3426578
Central African Republic,CAF,-0.3648995017666149,Bottom,1967,553.0932194
