ISO3,Situation,Year,Value,Country
AUS,Couple - 2 Child,2021,46,Australia
AUS,Couple - No Child,2021,47,Australia
AUS,Single - 2 Child,2021,46,Australia
AUS,Single - No Child,2021,39,Australia
AUT,Couple - 2 Child,2021,47,Austria
AUT,Couple - No Child,2021,40,Austria
AUT,Single - 2 Child,2021,47,Austria
AUT,Single - No Child,2021,42,Austria
BEL,Couple - 2 Child,2021,36,Belgium
BEL,Couple - No Child,2021,37,Belgium
BEL,Single - 2 Child,2021,41,Belgium
BEL,Single - No Child,2021,38,Belgium
CAN,Couple - 2 Child,2021,32,Canada
CAN,Couple - No Child,2021,21,Canada
CAN,Single - 2 Child,2021,34,Canada
CAN,Single - No Child,2021,19,Canada
CZE,Couple - 2 Child,2021,20,Czech Republic
CZE,Couple - No Child,2021,13,Czech Republic
CZE,Single - 2 Child,2021,13,Czech Republic
CZE,Single - No Child,2021,20,Czech Republic
DNK,Couple - 2 Child,2021,60,Denmark
DNK,Couple - No Child,2021,58,Denmark
DNK,Single - 2 Child,2021,54,Denmark
DNK,Single - No Child,2021,52,Denmark
FIN,Couple - 2 Child,2021,49,Finland
FIN,Couple - No Child,2021,50,Finland
FIN,Single - 2 Child,2021,49,Finland
FIN,Single - No Child,2021,52,Finland
FRA,Couple - 2 Child,2021,37,France
FRA,Couple - No Child,2021,37,France
FRA,Single - 2 Child,2021,45,France
FRA,Single - No Child,2021,38,France
DEU,Couple - 2 Child,2021,53,Germany
DEU,Couple - No Child,2021,46,Germany
DEU,Single - 2 Child,2021,53,Germany
DEU,Single - No Child,2021,44,Germany
GRC,Couple - 2 Child,2021,35,Greece
GRC,Couple - No Child,2021,35,Greece
GRC,Single - 2 Child,2021,37,Greece
GRC,Single - No Child,2021,33,Greece
HUN,Couple - 2 Child,2021,12,Hungary
HUN,Couple - No Child,2021,8,Hungary
HUN,Single - 2 Child,2021,15,Hungary
HUN,Single - No Child,2021,11,Hungary
ISL,Couple - 2 Child,2021,44,Iceland
ISL,Couple - No Child,2021,52,Iceland
ISL,Single - 2 Child,2021,38,Iceland
ISL,Single - No Child,2021,44,Iceland
IRL,Couple - 2 Child,2021,55,Ireland
IRL,Couple - No Child,2021,61,Ireland
IRL,Single - 2 Child,2021,52,Ireland
IRL,Single - No Child,2021,58,Ireland
ITA,Couple - 2 Child,2021,36,Italy
ITA,Couple - No Child,2021,42,Italy
ITA,Single - 2 Child,2021,34,Italy
ITA,Single - No Child,2021,48,Italy
JPN,Couple - 2 Child,2021,64,Japan
JPN,Couple - No Child,2021,65,Japan
JPN,Single - 2 Child,2021,76,Japan
JPN,Single - No Child,2021,64,Japan
KOR,Couple - 2 Child,2021,46,South Korea
KOR,Couple - No Child,2021,35,South Korea
KOR,Single - 2 Child,2021,45,South Korea
KOR,Single - No Child,2021,34,South Korea
LUX,Couple - 2 Child,2021,50,Luxembourg
LUX,Couple - No Child,2021,48,Luxembourg
LUX,Single - 2 Child,2021,51,Luxembourg
LUX,Single - No Child,2021,46,Luxembourg
NLD,Couple - 2 Child,2021,30,Netherlands
NLD,Couple - No Child,2021,32,Netherlands
NLD,Single - 2 Child,2021,49,Netherlands
NLD,Single - No Child,2021,60,Netherlands
NZL,Couple - 2 Child,2021,37,New Zealand
NZL,Couple - No Child,2021,38,New Zealand
NZL,Single - 2 Child,2021,40,New Zealand
NZL,Single - No Child,2021,38,New Zealand
NOR,Couple - 2 Child,2021,38,Norway
NOR,Couple - No Child,2021,39,Norway
NOR,Single - 2 Child,2021,37,Norway
NOR,Single - No Child,2021,37,Norway
POL,Couple - 2 Child,2021,47,Poland
POL,Couple - No Child,2021,23,Poland
POL,Single - 2 Child,2021,45,Poland
POL,Single - No Child,2021,25,Poland
PRT,Couple - 2 Child,2021,29,Portugal
PRT,Couple - No Child,2021,22,Portugal
PRT,Single - 2 Child,2021,28,Portugal
PRT,Single - No Child,2021,18,Portugal
SVK,Couple - 2 Child,2021,19,Slovakia
SVK,Couple - No Child,2021,16,Slovakia
SVK,Single - 2 Child,2021,50,Slovakia
SVK,Single - No Child,2021,14,Slovakia
ESP,Couple - 2 Child,2021,29,Spain
ESP,Couple - No Child,2021,28,Spain
ESP,Single - 2 Child,2021,32,Spain
ESP,Single - No Child,2021,30,Spain
SWE,Couple - 2 Child,2021,39,Sweden
SWE,Couple - No Child,2021,40,Sweden
SWE,Single - 2 Child,2021,39,Sweden
SWE,Single - No Child,2021,47,Sweden
CHE,Couple - 2 Child,2021,43,Switzerland
CHE,Couple - No Child,2021,49,Switzerland
CHE,Single - 2 Child,2021,46,Switzerland
CHE,Single - No Child,2021,51,Switzerland
TUR,Couple - 2 Child,2021,3,Türkiye
TUR,Couple - No Child,2021,0,Türkiye
TUR,Single - 2 Child,2021,3,Türkiye
TUR,Single - No Child,2021,0,Türkiye
GBR,Couple - 2 Child,2021,48,United Kingdom
GBR,Couple - No Child,2021,51,United Kingdom
GBR,Single - 2 Child,2021,56,United Kingdom
GBR,Single - No Child,2021,61,United Kingdom
USA,Couple - 2 Child,2021,26,United States
USA,Couple - No Child,2021,14,United States
USA,Single - 2 Child,2021,24,United States
USA,Single - No Child,2021,10,United States
BGR,Couple - 2 Child,2021,16,Bulgaria
BGR,Couple - No Child,2021,12,Bulgaria
BGR,Single - 2 Child,2021,20,Bulgaria
BGR,Single - No Child,2021,11,Bulgaria
HRV,Couple - 2 Child,2021,25,Croatia
HRV,Couple - No Child,2021,17,Croatia
HRV,Single - 2 Child,2021,31,Croatia
HRV,Single - No Child,2021,20,Croatia
CYP,Couple - 2 Child,2021,43,Cyprus
