Record Date,Security Type Description,Security Class 1 Description,Security Class 2 Description,Interest Rate,Yield,Issue Date,Maturity Date,Interest Payable Date 1,Interest Payable Date 2,Interest Payable Date 3,Interest Payable Date 4,Issued Amount (in Millions),Amount Adjusted for Inflation (in Millions),Redeemed Amount (in Millions),Outstanding Amount (in Millions)
2023-03-31,Marketable,Bills Maturity Value,912796Z93,,4.43,2022-12-06,2023-04-04,Apr-23,,,,33910.8594,0.0,0.0,171118.5731
2023-03-31,Marketable,Bills Maturity Value,912796YN3,,3.85,2022-10-06,2023-04-06,Apr-23,,,,47275.1184,0.0,0.0,138197.9255
2023-03-31,Marketable,Bills Maturity Value,912796CT4,,4.4,2022-12-13,2023-04-11,Apr-23,,,,34082.7077,0.0,0.0,161047.714
2023-03-31,Marketable,Bills Maturity Value,912796YU7,,4.03,2022-10-13,2023-04-13,Apr-23,,,,49704.1778,0.0,0.0,112566.1058
2023-03-31,Marketable,Bills Maturity Value,912797LM7,,4.7,2023-03-31,2023-04-17,Apr-23,,,,45000.18,0.0,0.0,45000.18
2023-03-31,Marketable,Bills Maturity Value,912796CU1,,4.44,2022-12-20,2023-04-18,Apr-23,,,,33886.2568,0.0,0.0,156343.8251
2023-03-31,Marketable,Bills Maturity Value,912796V48,,1.87,2022-04-21,2023-04-20,Apr-23,,,,38394.712,0.0,0.0,154984.2929
2023-03-31,Marketable,Bills Maturity Value,912796CV9,,4.425,2022-12-27,2023-04-25,Apr-23,,,,33893.4901,0.0,0.0,156116.6149
2023-03-31,Marketable,Bills Maturity Value,912796YV5,,4.39,2022-10-27,2023-04-27,Apr-23,,,,50017.578,0.0,0.0,116426.0005
2023-03-31,Marketable,Bills Maturity Value,912796CW7,,4.55,2023-01-03,2023-05-02,May-23,,,,33693.9706,0.0,0.0,94739.3415
2023-03-31,Marketable,Bills Maturity Value,912796YW3,,4.44,2022-11-03,2023-05-04,May-23,,,,51963.669,0.0,0.0,120505.7933
2023-03-31,Marketable,Bills Maturity Value,912797FD4,,4.57,2023-01-10,2023-05-09,May-23,,,,33840.3592,0.0,0.0,89842.6393
2023-03-31,Marketable,Bills Maturity Value,912796ZE2,,4.49,2022-11-10,2023-05-11,May-23,,,,50415.0867,0.0,0.0,117018.4357
2023-03-31,Marketable,Bills Maturity Value,912797FE2,,4.68,2023-01-17,2023-05-16,May-23,,,,36626.4705,0.0,0.0,87719.7149
2023-03-31,Marketable,Bills Maturity Value,912796W47,,2.1,2022-05-19,2023-05-18,May-23,,,,39167.0462,0.0,0.0,157833.9213
