State,Shortname,Code,Nominal GDP ($mn),Real GDP ($mn),Personal Income per capita ($),Population (k),Unemployment (%),Median Household Income ($),High School Graduate (%),Bachelor Degree (%),Homeownership (%),Housing Inventory (days on market),Price Parities Index,Labour Participation (%),Average Hourly Earnings ($),Nominal GDP per capita ($),Real GDP per capita ($),Year,Population,Violent Crime,Homocide,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny,Motor Vehicle Theft,Arson
New Hampshire,NH,33,87338.2,76819.1,64747.0,1360.783,2.6,86900,93.3,37.6,75.0,76,103.374,68.7,27.00,64182.0,56452.0,2019,1360783,158.1,2.4,44.5,24.0,87.2,1216.4,131.0,1016.0,69.3,9.3
New Jersey,NJ,34,637630.5,559648.8,68438.0,8891.258,3.4,87726,90.3,41.2,65.0,66,110.878,63.8,30.36,71714.0,62944.0,2019,8891258,206.7,3.0,17.3,64.4,122.1,1334.3,184.4,1033.6,116.2,4.6
New Mexico,NM,35,102027.5,94897.4,43530.0,2099.634,4.9,53113,85.9,27.7,67.4,88,93.198,58.6,22.97,48593.0,45197.0,2019,2099634,824.0,8.8,64.5,118.0,632.7,3178.8,697.3,2036.0,445.6,14.7
New York,NY,36,1787666.0,1500833.4,67366.0,19463.131,3.8,71855,87.6,37.8,52.0,82,109.463,60.9,32.21,91849.0,77112.0,2019,19463131,361.0,2.9,34.1,93.3,230.6,1386.1,144.2,1174.9,67.0,4.2
North Carolina,NC,37,594521.0,512834.8,48741.0,10501.384,3.8,61159,88.6,32.3,65.1,83,92.166,61.5,25.44,56614.0,48835.0,2019,10501384,378.7,6.2,32.0,73.3,267.2,2391.4,514.5,1698.2,178.7,12.7
North Dakota,ND,38,59199.3,56385.4,57110.0,763.724,2.1,70031,93.5,30.4,61.4,80,92.224,70.0,27.46,77514.0,73830.0,2019,763724,301.4,3.3,60.8,24.1,213.3,1999.4,346.5,1412.2,240.8,11.0
Ohio,OH,39,697166.9,613251.3,50035.0,11696.507,4.2,64663,90.8,29.3,68.2,61,93.227,63.2,25.33,59605.0,52430.0,2019,11696507,296.0,5.0,50.0,75.8,165.2,2056.5,378.2,1518.5,159.9,10.2
Oklahoma,OK,40,204192.6,201161.5,48646.0,3960.676,3.1,59397,88.4,26.2,68.8,67,90.448,61.0,24.44,51555.0,50790.0,2019,3960676,436.3,6.9,59.7,60.2,309.5,2865.8,677.2,1848.1,340.5,19.6
Oregon,OR,41,247233.1,219588.0,52718.0,4216.116,3.7,74413,91.4,34.5,62.4,63,103.493,61.6,27.16,58640.0,52083.0,2019,4216116,293.7,2.8,44.7,55.2,190.9,2788.5,358.8,2061.7,368.1,21.6
Pennsylvania,PA,42,799888.9,715060.7,56952.0,12798.883,4.5,70582,91.0,32.3,69.2,77,97.910,63.0,26.16,62497.0,55869.0,2019,12798883,306.0,5.3,33.9,76.2,190.6,1403.8,182.2,1124.6,97.0,8.2
Rhode Island,RI,44,61642.8,53411.4,55830.0,1058.158,3.6,70151,89.3,34.8,63.8,58,101.588,64.2,27.98,58255.0,50476.0,2019,1058158,222.7,2.5,47.1,39.8,133.4,1541.5,219.3,1193.4,128.8,8.2
South Carolina,SC,45,245987.2,213237.8,46681.0,5157.702,2.8,62028,88.3,29.6,72.6,82,92.081,58.0,24.72,47693.0,41344.0,2019,5157702,510.1,8.8,49.0,64.5,387.8,2946.5,532.0,2120.4,294.0,11.6
South Dakota,SD,46,54001.3,46650.6,55294.0,887.127,2.8,64255,92.1,29.7,69.5,62,92.273,68.9,23.24,60872.0,52586.0,2019,887127,397.1,1.8,72.9,21.4,301.0,1768.2,300.1,1269.8,198.3,7.4
Tennessee,TN,47,380128.5,331176.6,49343.0,6830.325,3.4,56627,88.0,28.7,68.8,60,91.919,61.9,24.19,55653.0,48486.0,2019,6830325,598.9,7.5,43.1,90.2,458.0,2661.7,438.8,1940.5,282.4,12.1
Texas,TX,48,1858757.8,1779781.4,54076.0,28986.794,3.5,67444,84.6,30.8,62.4,64,99.105,63.7,26.22,64124.0,61400.0,2019,28986794,421.8,4.9,52.8,100.5,263.6,2405.6,395.0,1740.3,270.3,8.5
Utah,UT,49,196538.9,172038.4,48580.0,3203.383,2.6,84523,93.0,34.8,71.9,59,97.406,68.4,26.96,61354.0,53705.0,2019,3203383,236.9,2.4,58.2,35.3,141.0,2168.6,270.3,1688.2,210.2,6.8
Vermont,VT,50,34230.8,29940.7,55442.0,624.046,2.3,74305,93.1,38.7,70.9,137,98.993,66.8,25.92,54853.0,47978.0,2019,624046,207.2,1.8,47.8,11.4,146.3,1437.1,206.1,1182.3,48.7,8.3
Virginia,VA,51,557764.4,489199.1,59073.0,8556.642,2.8,81313,90.0,39.6,67.6,67,100.253,66.3,29.29,65185.0,57172.0,2019,8556642,209.4,5.2,34.1,41.1,129.0,1647.2,163.3,1363.3,120.6,8.1
Washington,WA,53,595231.8,533150.4,64189.0,7614.024,4.3,82454,91.7,37.0,63.8,51,107.125,65.2,34.00,78176.0,70022.0,2019,7614024,303.3,2.7,45.9,70.3,184.4,2725.7,459.4,1940.9,325.5,12.9
West Virginia,WV,54,79325.6,72633.4,42951.0,1795.263,4.9,53706,87.1,21.1,75.6,99,88.303,54.9,23.68,44186.0,40458.0,2019,1795263,318.9,5.6,45.6,19.3,248.4,1522.2,294.2,1104.3,123.7,11.8
Wisconsin,WI,55,345236.4,303669.0,52893.0,5824.581,3.2,67355,92.8,31.3,66.1,76,94.486,66.8,26.42,59272.0,52136.0,2019,5824581,297.1,3.2,40.5,51.4,202.0,1473.0,215.8,1127.8,129.4,6.9
Wyoming,WY,56,39428.1,38446.7,64117.0,580.116,3.8,65134,94.5,29.1,71.3,96,93.424,65.8,26.30,67966.0,66274.0,2019,580116,215.0,2.2,55.7,11.5,145.5,1568.1,240.3,1203.4,124.5,7.9
