Country,Currency,Date,Long-Term,Short-Term,Total,Source
Argentina,Foreign,Q4 2022,187720,82952,270672,https://databank.worldbank.org/data/embed-int/SDDS-Table-C5/id/7eead674
Belarus,Foreign,Q4 2022,29003,9567,38570,
Bulgaria,Foreign,Q4 2022,33941,8715,42656,
Chile,Foreign,Q4 2022,190782,27016,217798,
Colombia,Foreign,Q4 2022,160405,19119,179524,
Croatia,Foreign,Q4 2022,35136,11336,46472,
Georgia,Foreign,Q4 2022,17920,3095,21015,
Germany,Foreign,Q4 2022,522769,469130,991900,
Hungary,Foreign,Q4 2022,206427,24425,230852,
Mexico,Foreign,Q4 2022,322532,47796,370328,
New Zealand,Foreign,Q4 2022,,,83039,
North Macedonia,Foreign,Q4 2022,8311,3195,11506,
Philippines,Foreign,Q4 2022,93422,14580,108002,
Poland,Foreign,Q4 2022,173178,75336,248514,
Russian Federation,Foreign,Q4 2022,233762,24711,258473,
South Africa,Foreign,Q4 2022,61691,27114,88805,
Sri Lanka,Foreign,Q4 2022,42018,7596,49614,
Switzerland,Foreign,Q4 2022,766955,879863,1646818,
Turkiye,Foreign,Q4 2022,307844,133602,441446,
Ukraine,Foreign,Q4 2022,120823,8636,129459,
United States,Foreign,Q4 2022,1214194,471995,1686189,
Uruguay,Foreign,Q4 2022,42824,8813,51638,
Argentina,Domestic,Q4 2022,2101,3921,6022,
Belarus,Domestic,Q4 2022,675,501,1176,
Bulgaria,Domestic,Q4 2022,1047,2036,3083,
Chile,Domestic,Q4 2022,14447,1081,15527,
Colombia,Domestic,Q4 2022,4594,0,4594,
Croatia,Domestic,Q4 2022,1753,4629,6382,
Georgia,Domestic,Q4 2022,1841,689,2530,
Germany,Domestic,Q4 2022,3212957,2236504,5449461,
Hungary,Domestic,Q4 2022,30808,7099,37907,
Mexico,Domestic,Q4 2022,77603,6962,84565,
New Zealand,Domestic,Q4 2022,,,120242,
North Macedonia,Domestic,Q4 2022,20,53,73,
Philippines,Domestic,Q4 2022,1227,2039,3266,
Poland,Domestic,Q4 2022,84220,36543,120763,
Russian Federation,Domestic,Q4 2022,77592,44480,122073,
South Africa,Domestic,Q4 2022,59979,15837,75816,
Sri Lanka,Domestic,Q4 2022,34,31,65,
Switzerland,Domestic,Q4 2022,318607,298760,617368,
Turkiye,Domestic,Q4 2022,3560,14024,17584,
Ukraine,Domestic,Q4 2022,2005,534,2539,
United States,Domestic,Q4 2022,13366073,7553322,20919395,
Uruguay,Domestic,Q4 2022,3741,162,3903,
