state_code,fips_code,dem_votes,rep_votes,reporting_pct,won
AK,2,123626,166383,94.54,GOP
AL,1,769391,1457704,99.01,GOP
AR,5,395855,758057,98.98,GOP
AZ,4,1558663,1742408,97.58,GOP
CA,6,8314623,5409210,86.79,Dem
CO,8,1711405,1361521,96.19,Dem
CT,9,990736,735969,100,Dem
DC,11,286787,20659,92.36,Dem
DE,10,289585,214184,100,Dem
FL,12,4680748,6109443,99.01,GOP
GA,13,2548014,2663109,100,GOP
HI,15,312384,193169,100,Dem
IA,19,707227,927465,100,GOP
ID,16,274973,605144,98.97,GOP
IL,17,2957898,2417359,94.63,Dem
IN,18,1158650,1711713,99,GOP
KS,20,532475,741949,100,GOP
KY,21,700920,1336227,99.01,GOP
LA,22,766424,1208269,100,GOP
MA,25,2072571,1234961,99.87,Dem
MD,24,1759168,1000011,100,Dem
MI,26,2724029,2804647,91.91,GOP
MN,27,1656968,1519017,100,Dem
MO,29,1190880,1739186,100,GOP
MS,28,429231,708302,100,GOP
MT,30,231825,352007,99.04,GOP
NC,37,2688797,2878108,100,GOP
ND,38,111966,245943,100,GOP
NH,33,418050,395509,100,Dem
NJ,34,2154619,1924382,94.57,Dem
NM,35,476776,422430,98.99,Dem
NV,32,703902,750095,98.17,GOP
NY,36,4370057,3452435,96.99,Dem
OH,39,2476003,3116579,100,GOP
OK,40,499599,1036213,100,GOP
OR,41,1176692,880024,91.25,Dem
PA,42,3395191,3526542,99,GOP
RI,44,282110,213021,100,Dem
SC,45,1027225,1481919,99.39,GOP
SD,46,146859,272081,100,GOP
TN,47,1055039,1964499,98.98,GOP
TX,48,4806436,6375362,95.24,GOP
UT,49,539304,845002,92.91,GOP
VA,51,2235958,2011637,99.92,Dem
VT,50,235791,119393,100,Dem
WA,53,2169030,1466139,95.1,Dem
WI,55,1667881,1697298,100,GOP
WV,54,214232,533271,98.25,GOP
WY,56,69508,192576,100,GOP
ME,23,430795,374972,99.13,Dem
NE,31,362095,557595,98.11,GOP
