Rank,Country,Population,Share,ISO3,Continent,P21
1,India,1428627663,0.1776,IND,Asia,True
2,China,1425671352,0.1772,CHN,Asia,True
3,United States,339996563,0.0423,USA,America,True
4,Indonesia,277534122,0.0345,IDN,Asia,True
5,Pakistan,240485658,0.0299,PAK,Asia,True
6,Nigeria,223804632,0.0278,NGA,Africa,True
7,Brazil,216422446,0.0269,BRA,America,True
8,Bangladesh,172954319,0.0215,BGD,Asia,True
9,Russia,144444359,0.018,RUS,Europe,True
10,Mexico,128455567,0.016,MEX,America,True
11,Ethiopia,126527060,0.0157,ETH,Africa,True
12,Japan,123294513,0.0153,JPN,Asia,True
13,Philippines,117337368,0.0146,PHL,Asia,True
14,Egypt,112716598,0.0139999999999999,EGY,Africa,True
15,DR Congo,102262808,0.0127,COD,Africa,True
16,Vietnam,98858950,0.0123,VNM,Asia,True
17,Iran,89172767,0.0111,IRN,Asia,True
18,Türkiye,85816199,0.0107,TUR,Asia,True
19,Germany,83294633,0.0104,DEU,Europe,True
20,Thailand,71801279,0.0089,THA,Asia,True
21,United Kingdom,67736802,0.0084,GBR,Europe,True
22,Tanzania,67438106,0.0084,TZA,Africa,False
23,France,64756584,0.008,FRA,Europe,False
24,South Africa,60414495,0.0075,ZAF,Africa,False
25,Italy,58870762,0.0073,ITA,Europe,False
26,Kenya,55100586,0.0068,KEN,Africa,False
27,Myanmar,54577997,0.0068,MMR,Asia,False
28,Colombia,52085168,0.0065,COL,America,False
29,South Korea,51784059,0.0064,KOR,Asia,False
30,Uganda,48582334,0.006,UGA,Africa,False
31,Sudan,48109006,0.006,SDN,Africa,False
32,Spain,47519628,0.0059,ESP,Europe,False
33,Argentina,45773884,0.0056999999999999,ARG,America,False
34,Algeria,45606480,0.0056999999999999,DZA,Africa,False
35,Iraq,45504560,0.0056999999999999,IRQ,Asia,False
36,Afghanistan,42239854,0.0053,AFG,Asia,False
37,Poland,41026067,0.0051,POL,Europe,False
38,Canada,38781291,0.0048,CAN,America,False
39,Morocco,37840044,0.0046999999999999,MAR,Africa,False
40,Saudi Arabia,36947025,0.0046,SAU,Asia,False
41,Ukraine,36744634,0.0046,UKR,Europe,False
42,Angola,36684202,0.0046,AGO,Africa,False
43,Uzbekistan,35163944,0.0044,UZB,Asia,False
44,Yemen,34449825,0.0043,YEM,Asia,False
45,Peru,34352719,0.0043,PER,America,False
46,Malaysia,34308525,0.0043,MYS,Asia,False
47,Ghana,34121985,0.0042,GHA,Africa,False
48,Mozambique,33897354,0.0042,MOZ,Africa,False
49,Nepal,30896590,0.0038,NPL,Asia,False
50,Madagascar,30325732,0.0038,MDG,Africa,False
51,Cote d'Ivoire,28873034,0.0036,CIV,Africa,False
52,Venezuela,28838499,0.0036,VEN,America,False
53,Cameroon,28647293,0.0036,CMR,Africa,False
54,Niger,27202843,0.0034,NER,Africa,False
55,Australia,26439111,0.0033,AUS,Oceania,False
56,North Korea,26160821,0.0033,PRK,Asia,False
57,Taiwan,23923276,0.003,TWN,Asia,False
58,Mali,23293698,0.0029,MLI,Africa,False
59,Burkina Faso,23251485,0.0029,BFA,Africa,False
60,Syria,23227014,0.0029,SYR,Asia,False
61,Sri Lanka,21893579,0.0027,LKA,Asia,False
62,Malawi,20931751,0.0026,MWI,Africa,False
63,Zambia,20569737,0.0026,ZMB,Africa,False
64,Romania,19892812,0.0025,ROU,Europe,False
65,Chile,19629590,0.0024,CHL,America,False
66,Kazakhstan,19606633,0.0024,KAZ,Asia,False
67,Chad,18278568,0.0023,TCD,Africa,False
68,Ecuador,18190484,0.0023,ECU,America,False
69,Somalia,18143378,0.0023,SOM,Africa,False
70,Guatemala,18092026,0.0022,GTM,America,False
71,Senegal,17763163,0.0022,SEN,Africa,False
72,Netherlands,17618299,0.0022,NLD,Europe,False
73,Cambodia,16944826,0.0021,KHM,Asia,False
74,Zimbabwe,16665409,0.0021,ZWE,Africa,False
75,Guinea,14190612,0.0018,GIN,Africa,False
76,Rwanda,14094683,0.0018,RWA,Africa,False
77,Benin,13712828,0.0017,BEN,Africa,False
78,Burundi,13238559,0.0016,BDI,Africa,False
79,Tunisia,12458223,0.0015,TUN,Africa,False
80,Bolivia,12388571,0.0015,BOL,America,False
81,Haiti,11724763,0.0015,HTI,America,False
82,Belgium,11686140,0.0015,BEL,Europe,False
83,Jordan,11337052,0.0014,JOR,Asia,False
84,Dominican Republic,11332972,0.0014,DOM,America,False
85,Cuba,11194449,0.0014,CUB,America,False
86,South Sudan,11088796,0.0014,SSD,Africa,False
87,Sweden,10612086,0.0013,SWE,Europe,False
88,Honduras,10593798,0.0013,HND,America,False
89,Czechia,10495295,0.0013,CZE,Europe,False
90,Azerbaijan,10412651,0.0013,AZE,Asia,False
91,Greece,10341277,0.0013,GRC,Europe,False
92,Papua New Guinea,10329931,0.0013,PNG,Oceania,False
93,Portugal,10247605,0.0013,PRT,Europe,False
94,Hungary,10156239,0.0013,HUN,Europe,False
95,Tajikistan,10143543,0.0013,TJK,Asia,False
96,United Arab Emirates,9516871,0.0012,ARE,Asia,False
97,Belarus,9498238,0.0012,BLR,Europe,False
98,Israel,9174520,0.0011,ISR,Asia,False
99,Togo,9053799,0.0011,TGO,Africa,False
100,Austria,8958960,0.0011,AUT,Europe,False
101,Switzerland,8796669,0.0011,CHE,Europe,False
102,Sierra Leone,8791092,0.0011,SLE,Africa,False
103,Laos,7633779,0.0009,LAO,Asia,False
