Date,Wages,Unemployment
1988-01-01,340.336387217741,9.4
1988-02-01,337.265634484903,9.2
1988-03-01,343.349995471722,9.0
1988-04-01,343.922530495738,8.9
1988-05-01,346.161795440596,8.7
1988-06-01,346.442160131822,8.6
1988-07-01,348.141360856218,8.5
1988-08-01,348.453049436437,8.4
1988-09-01,349.292198752955,8.3
1988-10-01,351.367310918955,8.2
1988-11-01,353.110669902321,8.0
1988-12-01,359.209664165281,7.9
1989-01-01,353.450600837159,7.7
1989-02-01,351.052391764103,7.6
1989-03-01,356.259549659325,7.4
1989-04-01,359.668277448549,7.3
1989-05-01,357.727562073964,7.2
1989-06-01,358.839396342075,7.2
1989-07-01,357.944577133431,7.1
1989-08-01,361.560966476532,7.1
1989-09-01,364.625379639255,7.1
1989-10-01,366.922089966536,7.0
1989-11-01,364.541742364427,7.0
1989-12-01,365.303969282706,7.0
1990-01-01,366.933920080346,6.9
1990-02-01,366.459036475031,6.9
1990-03-01,365.559229901828,6.9
1990-04-01,367.190211114574,6.9
1990-05-01,367.822195234354,6.9
1990-06-01,371.465970927704,6.9
1990-07-01,369.970289348096,7.0
1990-08-01,369.442337350336,7.1
1990-09-01,367.29296153995,7.2
1990-10-01,366.563006767918,7.3
1990-11-01,368.121723525058,7.5
1990-12-01,371.939784942335,7.6
1991-01-01,368.581746096255,7.8
1991-02-01,368.730121838157,8.0
1991-03-01,365.502552159423,8.2
1991-04-01,369.281154813442,8.5
1991-05-01,369.333714975413,8.7
1991-06-01,367.984300357365,8.8
1991-07-01,368.590937237655,9.0
1991-08-01,369.448466437746,9.2
1991-09-01,370.875255833913,9.3
1991-10-01,370.497607701957,9.4
1991-11-01,372.031467093209,9.5
1991-12-01,370.495369600396,9.5
1992-01-01,372.90748822346,9.6
1992-02-01,373.343344317085,9.7
1992-03-01,374.292003199536,9.8
1992-04-01,372.231469909127,9.8
1992-05-01,372.324472065763,9.8
1992-06-01,373.742471690601,9.9
1992-07-01,373.423030282801,9.9
1992-08-01,375.290599827869,9.9
1992-09-01,375.842205406949,10.1
1992-10-01,376.954546264883,10.2
1992-11-01,374.933649482819,10.4
1992-12-01,375.64349227248,10.5
1993-01-01,375.691734382698,10.7
1993-02-01,374.423610821837,10.6
1993-03-01,369.762750203019,10.6
1993-04-01,375.504784197405,10.5
1993-05-01,376.194030346249,10.4
1993-06-01,375.848604166106,10.4
1993-07-01,376.883181111287,10.3
1993-08-01,376.323114079596,10.2
1993-09-01,375.981971266056,10.3
1993-10-01,376.067923545438,10.2
1993-11-01,378.990662486219,10.3
1993-12-01,377.945294644564,10.3
1994-01-01,378.136543989883,10.1
1994-02-01,379.958816061204,9.9
1994-03-01,378.388231176623,9.8
1994-04-01,377.297822771565,9.7
1994-05-01,380.773831191114,9.7
1994-06-01,381.24881340006,9.6
1994-07-01,382.455851118988,9.5
1994-08-01,382.651219862588,9.4
1994-09-01,383.063440703666,9.3
1994-10-01,384.675160420894,9.1
1994-11-01,384.619622933545,9.0
1994-12-01,385.219633239177,8.9
1995-01-01,384.26014415114,8.9
1995-02-01,383.554893952774,8.9
1995-03-01,384.249296605164,8.8
1995-04-01,383.570893317344,8.8
1995-05-01,383.632377627399,8.7
1995-06-01,383.434179426691,8.7
1995-07-01,381.936961869077,8.6
1995-08-01,382.571296527496,8.6
1995-09-01,382.608061188669,8.6
1995-10-01,384.615026561502,8.6
1995-11-01,386.255133497109,8.3
1995-12-01,384.026810993755,8.4
1996-01-01,384.166688460705,8.3
1996-02-01,384.484628632858,8.2
1996-03-01,384.189029261047,8.3
1996-04-01,385.490443446346,8.3
1996-05-01,384.573081743132,8.3
1996-06-01,385.893366730595,8.2
1996-07-01,387.341664435254,8.1
1996-08-01,386.707342814114,8.1
1996-09-01,388.715808183315,8.1
1996-10-01,388.364370897876,8.0
1996-11-01,389.243134562271,7.8
1996-12-01,390.260073633647,7.7
1997-01-01,390.516828509052,7.5
1997-02-01,388.240842757341,7.3
1997-03-01,393.000142955289,7.2
1997-04-01,392.842530680192,7.2
1997-05-01,393.55563249341,7.2
1997-06-01,393.938853576233,7.3
1997-07-01,394.557440721256,7.1
1997-08-01,396.471627121235,6.8
1997-09-01,397.619546517884,6.7
1997-10-01,398.087076711846,6.6
1997-11-01,399.781918426638,6.5
1997-12-01,401.825561279891,6.4
1998-01-01,403.425083725726,6.4
1998-02-01,401.658111233887,6.4
1998-03-01,405.584266672178,6.3
1998-04-01,407.84915499324,6.3
1998-05-01,408.546192202006,6.3
1998-06-01,407.563029852387,6.3
1998-07-01,410.308614080696,6.3
1998-08-01,409.775987227028,6.2
1998-09-01,411.004853785843,6.2
1998-10-01,410.683382285622,6.2
1998-11-01,410.885039360087,6.1
1998-12-01,411.055425571858,6.2
1999-01-01,411.41730687522,6.2
1999-02-01,411.750327875657,6.2
1999-03-01,414.112250226055,6.2
1999-04-01,414.792677268514,6.1
1999-05-01,417.306635798533,6.0
1999-06-01,420.732401590275,6.0
1999-07-01,420.938842879045,5.9
1999-08-01,421.32038123713,5.9
1999-09-01,422.538281404675,5.8
1999-10-01,425.213627496344,5.8
1999-11-01,425.681225857707,5.8
1999-12-01,429.0280838934,5.9
2000-01-01,422.837862323926,5.8
2000-02-01,420.028969725455,5.8
2000-03-01,427.082380925904,5.7
2000-04-01,422.306620657775,5.6
2000-05-01,423.572393814574,5.5
2000-06-01,423.02600184775,5.3
2000-07-01,424.380659768415,5.3
2000-08-01,428.525356571177,5.3
2000-09-01,429.554419641423,5.4
2000-10-01,430.018000936047,5.3
2000-11-01,430.310689383503,5.2
2000-12-01,437.383463848627,5.2
2001-01-01,439.539137976045,5.2
2001-02-01,446.835692775338,5.1
2001-03-01,440.926897202749,5.0
2001-04-01,440.51061993852,4.9
2001-05-01,437.015173204163,5.0
2001-06-01,439.307722162267,5.0
2001-07-01,439.660307423038,5.1
2001-08-01,441.664097411444,5.1
2001-09-01,442.178818602214,5.1
2001-10-01,443.773534120483,5.1
2001-11-01,444.29740805634,5.2
2001-12-01,446.091673571698,5.2
2002-01-01,446.402775009359,5.1
2002-02-01,448.513122682726,5.2
2002-03-01,443.310397377537,5.2
2002-04-01,448.912447106219,5.2
2002-05-01,448.081211908459,5.2
2002-06-01,450.473068225986,5.2
2002-07-01,450.580659154362,5.2
2002-08-01,449.275202389942,5.3
2002-09-01,450.395569553551,5.2
2002-10-01,451.253953758505,5.2
2002-11-01,452.116954860664,5.1
2002-12-01,450.297986827669,5.0
2003-01-01,449.201210746029,5.1
2003-02-01,449.899086189964,5.2
2003-03-01,455.884673418084,5.1
2003-04-01,453.392652467343,5.0
2003-05-01,454.935016646735,4.9
2003-06-01,456.457091108893,5.1
2003-07-01,458.56600373821,5.1
2003-08-01,459.26315564659,5.0
2003-09-01,460.911164558924,5.0
2003-10-01,462.279843999433,4.9
2003-11-01,462.656324186462,4.9
2003-12-01,463.197542100469,4.8
2004-01-01,475.775079737851,4.8
2004-02-01,457.482055237703,4.8
2004-03-01,466.474470811267,4.8
2004-04-01,467.556607464946,4.8
2004-05-01,468.614521556486,4.8
2004-06-01,468.784281086187,4.8
2004-07-01,469.515482574207,4.7
2004-08-01,472.499300981148,4.7
2004-09-01,474.746036025576,4.7
2004-10-01,476.152414931607,4.7
2004-11-01,475.212866880865,4.7
2004-12-01,475.626574254124,4.7
2005-01-01,487.196831639371,4.8
2005-02-01,474.811922431868,4.7
2005-03-01,475.421710712185,4.7
2005-04-01,479.5684561675,4.8
2005-05-01,479.521596853081,4.8
2005-06-01,479.536842268447,4.7
2005-07-01,481.093502682638,4.7
2005-08-01,484.278698489247,4.7
2005-09-01,484.457554990776,4.9
2005-10-01,484.842009336534,5.1
2005-11-01,486.861224008886,5.1
2005-12-01,486.514297471091,5.1
2006-01-01,492.108746473331,5.2
2006-02-01,492.520296444239,5.2
2006-03-01,492.478126375971,5.3
2006-04-01,489.437840090405,5.4
2006-05-01,490.129087095385,5.5
2006-06-01,493.001107963907,5.5
2006-07-01,491.654489821695,5.5
2006-08-01,490.146446955213,5.5
2006-09-01,490.939756863905,5.5
2006-10-01,493.875503851846,5.4
2006-11-01,494.252259588303,5.5
2006-12-01,499.583962793882,5.5
2007-01-01,510.226946365432,5.5
2007-02-01,513.751893405718,5.5
2007-03-01,497.69669771988,5.5
2007-04-01,497.063915218647,5.4
2007-05-01,500.778121341496,5.4
2007-06-01,502.311056889818,5.3
2007-07-01,505.021119868941,5.3
2007-08-01,505.847803972834,5.3
2007-09-01,507.877178204753,5.2
2007-10-01,504.067001761244,5.2
2007-11-01,507.569690192216,5.2
2007-12-01,504.970010106219,5.2
2008-01-01,517.961949332745,5.2
2008-02-01,522.095484420317,5.2
2008-03-01,505.826461176126,5.3
2008-04-01,505.725167268414,5.2
2008-05-01,505.120424844216,5.4
2008-06-01,501.011108462706,5.5
2008-07-01,501.252208063692,5.7
2008-08-01,500.201073305442,5.9
2008-09-01,497.485368627111,6.0
2008-10-01,500.18864627324,6.2
2008-11-01,499.614075617929,6.4
2008-12-01,502.268755017072,6.5
2009-01-01,496.625748374224,6.7
2009-02-01,479.025543151366,7.1
2009-03-01,483.683267488603,7.3
2009-04-01,503.284469843611,7.6
2009-05-01,499.738738013946,7.8
2009-06-01,496.932502393592,7.9
2009-07-01,495.316017265973,7.9
2009-08-01,495.237009006879,7.8
2009-09-01,496.327802546696,7.9
2009-10-01,496.174522983633,7.8
2009-11-01,495.445049143409,7.8
2009-12-01,496.71527266207,7.7
2010-01-01,488.894815603911,7.9
2010-02-01,497.018585783195,8.0
2010-03-01,501.041533095467,8.0
2010-04-01,492.166877775505,7.9
2010-05-01,493.445797731567,7.9
2010-06-01,493.06208332978,7.8
2010-07-01,492.436572321886,7.8
2010-08-01,493.201694835268,7.8
2010-09-01,495.122372470842,7.9
2010-10-01,493.433360710299,7.9
2010-11-01,492.54275687368,7.9
2010-12-01,488.839494757445,7.9
2011-01-01,494.099178673683,7.8
2011-02-01,488.789725401366,7.8
2011-03-01,493.107866954902,7.7
2011-04-01,485.721965187371,7.8
2011-05-01,486.46981563334,7.9
2011-06-01,488.822180912805,8.0
2011-07-01,487.063967663538,8.2
2011-08-01,483.545849087966,8.3
2011-09-01,481.578469595828,8.4
2011-10-01,482.822931836238,8.5
2011-11-01,482.5564583078,8.4
2011-12-01,481.424166880788,8.4
2012-01-01,479.677607042333,8.3
2012-02-01,479.543160918599,8.2
2012-03-01,481.234961069792,8.2
2012-04-01,482.065682523543,8.1
