Date,Total,Male,Female
1971-02-01,72.2,92.1,52.8
1971-03-01,72.1,91.9,52.7
1971-04-01,72.0,91.8,52.7
1971-05-01,72.0,91.7,52.7
1971-06-01,71.9,91.6,52.7
1971-07-01,71.8,91.4,52.7
1971-08-01,71.7,91.2,52.7
1971-09-01,71.6,91.0,52.6
1971-10-01,71.5,90.8,52.6
1971-11-01,71.5,90.8,52.6
1971-12-01,71.5,90.8,52.7
1972-01-01,71.6,90.9,52.8
1972-02-01,71.8,91.0,52.9
1972-03-01,71.9,91.1,53.0
1972-04-01,71.9,91.1,53.1
1972-05-01,71.9,91.1,53.1
1972-06-01,71.9,91.0,53.2
1972-07-01,71.9,91.0,53.2
1972-08-01,72.0,91.0,53.3
1972-09-01,72.0,91.1,53.4
1972-10-01,72.1,91.2,53.5
1972-11-01,72.2,91.2,53.6
1972-12-01,72.4,91.4,53.8
1973-01-01,72.6,91.6,54.0
1973-02-01,72.8,91.8,54.2
1973-03-01,72.9,91.9,54.3
1973-04-01,73.0,91.9,54.5
1973-05-01,73.0,91.9,54.5
1973-06-01,72.9,91.7,54.5
1973-07-01,72.9,91.6,54.6
1973-08-01,72.9,91.6,54.7
1973-09-01,72.9,91.5,54.8
1973-10-01,73.0,91.5,54.9
1973-11-01,73.0,91.4,54.9
1973-12-01,73.0,91.3,55.0
1974-01-01,73.0,91.2,55.1
1974-02-01,72.9,91.1,55.1
1974-03-01,72.9,91.0,55.2
1974-04-01,72.9,90.9,55.2
1974-05-01,73.0,90.9,55.3
1974-06-01,73.0,90.9,55.4
1974-07-01,73.1,91.0,55.5
1974-08-01,73.1,90.9,55.6
1974-09-01,73.1,90.9,55.7
1974-10-01,73.1,90.8,55.7
1974-11-01,73.1,90.8,55.7
1974-12-01,73.0,90.6,55.7
1975-01-01,72.9,90.5,55.7
1975-02-01,72.9,90.4,55.6
1975-03-01,72.8,90.2,55.6
1975-04-01,72.7,90.1,55.6
1975-05-01,72.7,90.1,55.6
1975-06-01,72.7,90.0,55.6
1975-07-01,72.6,89.9,55.6
1975-08-01,72.6,89.8,55.6
1975-09-01,72.5,89.7,55.5
1975-10-01,72.4,89.6,55.5
1975-11-01,72.3,89.5,55.5
1975-12-01,72.3,89.3,55.4
1976-01-01,72.2,89.2,55.4
1976-02-01,72.1,89.1,55.4
1976-03-01,72.0,89.0,55.3
1976-04-01,72.0,88.9,55.3
1976-05-01,72.0,88.8,55.3
1976-06-01,71.9,88.8,55.3
1976-07-01,71.9,88.7,55.3
1976-08-01,71.9,88.6,55.3
1976-09-01,71.8,88.6,55.3
1976-10-01,71.8,88.5,55.3
1976-11-01,71.8,88.5,55.3
1976-12-01,71.8,88.5,55.3
1977-01-01,71.8,88.4,55.4
1977-02-01,71.8,88.3,55.4
1977-03-01,71.7,88.3,55.4
1977-04-01,71.7,88.2,55.4
1977-05-01,71.6,88.1,55.4
1977-06-01,71.6,88.0,55.4
1977-07-01,71.6,88.0,55.4
1977-08-01,71.6,87.9,55.4
1977-09-01,71.6,87.8,55.5
1977-10-01,71.5,87.8,55.5
1977-11-01,71.5,87.7,55.5
1977-12-01,71.5,87.7,55.5
1978-01-01,71.5,87.7,55.6
1978-02-01,71.5,87.6,55.6
1978-03-01,71.5,87.5,55.7
1978-04-01,71.5,87.5,55.8
1978-05-01,71.5,87.4,55.8
1978-06-01,71.5,87.4,55.8
1978-07-01,71.5,87.3,55.9
1978-08-01,71.5,87.3,55.9
1978-09-01,71.6,87.3,56.0
1978-10-01,71.6,87.4,56.1
1978-11-01,71.7,87.4,56.2
1978-12-01,71.8,87.4,56.3
1979-01-01,71.8,87.4,56.3
1979-02-01,71.8,87.3,56.3
1979-03-01,71.7,87.3,56.3
1979-04-01,71.7,87.2,56.4
1979-05-01,71.7,87.2,56.5
1979-06-01,71.8,87.1,56.6
