Date,Manufacturing Employees,Industrial Output,Manufacturing Output,Employees
1985-07-01,17776.0,88.53191911504021,86.73376265583028,105.56446344794821
1985-08-01,17756.0,88.82611424984306,87.17990219712101,105.44569154937942
1985-09-01,17718.0,89.15299773295733,87.26324127005992,105.2200249420987
1985-10-01,17708.0,88.84465391007939,87.09914594669054,105.1606389928143
1985-11-01,17697.0,89.14909464659178,87.70593704800606,105.09531444860146
1985-12-01,17693.0,90.03054165081038,87.9998622494662,105.07156006888769
1986-01-01,17686.0,90.50460401562535,89.05726978442041,105.02998990438863
1986-02-01,17663.0,89.88482642649674,88.59993801225978,104.89340222103449
1986-03-01,17624.0,89.25512849285572,88.30205248295336,104.66179701882534
1986-04-01,17616.0,89.3572592527541,88.52710241752186,104.61428825939782
1986-05-01,17593.0,89.53273551060501,88.63540877470899,104.4777005760437
1986-06-01,17530.0,89.18064459471327,88.28603898340106,104.10356909555199
1986-07-01,17497.0,89.72479988550946,88.76334458296024,103.90759546291348
1986-08-01,17489.0,89.57453106043603,89.01387836627866,103.86008670348596
1986-09-01,17498.0,89.82253967324661,89.26458433776429,103.91353405784191
1986-10-01,17477.0,90.20113905070434,89.60121220469729,103.78882356434467
1986-11-01,17472.0,90.5603856249329,89.93078035677388,103.75913058970248
1986-12-01,17478.0,91.41678782497259,90.81720504166954,103.79476215927312
1987-01-01,17465.0,91.07396673919901,90.48539844341896,103.71756042520339
1987-02-01,17499.0,92.28164671213761,91.83707555616776,103.91947265277035
1987-03-01,17507.0,92.41126170519338,91.86806942626902,103.96698141219787
1987-04-01,17525.0,93.01607746325406,92.43663475445967,104.07387612090979
1987-05-01,17542.0,93.592433216566,93.08199600523452,104.17483223469328
1987-06-01,17537.0,94.09739501510819,93.44393553275019,104.14513926005107
1987-07-01,17593.0,94.73132129231189,94.17022522212272,104.4777005760437
1987-08-01,17630.0,95.44493558281209,94.67921344445209,104.697428588396
1987-09-01,17691.0,95.81052467238467,95.35832357600384,105.05968287903083
1987-10-01,17729.0,97.10277151657672,96.8496452923755,105.28534948631155
1987-11-01,17775.0,97.58073696775725,97.33814312280458,105.55852485301978
1987-12-01,17809.0,98.11968814339937,98.02965080239684,105.76043708058674
1988-01-01,17790.0,98.09529385361475,97.77670638473722,105.64760377694637
1988-02-01,17823.0,98.58692010707466,98.13261932639989,105.8435774095849
1988-03-01,17844.0,98.81167283029053,98.44014739307113,105.96828790308213
1988-04-01,17874.0,99.38949224098955,99.35756594806804,106.14644575093533
1988-05-01,17892.0,99.19563895150088,99.13492664784074,106.25334045964725
1988-06-01,17916.0,99.47942585599561,99.37530132929264,106.3958667379298
1988-07-01,17926.0,99.48788254312096,99.33173772298366,106.45525268721421
1988-08-01,17891.0,99.99235645586747,99.49652179902196,106.24740186471881
1988-09-01,17914.0,99.66596085854889,99.80456643019491,106.38398954807293
1988-10-01,17966.0,100.11335213319931,100.22625525173909,106.69279648435179
1988-11-01,18003.0,100.36266177479841,100.62073834286107,106.91252449670408
1988-12-01,18025.0,100.82696642369953,101.10252083476821,107.04317358512976
1989-01-01,18057.0,101.12067367270669,101.9713823266065,107.23320862283983
1989-02-01,18055.0,100.67913702760457,100.93429299538535,107.22133143298296
1989-03-01,18060.0,100.92600724022519,100.80067497761553,107.25102440762515
1989-04-01,18055.0,100.8986856356664,100.98078380053722,107.22133143298296
1989-05-01,18040.0,100.33338862705683,100.14945932915488,107.13225250905636
1989-06-01,18013.0,100.32802188330422,100.33989944211034,106.97191044598848
1989-07-01,17980.0,99.36249589362788,99.12287347613471,106.77593681334996
1989-08-01,17964.0,100.3335512556554,100.11605482471244,106.68091929449493
1989-09-01,17922.0,99.9904049126847,99.89565397065913,106.43149830750045
