Month,Real
1988-01-01,340.9381663113007
1988-02-01,340.00000000000006
1988-03-01,349.1525423728814
1988-04-01,340.794979079498
1988-05-01,342.0833333333333
1988-06-01,345.64315352697093
1988-07-01,352.07468879668045
1988-08-01,347.8350515463917
1988-09-01,346.81724845995893
1988-10-01,346.734693877551
1988-11-01,352.1298174442191
1988-12-01,362.47464503042596
1989-01-01,354.34343434343435
1989-02-01,354.12474849094565
1989-03-01,362.2
1989-04-01,356.43564356435644
1989-05-01,353.43811394891947
1989-06-01,358.0392156862745
1989-07-01,361.96078431372547
1989-08-01,361.05675146771034
1989-09-01,361.94174757281553
1989-10-01,361.65703275529864
1989-11-01,363.33973128598853
1989-12-01,368.39080459770116
1990-01-01,368.3206106870229
1990-02-01,370.13232514177696
1990-03-01,371.939736346516
1990-04-01,363.7867647058824
1990-05-01,363.27272727272725
1990-06-01,370.65217391304344
1990-07-01,374.0942028985507
1990-08-01,369.1202872531418
1990-09-01,364.2348754448398
1990-10-01,360.84656084656086
1990-11-01,366.60808435852374
1990-12-01,374.91228070175436
1991-01-01,370.17543859649123
1991-02-01,372.9020979020979
1991-03-01,372.69565217391306
1991-04-01,365.92844974446336
1991-05-01,364.86486486486484
1991-06-01,366.890756302521
1991-07-01,372.5126475548061
1991-08-01,368.9482470784641
1991-09-01,367.38768718802
1991-10-01,364.56953642384104
1991-11-01,370.24793388429754
1991-12-01,373.3113673805601
1992-01-01,374.38016528925624
1992-02-01,378.12500000000006
1992-03-01,382.6513911620295
1992-04-01,368.93203883495147
1992-05-01,368.0064308681672
1992-06-01,372.50803858520896
1992-07-01,377.4193548387097
1992-08-01,374.2351046698873
1992-09-01,371.42857142857144
1992-10-01,371.03999999999996
1992-11-01,372.8
1992-12-01,378.9137380191693
1993-01-01,376.6025641025641
1993-02-01,379.585326953748
1993-03-01,378.88888888888886
1993-04-01,372.7129337539433
1993-05-01,372.32704402515725
1993-06-01,374.5283018867924
1993-07-01,380.91482649842277
1993-08-01,374.25431711145995
