Country,ISO3,HDI Rank,Human Development,HPI Rank,Passport Access,GPI Rank,Global Peace,FSI Rank,Fragile States
Uganda,UGA,166.0,0.525,76,66,121.0,2.309,155.0,92.1
Lesotho,LSO,168.0,0.514,66,77,100.0,2.089,115.0,77.4
Malawi,MWI,169.0,0.512,69,73,65.0,1.895,135.0,83.0
Senegal,SEN,170.0,0.511,85,56,70.0,1.916,102.0,72.1
Djibouti,DJI,171.0,0.509,93,48,113.0,2.213,132.0,81.3
Sudan,SDN,172.0,0.508,98,42,154.0,3.007,173.0,107.1
Madagascar,MDG,173.0,0.501,87,54,84.0,1.995,126.0,80.4
Gambia,GMB,174.0,0.5,74,68,45.0,1.792,121.0,78.6
Ethiopia,ETH,175.0,0.498,95,46,149.0,2.806,167.0,99.3
Eritrea,ERI,176.0,0.492,96,45,132.0,2.494,162.0,95.9
Guinea-Bissau,GNB,177.0,0.483,89,52,110.0,2.156,152.0,91.3
Liberia,LBR,178.0,0.481,92,49,75.0,1.973,146.0,88.2
DR Congo,COD,179.0,0.479,98,42,158.0,3.166,174.0,107.3
Afghanistan,AFG,180.0,0.478,108,27,163.0,3.554,172.0,105.9
Sierra Leone,SLE,181.0,0.477,78,64,50.0,1.803,134.0,82.4
Guinea,GIN,182.0,0.465,86,55,123.0,2.332,168.0,99.6
Yemen,YEM,183.0,0.455,104,34,162.0,3.394,179.0,111.7
Burkina Faso,BFA,184.0,0.449,84,57,146.0,2.786,151.0,90.5
Mozambique,MOZ,185.0,0.446,80,61,122.0,2.316,158.0,94.3
Mali,MLI,186.0,0.428,88,53,150.0,2.911,166.0,98.6
Burundi,BDI,187.0,0.426,92,49,131.0,2.47,161.0,95.4
Central African Republic,CAF,188.0,0.404,89,52,155.0,3.021,175.0,108.1
Niger,NER,189.0,0.4,88,53,140.0,2.655,160.0,95.2
Chad,TCD,190.0,0.394,89,52,136.0,2.591,171.0,105.7
South Sudan,SSD,191.0,0.385,97,44,159.0,3.184,176.0,108.4
Monaco,MCO,,,14,176,,,,
Vatican,VAT,,,25,154,,,,
Taiwan,TWN,,,29,146,30.0,1.618,,
Macau,MAC,,,31,144,,,,
Nauru,NRU,,,59,89,,,,
Kosovo,XKX,,,99,41,71.0,1.938,,
North Korea,PRK,,,100,40,152.0,2.942,148.0,89.1
Somalia,SOM,,,103,35,156.0,3.125,178.0,110.5
