Period,Private enterprise,Housing associations,Local authorities
1949,28460,3350,173450
1950,30240,3340,171840
1951,25490,3680,172690
1952,36660,4100,207550
1953,64870,9580,252380
1954,92420,15750,245970
1955,116100,6650,201680
1956,126440,4760,176480
1957,128790,3940,174870
1958,130210,2830,145600
1959,153170,2120,126270
1960,171410,3220,129640
1961,180730,3110,119350
1962,178210,3360,132070
1963,177780,3690,126240
1964,221260,5110,156830
1965,217160,6780,167300
1966,208660,8200,179170
1967,204210,8380,202860
1968,226070,9100,190670
1969,185920,10040,182380
1970,174350,8590,179280
1971,196300,10780,157380
1972,200770,7810,122360
1973,191090,9000,104570
1974,145230,10270,124140
1975,154530,14950,152470
1976,155230,15790,153750
1977,143920,25120,145070
1978,152170,22790,113660
1979,144050,18080,89630
1980,131990,21480,88540
1981,118600,19700,68330
1982,129020,13740,40080
1983,153040,16820,39170
1984,165550,17290,37580
1985,163400,13660,30410
1986,178010,13160,25380
1987,191210,13160,21820
1988,207390,13490,21450
1989,187520,14590,19350
1990,166860,17940,17870
1991,159150,20820,11230
1992,146900,26500,5700
1993,146380,35910,3360
1994,153270,36860,2880
1995,156930,38760,3440
1996,154340,32950,1740
1997,161230,28350,1550
1998,155830,24090,1090
1999,157930,23730,330
2000,154580,22000,280
2001,152650,21090,360
2002,162780,18940,250
2003,172620,17620,250
2004,182700,20650,130
2005,182190,23330,230
2006,182710,25980,290
2007,195870,27430,280
2008,155090,31590,630
2009,121510,34800,840
2010,105240,29390,1350
2011,105450,32190,3100
2012,107710,31400,2510
2013,106760,26750,2080
2014,115090,27920,2110
2015,134340,34990,2700
2016,139280,29320,3220
2017,158360,32150,3200
2018,161610,33500,4010
2019,172000,38340,3810
2020,[x2],[x2],[x2]
2021,[x2],[x2],[x2]
2022,[x2],[x2],[x2]
2023,143720,41430,4120
