Date,Manufacturing Employees,Industrial Output,Employees
1949-06-01,13178.0,25.87533322426353,68.34353282854477
1949-07-01,13067.0,25.823557150968632,67.76786640390002
1949-08-01,13158.0,26.082245041334247,68.23980914842859
1949-09-01,13225.0,26.341125407808754,68.58728347681776
1949-10-01,12891.0,25.357764967423417,66.85509801887771
1949-11-01,12882.0,26.03046896803934,66.80842236282544
1949-12-01,13062.0,26.496261151584555,67.74193548387096
1950-01-01,13161.0,26.962053335129777,68.25536770044602
1950-02-01,13169.0,27.06560548171958,68.29685717249248
1950-03-01,13290.0,27.94522129940621,68.92438543719531
1950-04-01,13471.0,28.876805666496647,69.86308474224666
1950-05-01,13780.0,29.549509667112567,71.46561560004149
1950-06-01,13923.0,30.429317960908104,72.20723991287211
1950-07-01,14072.0,31.412485925184537,72.97998132973757
1950-08-01,14461.0,32.39584636556987,74.9974069079971
1950-09-01,14561.0,32.18874207239026,75.51602530857795
1950-10-01,14737.0,32.39584636556987,76.42879369360026
1950-11-01,14762.0,32.34407029227497,76.55844829374546
1950-12-01,14782.0,32.913414622409995,76.66217197386163
1951-01-01,14950.0,33.016774292890894,77.53345088683746
1951-02-01,15076.0,33.2238785860705,78.18691007156934
1951-03-01,15125.0,33.3790143298463,78.44103308785397
1951-04-01,15166.0,33.43079040314121,78.65366663209211
1951-05-01,15164.0,33.327430732660304,78.64329426408048
1951-06-01,15176.0,33.1721025127756,78.70552847215019
1951-07-01,15110.0,32.65453425593548,78.36324032776683
1951-08-01,15061.0,32.34407029227497,78.10911731148221
1951-09-01,14996.0,32.551174585454575,77.77201535110466
1951-10-01,14973.0,32.49939851215967,77.65273311897106
1951-11-01,14999.0,32.75808640252529,77.78757390312208
1951-12-01,15045.0,32.964998219595984,78.02613836738928
1952-01-01,15067.0,33.327238256551404,78.14023441551706
1952-02-01,15105.0,33.53434254973101,78.33730940773779
1952-03-01,15127.0,33.63789469632082,78.45140545586557
1952-04-01,15162.0,33.327238256551404,78.63292189606888
1952-05-01,15143.0,33.016774292890894,78.53438439995851
1952-06-01,14828.0,32.706310329230384,76.90073643812883
1952-07-01,14707.0,32.18874207239026,76.27320817342599
1952-08-01,15279.0,34.25882262364184,79.23970542474848
1952-09-01,15553.0,35.50087095439278,80.66071984234
1952-10-01,15690.0,35.863110991348194,81.37122705113578
1952-11-01,15843.0,36.587591065259026,82.16471320402448
1952-12-01,15973.0,36.79450288232972,82.83891712477958
1953-01-01,16067.0,36.898055028919536,83.32641842132558
1953-02-01,16158.0,37.10515932209914,83.79836116585416
1953-03-01,16270.0,37.41562328575965,84.37921377450472
