East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",15016.85309,15249.28336,16894.57791
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",9645.012908,9266.828395,10149.53201
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",18357.08138,18599.587,20296.24912
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",22736.02474,22673.83853,24997.91398
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",36726.93942,35882.73362,39003.0335
Ecuador,ECU,"GDP per capita, PPP (current international $)",11870.9364,10924.18012,11720.64464
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",11652.5738,12004.12593,12706.40445
Euro area,EMU,"GDP per capita, PPP (current international $)",48830.19358,47121.9284,50757.85101
Eritrea,ERI,"GDP per capita, PPP (current international $)",,,
Spain,ESP,"GDP per capita, PPP (current international $)",41695.14695,37754.56863,40698.6887
Estonia,EST,"GDP per capita, PPP (current international $)",37850.07415,37644.00382,42138.32058
Ethiopia,ETH,"GDP per capita, PPP (current international $)",2273.734896,2376.635601,2547.716814
European Union,EUU,"GDP per capita, PPP (current international $)",46060.33737,44840.17487,48480.46931
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (current international $)",4823.01217,4592.304208,4766.288631
Finland,FIN,"GDP per capita, PPP (current international $)",50321.53969,50937.16075,55013.38586
Fiji,FJI,"GDP per capita, PPP (current international $)",13800.19987,11567.53537,11380.5695
France,FRA,"GDP per capita, PPP (current international $)",48971.08855,46858.21592,50541.25936
Faroe Islands,FRO,"GDP per capita, PPP (current international $)",,,
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (current international $)",3690.219681,3644.970925,3642.095394
Gabon,GAB,"GDP per capita, PPP (current international $)",15089.03985,14664.71093,15175.68734
United Kingdom,GBR,"GDP per capita, PPP (current international $)",49041.46355,46526.91187,49675.30467
Georgia,GEO,"GDP per capita, PPP (current international $)",15621.87366,14731.20059,17013.56632
Ghana,GHA,"GDP per capita, PPP (current international $)",5571.564866,5551.786802,5971.125009
Gibraltar,GIB,"GDP per capita, PPP (current international $)",,,
Guinea,GIN,"GDP per capita, PPP (current international $)",2652.5568,2746.73328,2900.668958
"Gambia, The",GMB,"GDP per capita, PPP (current international $)",2171.234263,2154.485618,2281.305526
Guinea-Bissau,GNB,"GDP per capita, PPP (current international $)",1970.322278,1902.407505,2011.94848
Equatorial Guinea,GNQ,"GDP per capita, PPP (current international $)",16925.78796,15961.11386,16080.14326
Greece,GRC,"GDP per capita, PPP (current international $)",30356.2664,27953.76213,31363.80736
Grenada,GRD,"GDP per capita, PPP (current international $)",16043.4798,13896.98274,15037.84954
Greenland,GRL,"GDP per capita, PPP (current international $)",,,
Guatemala,GTM,"GDP per capita, PPP (current international $)",9037.688376,8849.717743,9806.82822
Guam,GUM,"GDP per capita, PPP (current international $)",,,
Guyana,GUY,"GDP per capita, PPP (current international $)",13361.57321,19439.93098,24086.90092
