date,value,Series
1985-07-01,11.2,Hispanic or Latino
1985-08-01,10.4,Hispanic or Latino
1985-09-01,10.4,Hispanic or Latino
1985-10-01,11.1,Hispanic or Latino
1985-11-01,10.6,Hispanic or Latino
1985-12-01,10.5,Hispanic or Latino
1986-01-01,10.2,Hispanic or Latino
1986-02-01,11.9,Hispanic or Latino
1986-03-01,10.7,Hispanic or Latino
1986-04-01,10.3,Hispanic or Latino
1986-05-01,10.8,Hispanic or Latino
1986-06-01,10.6,Hispanic or Latino
1986-07-01,10.7,Hispanic or Latino
1986-08-01,10.9,Hispanic or Latino
1986-09-01,11.1,Hispanic or Latino
1986-10-01,10.4,Hispanic or Latino
1986-11-01,9.3,Hispanic or Latino
1986-12-01,10.5,Hispanic or Latino
1987-01-01,10.6,Hispanic or Latino
1987-02-01,9.8,Hispanic or Latino
1987-03-01,9.3,Hispanic or Latino
1987-04-01,8.9,Hispanic or Latino
1987-05-01,8.6,Hispanic or Latino
1987-06-01,8.5,Hispanic or Latino
1987-07-01,8.1,Hispanic or Latino
1987-08-01,7.9,Hispanic or Latino
1987-09-01,8.3,Hispanic or Latino
1987-10-01,8.4,Hispanic or Latino
1987-11-01,8.8,Hispanic or Latino
1987-12-01,8.1,Hispanic or Latino
1988-01-01,7.6,Hispanic or Latino
1988-02-01,8.5,Hispanic or Latino
1988-03-01,8.4,Hispanic or Latino
1988-04-01,8.8,Hispanic or Latino
1988-05-01,8.8,Hispanic or Latino
1988-06-01,8.8,Hispanic or Latino
1988-07-01,7.9,Hispanic or Latino
1988-08-01,8.1,Hispanic or Latino
1988-09-01,7.4,Hispanic or Latino
1988-10-01,7.8,Hispanic or Latino
1988-11-01,7.9,Hispanic or Latino
1988-12-01,7.6,Hispanic or Latino
1989-01-01,8.6,Hispanic or Latino
1989-02-01,7.0,Hispanic or Latino
1989-03-01,6.6,Hispanic or Latino
1989-04-01,8.1,Hispanic or Latino
1989-05-01,7.9,Hispanic or Latino
1989-06-01,8.2,Hispanic or Latino
1989-07-01,8.8,Hispanic or Latino
1989-08-01,8.8,Hispanic or Latino
1989-09-01,8.1,Hispanic or Latino
1989-10-01,8.0,Hispanic or Latino
1989-11-01,7.9,Hispanic or Latino
1989-12-01,8.3,Hispanic or Latino
1990-01-01,7.3,Hispanic or Latino
1990-02-01,7.5,Hispanic or Latino
1990-03-01,7.4,Hispanic or Latino
1990-04-01,8.5,Hispanic or Latino
1990-05-01,7.9,Hispanic or Latino
1990-06-01,7.7,Hispanic or Latino
1990-07-01,8.0,Hispanic or Latino
1990-08-01,8.3,Hispanic or Latino
1990-09-01,8.3,Hispanic or Latino
1990-10-01,8.5,Hispanic or Latino
1990-11-01,8.9,Hispanic or Latino
1990-12-01,9.9,Hispanic or Latino
1991-01-01,9.1,Hispanic or Latino
1991-02-01,9.2,Hispanic or Latino
1991-03-01,9.8,Hispanic or Latino
1991-04-01,9.8,Hispanic or Latino
1991-05-01,10.0,Hispanic or Latino
1991-06-01,10.1,Hispanic or Latino
1991-07-01,9.6,Hispanic or Latino
1991-08-01,10.5,Hispanic or Latino
1991-09-01,10.9,Hispanic or Latino
1991-10-01,10.7,Hispanic or Latino
1991-11-01,10.4,Hispanic or Latino
1991-12-01,10.2,Hispanic or Latino
1992-01-01,11.0,Hispanic or Latino
1992-02-01,11.3,Hispanic or Latino
1992-03-01,11.2,Hispanic or Latino
1992-04-01,11.0,Hispanic or Latino
1992-05-01,11.7,Hispanic or Latino
1992-06-01,12.1,Hispanic or Latino
1992-07-01,11.7,Hispanic or Latino
1992-08-01,11.7,Hispanic or Latino
1992-09-01,11.8,Hispanic or Latino
1992-10-01,11.8,Hispanic or Latino
1992-11-01,12.0,Hispanic or Latino
1992-12-01,11.5,Hispanic or Latino
1993-01-01,11.3,Hispanic or Latino
