,State,Shortname,Code,NQGSP,PCPI
0,Alabama,AL,01,275396.0,49769.0
1,Alaska,AK,02,64256.6,65813.0
2,Arizona,AZ,04,453602.3,55487.0
3,Arkansas,AR,05,163778.9,50625.0
4,California,CA,06,3558511.9,76614.0
5,Colorado,CO,08,480828.3,70706.0
6,Connecticut,CT,09,317906.7,83294.0
7,Delaware,DE,10,86672.7,59931.0
8,District of Columbia,DC,11,160728.2,96477.0
9,Florida,FL,12,1371467.9,62270.0
10,Georgia,GA,13,747535.2,55786.0
11,Hawaii,HI,15,96978.9,60947.0
12,Idaho,ID,16,108437.8,52369.0
13,Illinois,IL,17,1024018.9,67244.0
14,Indiana,IN,18,452422.4,56497.0
15,Iowa,IA,19,230104.3,57163.0
16,Kansas,KS,20,209272.0,58924.0
17,Kentucky,KY,21,258293.5,51266.0
18,Louisiana,LA,22,281047.1,54217.0
19,Maine,ME,23,83514.4,58484.0
20,Maryland,MD,24,465635.4,69817.0
21,Massachusetts,MA,25,679121.7,83653.0
22,Michigan,MI,26,615407.9,56494.0
23,Minnesota,MN,27,442528.3,66280.0
24,Mississippi,MS,28,138156.3,45881.0
25,Missouri,MO,29,386397.3,55325.0
26,Montana,MT,30,64757.4,56949.0
27,Nebraska,NE,31,161259.6,61205.0
28,Nevada,NV,32,213409.5,60213.0
29,New Hampshire,NH,33,104172.5,73200.0
30,New Jersey,NJ,34,737654.4,77016.0
31,New Mexico,NM,35,122358.8,50311.0
32,New York,NY,36,2034912.3,76837.0
33,North Carolina,NC,37,723163.4,56173.0
34,North Dakota,ND,38,74744.6,64524.0
35,Ohio,OH,39,817626.8,56879.0
36,Oklahoma,OK,40,242302.6,53870.0
37,Oregon,OR,41,294324.8,61596.0
38,Pennsylvania,PA,42,915423.8,64279.0
39,Rhode Island,RI,44,70759.5,64376.0
40,South Carolina,SC,45,292932.0,52467.0
41,South Dakota,SD,46,67489.3,64462.0
42,Tennessee,TN,47,469937.6,56560.0
43,Texas,TX,48,2354455.1,59865.0
44,Utah,UT,49,245830.9,56019.0
45,Vermont,VT,50,40248.6,61882.0
46,Virginia,VA,51,642755.1,66305.0
47,Washington,WA,53,717336.2,73775.0
48,West Virginia,WV,54,96723.7,48488.0
49,Wisconsin,WI,55,398850.0,59626.0
50,Wyoming,WY,56,48043.5,69666.0
