State,Filer,Bracket,Rate,Top Rate,Notes,Source
Kentucky,Married,0,0.045,TRUE,Flat Rate,
Louisiana,Single,0,0.0185,FALSE,,
Louisiana,Single,12500,0.035,FALSE,,
Louisiana,Single,50000,0.04245,TRUE,,
Louisiana,Married,0,0.0185,FALSE,,
Louisiana,Married,25000,0.035,FALSE,,
Louisiana,Married,100000,0.04245,TRUE,,
Maine,Single,0,0.058,FALSE,,
Maine,Single,24500,0.0675,FALSE,,
Maine,Single,58050,0.0715,TRUE,,
Maine,Married,0,0.058,FALSE,,
Maine,Married,49050,0.0675,FALSE,,
Maine,Married,116100,0.0715,TRUE,,
Maryland,Single,0,0.02,FALSE,,
Maryland,Single,1000,0.03,FALSE,,
Maryland,Single,2000,0.04,FALSE,,
Maryland,Single,3000,0.0475,FALSE,,
Maryland,Single,100000,0.05,FALSE,,
Maryland,Single,125000,0.0525,FALSE,,
Maryland,Single,150000,0.055,FALSE,,
Maryland,Single,250000,0.0575,TRUE,,
Maryland,Married,0,0.02,FALSE,,
Maryland,Married,1000,0.03,FALSE,,
Maryland,Married,2000,0.04,FALSE,,
Maryland,Married,3000,0.0475,FALSE,,
Maryland,Married,150000,0.05,FALSE,,
Maryland,Married,175000,0.0525,FALSE,,
Maryland,Married,225000,0.055,FALSE,,
Maryland,Married,300000,0.0575,TRUE,,
Massachusetts,Single,0,0.05,FALSE,,
Massachusetts,Single,1000000,0.09,TRUE,,
Massachusetts,Married,0,0.05,FALSE,,
Massachusetts,Married,1000000,0.09,TRUE,,
Michigan,Single,0,0.0425,TRUE,Flat Rate,
Michigan,Married,0,0.0425,TRUE,Flat Rate,
Minnesota,Single,0,0.0535,FALSE,,
Minnesota,Single,30070,0.068,FALSE,,
Minnesota,Single,98760,0.0785,FALSE,,
Minnesota,Single,183340,0.0985,TRUE,,
Minnesota,Married,0,0.0535,FALSE,,
Minnesota,Married,43950,0.068,FALSE,,
Minnesota,Married,174610,0.0785,FALSE,,
Minnesota,Married,304970,0.0985,TRUE,,
Mississippi,Single,0,0.05,TRUE,Flat Rate,
Mississippi,Married,0,0.05,TRUE,Flat Rate,
Missouri,Single,1121,0.02,FALSE,,
Missouri,Single,2242,0.025,FALSE,,
Missouri,Single,3363,0.03,FALSE,,
Missouri,Single,4484,0.035,FALSE,,
Missouri,Single,5605,0.04,FALSE,,
Missouri,Single,6726,0.045,FALSE,,
Missouri,Single,7847,0.0495,TRUE,,
Missouri,Married,1121,0.02,FALSE,,
Missouri,Married,2242,0.025,FALSE,,
Missouri,Married,3363,0.03,FALSE,,
Missouri,Married,4484,0.035,FALSE,,
Missouri,Married,5605,0.04,FALSE,,
Missouri,Married,6726,0.045,FALSE,,
Missouri,Married,7847,0.0495,TRUE,,
Montana,Single,0,0.01,FALSE,,
Montana,Single,3600,0.02,FALSE,,
Montana,Single,6300,0.03,FALSE,,
Montana,Single,9700,0.04,FALSE,,
Montana,Single,13000,0.05,FALSE,,
Montana,Single,16800,0.06,FALSE,,
Montana,Single,21600,0.0675,TRUE,,
Montana,Married,0,0.01,FALSE,,
Montana,Married,3600,0.02,FALSE,,
Montana,Married,6300,0.03,FALSE,,
Montana,Married,9700,0.04,FALSE,,
Montana,Married,13000,0.05,FALSE,,
Montana,Married,16800,0.06,FALSE,,
Montana,Married,21600,0.0675,TRUE,,
Nebraska,Single,0,0.0246,FALSE,,
Nebraska,Single,3700,0.0351,FALSE,,
Nebraska,Single,22170,0.0501,FALSE,,
Nebraska,Single,35730,0.0664,TRUE,,
Nebraska,Married,0,0.0246,FALSE,,
Nebraska,Married,7390,0.0351,FALSE,,
Nebraska,Married,44350,0.0501,FALSE,,
Nebraska,Married,71460,0.0664,TRUE,,
Nevada,Single,,,TRUE,,
Nevada,Married,,,TRUE,,
New Hampshire,Single,,,TRUE,,
New Hampshire,Married,,,TRUE,,
New Jersey,Single,0,0.014,FALSE,,
New Jersey,Single,20000,0.0175,FALSE,,
New Jersey,Single,35000,0.035,FALSE,,
New Jersey,Single,40000,0.05525,FALSE,,
New Jersey,Single,75000,0.0637,FALSE,,
New Jersey,Single,500000,0.0897,FALSE,,
New Jersey,Single,1000000,0.1075,TRUE,,
New Jersey,Married,0,0.014,FALSE,,
New Jersey,Married,20000,0.0175,FALSE,,
New Jersey,Married,50000,0.0245,FALSE,,
New Jersey,Married,70000,0.035,FALSE,,
New Jersey,Married,80000,0.05525,FALSE,,
New Jersey,Married,150000,0.0637,FALSE,,
New Jersey,Married,500000,0.0897,FALSE,,
New Jersey,Married,1000000,0.1075,TRUE,,
New Mexico,Single,0,0.017,FALSE,,
New Mexico,Single,5500,0.032,FALSE,,
New Mexico,Single,11000,0.047,FALSE,,
New Mexico,Single,16000,0.049,FALSE,,
New Mexico,Single,210000,0.059,TRUE,,
New Mexico,Married,0,0.017,FALSE,,
New Mexico,Married,8000,0.032,FALSE,,
New Mexico,Married,16000,0.047,FALSE,,
New Mexico,Married,24000,0.049,FALSE,,
New Mexico,Married,315000,0.059,TRUE,,
New York,Single,0,0.04,FALSE,,
New York,Single,8500,0.045,FALSE,,
New York,Single,11700,0.0525,FALSE,,
New York,Single,13900,0.055,FALSE,,
New York,Single,80650,0.06,FALSE,,
New York,Single,215400,0.0685,FALSE,,
New York,Single,1077550,0.0965,FALSE,,
New York,Single,5000000,0.103,FALSE,,
New York,Single,25000000,0.109,TRUE,,
New York,Married,0,0.04,FALSE,,
New York,Married,17150,0.045,FALSE,,
New York,Married,23600,0.0525,FALSE,,
New York,Married,27900,0.055,FALSE,,
New York,Married,161550,0.06,FALSE,,
New York,Married,323200,0.0685,FALSE,,
New York,Married,2155350,0.0965,FALSE,,
New York,Married,5000000,0.103,FALSE,,
New York,Married,25000000,0.109,TRUE,,
North Carolina,Single,0,0.0475,TRUE,Flat Rate,
North Carolina,Married,0,0.0475,TRUE,Flat Rate,
North Dakota,Single,0,0.011,FALSE,,
North Dakota,Single,41775,0.0204,FALSE,,
North Dakota,Single,101050,0.0227,FALSE,,
North Dakota,Single,210825,0.0264,FALSE,,
North Dakota,Single,458350,0.029,TRUE,,
North Dakota,Married,0,0.011,FALSE,,
North Dakota,Married,69700,0.0204,FALSE,,
North Dakota,Married,168450,0.0227,FALSE,,
North Dakota,Married,256650,0.0264,FALSE,,
North Dakota,Married,458350,0.029,TRUE,,
Ohio,Single,26050,0.02765,FALSE,,
Ohio,Single,46100,0.03226,FALSE,,
Ohio,Single,92150,0.03688,FALSE,,
Ohio,Single,115300,0.0399,TRUE,,
Ohio,Married,26050,0.02765,FALSE,,
Ohio,Married,46100,0.03226,FALSE,,
Ohio,Married,92150,0.03688,FALSE,,
Ohio,Married,115300,0.0399,TRUE,,
Oklahoma,Single,0,0.0025,FALSE,,
Oklahoma,Single,1000,0.0075,FALSE,,
Oklahoma,Single,2500,0.0175,FALSE,,
Oklahoma,Single,3750,0.0275,FALSE,,
Oklahoma,Single,4900,0.0375,FALSE,,
Oklahoma,Single,7200,0.0475,TRUE,,
Oklahoma,Married,0,0.0025,FALSE,,
Oklahoma,Married,2000,0.0075,FALSE,,
Oklahoma,Married,5000,0.0175,FALSE,,
Oklahoma,Married,7500,0.0275,FALSE,,
Oklahoma,Married,9800,0.0375,FALSE,,
Oklahoma,Married,12200,0.0475,TRUE,,
Oregon,Single,0,0.0475,FALSE,,
Oregon,Single,4050,0.0675,FALSE,,
Oregon,Single,10200,0.0875,FALSE,,
Oregon,Single,125000,0.099,TRUE,,
Oregon,Married,0,0.0475,FALSE,,
Oregon,Married,8100,0.0675,FALSE,,
Oregon,Married,20400,0.0875,FALSE,,
Oregon,Married,250000,0.099,TRUE,,
Pennsylvania,Single,0,0.0307,TRUE,Flat Rate,
Pennsylvania,Married,0,0.0307,TRUE,Flat Rate,
Rhode Island,Single,0,0.0375,FALSE,,
Rhode Island,Single,68200,0.0475,FALSE,,
Rhode Island,Single,155050,0.0599,TRUE,,
Rhode Island,Married,0,0.0375,FALSE,,
Rhode Island,Married,68200,0.0475,FALSE,,
Rhode Island,Married,155050,0.0599,TRUE,,
South Carolina,Single,0,0,FALSE,,
South Carolina,Single,3200,0.03,FALSE,,
South Carolina,Single,16040,0.065,TRUE,,
South Carolina,Married,0,0,FALSE,,
South Carolina,Married,3200,0.03,FALSE,,
South Carolina,Married,16040,0.065,TRUE,,
South Dakota,Single,,,TRUE,,
South Dakota,Married,,,TRUE,,
Tennessee,Single,,,TRUE,,
Tennessee,Married,,,TRUE,,
Texas,Single,,,TRUE,,
Texas,Married,,,TRUE,,
Utah,Single,0,0.0485,TRUE,Flat Rate,
Utah,Married,0,0.0485,TRUE,Flat Rate,
Vermont,Single,0,0.0335,FALSE,,
Vermont,Single,42150,0.066,FALSE,,
Vermont,Single,102200,0.076,FALSE,,
