date,type,transactions
2019-01-31,Residential,6830
2019-01-31,Non-residential,600
2019-02-28,Residential,5500
2019-02-28,Non-residential,590
2019-03-31,Residential,8520
2019-03-31,Non-residential,910
2019-04-30,Residential,8030
2019-04-30,Non-residential,720
2019-05-31,Residential,9810
2019-05-31,Non-residential,660
2019-06-30,Residential,9520
2019-06-30,Non-residential,590
2019-07-31,Residential,9030
2019-07-31,Non-residential,650
2019-08-31,Residential,10280
2019-08-31,Non-residential,610
2019-09-30,Residential,8940
2019-09-30,Non-residential,600
2019-10-31,Residential,9480
2019-10-31,Non-residential,660
2019-11-30,Residential,10200
2019-11-30,Non-residential,670
2019-12-31,Residential,8200
2019-12-31,Non-residential,680
2020-01-31,Residential,7050
2020-01-31,Non-residential,550
2020-02-29,Residential,5920
2020-02-29,Non-residential,550
2020-03-31,Residential,6320
2020-03-31,Non-residential,520
2020-04-30,Residential,2740
2020-04-30,Non-residential,280
2020-05-31,Residential,3380
2020-05-31,Non-residential,350
2020-06-30,Residential,4090
2020-06-30,Non-residential,440
2020-07-31,Residential,5300
2020-07-31,Non-residential,520
2020-08-31,Residential,6860
2020-08-31,Non-residential,480
2020-09-30,Residential,10650
2020-09-30,Non-residential,670
2020-10-31,Residential,12960
2020-10-31,Non-residential,660
2020-11-30,Residential,12500
2020-11-30,Non-residential,650
2020-12-31,Residential,11150
2020-12-31,Non-residential,740
2021-01-31,Residential,7820
2021-01-31,Non-residential,420
2021-02-28,Residential,7270
2021-02-28,Non-residential,590
2021-03-31,Residential,12270
2021-03-31,Non-residential,960
2021-04-30,Residential,7160
2021-04-30,Non-residential,730
2021-05-31,Residential,8680
2021-05-31,Non-residential,630
2021-06-30,Residential,11230
2021-06-30,Non-residential,680
2021-07-31,Residential,10960
2021-07-31,Non-residential,660
2021-08-31,Residential,9990
2021-08-31,Non-residential,630
2021-09-30,Residential,9610
2021-09-30,Non-residential,650
2021-10-31,Residential,10480
2021-10-31,Non-residential,680
2021-11-30,Residential,9700
2021-11-30,Non-residential,760
2021-12-31,Residential,9020
2021-12-31,Non-residential,720
2022-01-31,Residential,7350
2022-01-31,Non-residential,500
2022-02-28,Residential,6600
2022-02-28,Non-residential,590
2022-03-31,Residential,8300
2022-03-31,Non-residential,850
2022-04-30,Residential,8780
2022-04-30,Non-residential,740
2022-05-31,Residential,8600
2022-05-31,Non-residential,650
2022-06-30,Residential,8740
2022-06-30,Non-residential,640
2022-07-31,Residential,9740
2022-07-31,Non-residential,610
2022-08-31,Residential,9640
2022-08-31,Non-residential,660
2022-09-30,Residential,9920
2022-09-30,Non-residential,660
