propertytype,n,typeSimplified
Bungalow Property,8,Bungalow
Converted Flat,56,Flat
Detached Bungalow,11,Bungalow
Detached House,42,House
Detached Property,1,null
End Terrace House,47,Terraced
Flat/Maisonette,263,Flat
Mid Terrace House,92,Terraced
Mid Terrace Property,1,Terraced
Purpose Built Flat,218,Flat
Semi-Detached Bungalow,12,Bungalow
Semi-Detached House,117,House
Semi-Detached Property,3,null
Terrace Property,92,Terraced
Terraced,4,Terraced
Terraced Bungalow,1,Terraced
